doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1146/annurev-ecolsys-112414-054158,rayyan-471521645,"Signal Diversity, Sexual Selection, and Speciation",2015,NA,NA,"Annual Review of Ecology, Evolution, and Systematics",NA,46,NA,573 - 592,"Schaefer, Heinrich Martin and Ruxton, Graeme Douglas",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948953082&doi=10.1146%2Fannurev-ecolsys-112414-054158&partnerID=40&md5=32906c290c8e326e6ecde86ed911ae1e,NA,NA,NA,"Communication is ubiquitous. Developing a framework for the diversity of signals has important consequences for understanding alternative models of sexual selection and the processes contributing to speciation. In this article we review how models of neutral evolution in the perceptual space of signal perceivers provide a first step toward constructing a framework for signal diversity. We discuss how the distinction between additive and multiplicative effects of multimodal signaling represents a second step. We then assess how signal efficiency, reliability, and the aesthetics of perceivers provide distinct mechanisms for signals to be effective, thereby partly explaining signal diversity. Understanding the relative contribution of each of these mechanisms to the effectiveness of mate choice signals unravels the relative importance of alternative models of sexual selection. It can also help to distinguish whether divergence of communication is a driver or a consequence of speciation. Throughout the review we emphasize the importance of verification and learning in repeated interactions for understanding variation in signals. © © 2015 by Annual Reviews. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 49,ecological modeling; information; interspecific interaction; phenotype; sexual selection; signali...,NA,NA,Aleksandra
10.1007/s10071-017-1134-2,rayyan-471509246,Sex-specific cognitive-behavioural profiles emerging from individual variation in numerosity discrimination in Gambusia affinis,2018,1,NA,ANIMAL COGNITION,1435-9448,21,1,37-53,"Etheredge, R. Ian and Avenas, Capucine and Armstrong, Matthew J. and Cummings, Molly E.",NA,NA,NA,NA,"The relationship between an individual's cognitive abilities and other behavioural attributes is complex, yet critical to understanding how individual differences in cognition arise. Here we use western mosquitofish, Gambusia affinis, to investigate the relationship between individual associative learning performance in numerical discrimination tests and independent measures of activity, exploration, anxiety and sociability. We found extensive and highly repeatable inter-individual variation in learning performance (r = 0.89; ICC = 0.89). Males and females exhibited similar learning performance, yet differed in sociability, activity and their relationship between learning and anxiety/exploration tendencies. Sex-specific multivariate behaviour scores successfully predicted variation in individual learning performance, whereas combined sex analyses did not. Female multivariate behaviour scores significantly predict learning performance across females (rho = 0.80, p = 0.005) with high-performing female learners differentiated from female non-learners and low-performing learners by significant contributions of activity and sociability measures. Meanwhile, males of different learning performance levels (high-, low- and non-learners) were distinguished from each other by unique behavioural loadings of sociability, activity and anxiety/exploration scores, respectively. Our data suggest that despite convergence on learning performance, the sexes diverge in cognitive-behavioural relationships that are likely products of different sexual selection pressures. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aleksandra
10.1007/s10071-016-0969-2,rayyan-471521637,Male and female guppies differ in speed but not in accuracy in visual discrimination learning,2016,NA,NA,Animal Cognition,NA,19,4,733 - 744,"Lucon-Xiccato, Tyrone and Bisazza, Angelo",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975494138&doi=10.1007%2Fs10071-016-0969-2&partnerID=40&md5=b879c8d1812b040323a8f53f38dcde7d,NA,NA,NA,"In many species, males and females have different reproductive roles and/or differ in their ecological niche. Since in these cases the two sexes often face different cognitive challenges, selection may promote some degree of cognitive differentiation, an issue that has received relatively little attention so far. We investigated the existence of sex differences in visual discrimination learning in the guppy, Poecilia reticulata, a fish species in which females show complex mate choice based on male colour pattern. We tested males and females for their ability to learn a discrimination between two different shapes (experiment 1) and between two identical figures with a different orientation (experiment 2). In experiment 3, guppies were required to select an object of the odd colour in a group of five objects. Colours changed daily, and therefore, the solution for this task was facilitated by concept learning. We found males’ and females’ accuracy practically overlapped in the three experiments, suggesting that the two sexes have similar discrimination learning abilities. Yet, males showed faster decision time than females without any evident speed–accuracy trade-off. This result indicates the existence of consistent between-sex differences in decision speed perhaps due to impulsivity rather than speed in information processing. Our results align with previous literature, indicating that sex differences in cognitive abilities are the exception rather than the rule, while sex differences in cognitive style, i.e. the way in which an individual faces a cognitive task, are much more common. © 2016, Springer-Verlag Berlin Heidelberg. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 53; All Open Access; Green Accepted Open Access; Green Open Access,animal; discrimination learning; female; male; Poecilia; spatial learning; vision; Animals; Discr...,NA,NA,Aleksandra
10.1111/jeb.13602,rayyan-471521512,Alternative evolutionary outcomes following endosymbiont-mediated selection on male mating preference alleles,2020,NA,NA,Journal of Evolutionary Biology,NA,33,5,653 - 667,"Hundertmark, Antje and Goodacre, Sara L. and Brookfield, John F.Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084331794&doi=10.1111%2Fjeb.13602&partnerID=40&md5=e2bac294cda01b97a90813bc59ee10b2,NA,NA,NA,"In many arthropods, intracellular bacteria, such as those of the genus Wolbachia, may spread through host populations as a result of cytoplasmic incompatibility (CI). Here, there is sterility or reduced fertility in crosses between infected males and uninfected females. As the bacterium is maternally inherited, the reduced fertility of uninfected females increases the frequency of the infection. If the transmission fidelity of the bacterium is less than 100%, the bacterium cannot invade from a low frequency, but if its frequency exceeds a threshold, it increases to a high, stable, equilibrium frequency. We explore the expected evolutionary dynamics of mutant alleles that cause their male bearers to avoid mating with uninfected females. For alleles which create this avoidance behaviour conditional upon the male being infected, there is a wide zone of parameter space that allows the preference allele to drive Wolbachia from the population when it would otherwise stably persist. There is also a wide zone of parameter space that allows a joint stable equilibrium for the Wolbachia and a polymorphism for the preference allele. When the male's avoidance of uninfected females is unconditional, the preference allele's effect on Wolbachia frequency is reduced, but there is a narrow range of values for the transmission rate and CI fertility that allow an unconditional preference allele to drive Wolbachia from the population, in a process driven by positive linkage disequilibrium between Wolbachia and the preference allele. The possibility of the evolution of preference could hamper attempts to manipulate wild populations through Wolbachia introductions. © 2020 The Authors. Journal of Evolutionary Biology published by John Wiley & Sons Ltd on behalf of European Society for Evolutionary Biology | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 0; All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,allele; arthropod; bacterial disease; bacterium; cytoplasmic incompatibility; evolutionary biolog...;Animal; Models;Biological; Selection;Genetic; Symbiosis,NA,NA,Aleksandra
10.1098/rstb.2019.0261,rayyan-471521511,Olfaction scaffolds the developing human from neonate to adolescent and beyond,2020,NA,NA,Philosophical Transactions of the Royal Society B: Biological Sciences,NA,375,1800,NA,"Schaal, Benoist and Saxton, Tamsin K. and Loos, Helene M. and Soussignan, Robert G. and Durand, Karine",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084786731&doi=10.1098%2Frstb.2019.0261&partnerID=40&md5=0b822604215a8ea979f6686417936d62,NA,NA,NA,"The impact of the olfactory sense is regularly apparent across development. The fetus is bathed in amniotic fluid (AF) that conveys the mother’s chemical ecology. Transnatal olfactory continuity between the odours of AF and milk assists in the transition to nursing. At the same time, odours emanating from the mammary areas provoke appetitive responses in newborns. Odours experienced from the mother’s diet during breastfeeding, and from practices such as pre-mastication, may assist in the dietary transition at weaning. In parallel, infants are attracted to and recognize their mother’s odours; later, children are able to recognize other kin and peers based on their odours. Familiar odours, such as those of the mother, regulate the child’s emotions, and scaffold perception and learning through non-olfactory senses. During juvenility and adolescence, individuals become more sensitive to some bodily odours, while the timing of adolescence itself has been speculated to draw from the chemical ecology of the family unit. Odours learnt early in life and within the family niche continue to influence preferences as mate choice becomes relevant. Olfaction thus appears significant in turning on, sustaining and, in cases when mother odour is altered, disturbing adaptive reciprocity between offspring and carer during the multiple transitions of development between birth and adolescence. This article is part of the Theo Murphy meeting issue ‘Olfactory communication in humans’. © 2020 The Author(s) Published by the Royal Society. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 87; All Open Access; Green Accepted Open Access; Green Open Access,adolescence; breastfeeding; chemical cue; chemical ecology; diet; human development index; olfact...;Biological; Adolescent; Adult; Aged; Aged;80 and over; Child; Child;Preschool; Female; Humans; Infant; Infant;Newborn; Male; Middle Aged; Nonverbal Communication; Odorants; Olfactory Perception; Parent-Child...,NA,NA,Aleksandra
10.1093/beheco/aru227,rayyan-471521668,A larger brain confers a benefit in a spatial mate search learning task in male guppies,2015,NA,NA,Behavioral Ecology,NA,26,2,527 - 532,"Kotrschal, Alexander and Corral-López, Alberto and Amcoff, Mirjam and Kolm, Niclas",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938689415&doi=10.1093%2Fbeheco%2Faru227&partnerID=40&md5=83a42b47879a111625d3fa283af509a1,NA,NA,NA,"Brain size varies dramatically among vertebrates, and selection for increased cognitive abilities is thought to be the key force underlying the evolution of a large brain. Indeed, numerous comparative studies suggest positive relationships between cognitively demanding aspects of behavior and brain size controlled for body size. However, experimental evidence for the link between relative brain size and cognitive ability is surprisingly scarce and to date stems from a single study on brain size selected guppies (Poecilia reticulata), where large-brained females were shown to outperform small-brained females in a numerical learning assay. Because the results were inconclusive for males in that study, we here use a more ecologically relevant test of male cognitive ability to investigate whether or not a relatively larger brain increases cognitive ability also in males. We compared mate search ability of these artificially selected large- and small-brained males in a maze and found that large-brained males were faster at learning to find a female in a maze. Large-brained males decreased the time spent navigating the maze faster than small-brained males and were nearly twice as fast through the maze after 2 weeks of training. Our results support that relatively larger brains are better also for males in some contexts, which further substantiates that variation in vertebrate brain size is generated through the balance between energetic costs and cognitive benefits. © 2014 The Author. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 89; All Open Access; Green Accepted Open Access; Green Open Access,adaptation; behavioral ecology; bioassay; body size; brain; cognition; cyprinid; learning; male; ...,NA,NA,Aleksandra
10.1098/rstb.2020.0322,rayyan-471507855,Evidence for cumulative cultural evolution in bird song,2022,1,NA,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8436,377,1843,NA,"Williams, Heather and Lachlan, Robert F.",NA,NA,NA,NA,"In studies of cumulative cultural evolution in non-human animals, the focus is most often on incremental changes that increase the efficacy of an existing form of socially learned behaviour, such as the refinement of migratory pathways. In this paper, we compare the songs of different species to describe patterns of evolution in the acoustic structure of bird songs, and explore the question of what building blocks might underlie cumulative cultural evolution of bird song using a comparative approach. We suggest that three steps occurred: first, imitation of independent sounds, or notes, via social learning; second, the formation of categories of note types; and third, assembling note types into sequences with defined structures. Simple sequences can then be repeated to form simple songs or concatenated with other sequences to form segmented songs, increasing complexity. Variant forms of both the notes and the sequencing rules may then arise due to copy errors and innovation. Some variants may become established in the population because of learning biases or selection, increasing signal efficiency, or because of cultural drift. Cumulative cultural evolution of bird songs thus arises from cognitive processes such as vocal imitation, categorization during memorization and learning biases applied to basic acoustic building blocks. This article is part of a discussion meeting issue `The emergence of collective knowledge and cumulative culture in animals, humans and machines'. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aleksandra
10.1098/rspb.2005.3093,rayyan-471521975,Higher-level mechanisms detect facial symmetry,2005,NA,NA,Proceedings of the Royal Society B: Biological Sciences,NA,272,1570,1379 - 1384,"Gillian I. Rhodes, Gillian I. and Peters, Marianne and Lee, Kieran and Morrone, Maria Concetta and Burr, David Charles",https://www.scopus.com/inward/record.uri?eid=2-s2.0-24044485947&doi=10.1098%2Frspb.2005.3093&partnerID=40&md5=fec1d176cc6ecddaa09016e3b35ed5a1,NA,NA,NA,"The role of symmetry detection in early visual processing and the sensitivity of biological visual systems to symmetry across a wide range of organisms suggest that symmetry can be detected by low-level visual mechanisms. However, computational and functional considerations suggest that higher-level mechanisms may also play a role in facial symmetry detection. We tested this hypothesis by examining whether symmetry detection is better for faces than comparable patterns, which share low-level properties with faces. Symmetry detection was better for upright faces than for inverted faces (experiment 1) and contrast-reversed faces (experiment 2), implicating high-level mechanisms in facial symmetry detection. In addition, facial symmetry detection was sensitive to spatial scale, unlike low-level symmetry detection mechanisms (experiment 3), and showed greater sensitivity to a 45° deviation from vertical than is found for other aspects of face perception (experiment 4). These results implicate specialized, higher-level mechanisms in the detection of facial symmetry. This specialization may reflect perceptual learning resulting from extensive experience detecting symmetry in faces or evolutionary selection pressures associated with the important role of facial symmetry in mate choice and 'mind-reading' or both. © 2005 The Royal Society. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 61; All Open Access; Green Accepted Open Access; Green Open Access,symmetry; accuracy; article; controlled study; face; face asymmetry; female; human; human experim...;Visual; Photic Stimulation; Western Australia,NA,NA,Aleksandra
10.5735/086.047.0208,rayyan-471521832,Mate quality bias: Sex differences in humans,2010,NA,NA,Annales Zoologici Fennici,NA,47,2,149 - 157,"Vakirtzis, Antonios and Roberts, S. Craig",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952695398&doi=10.5735%2F086.047.0208&partnerID=40&md5=18a982b269d6ab9bc97f4b0376612558,NA,NA,NA,"In mate choice copying, a male is more likely to be chosen by other females simply by being observed mating. A recent finding is that women are influenced in their assessments of men by the phenotypic quality of males' sexual partners. We recently proposed that the term 'mate quality bias' should be used to differentiate this phenomenon from 'mate choice copying'. Here, under the guise of a dating preferences survey we replicated and extended some earlier results. We found that when presented to female raters, men are more desirable dates when they are depicted as having had relatively attractive (versus relatively unattractive) former partners, an effect that appears to be moderated by a second variable, namely the former partner's age. We did not find evidence for this bias effect when men rate women whose profiles have been similarly manipulated. These findings suggest the operation of a sex-specific mate choice mechanism. © Finnish Zoological and Botanical Publishing Board 2010. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 17,human behavior; mate choice; phenotype; sex-related difference,NA,NA,Aleksandra
10.1093/czoolo/61.6.1073,rayyan-471521647,Mate-choice copying: Status quo and where to go,2015,NA,NA,Current Zoology,NA,61,6,1073 - 1081,"Witte, Klaudia and Kureck, Ilka Maria",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947594939&doi=10.1093%2Fczoolo%2F61.6.1073&partnerID=40&md5=72bc0a0116460f6613d226d0386a07ec,NA,NA,NA,"Mate-choice copying is a fascinating and widespread mate-choice strategy. Individuals gather public information about potential mates by observing others during sexual interactions and choose or reject the same individual as a mate as the observed individual did before. The influence of copying behavior on an individual’s mate choice can be so strong that socially acquired information can override genetically based preferences for certain phenotypes. Thus, mate-choice copying enforces dynamic processes in sexual selection. Here, we review the current state of research on mate-choice copying and focus on sex-specific aspects. We present evidence that mate-choice copying can support the evolution of novel sexual ornaments, and we discuss potential costs of mate-choice copying when public information is not reliable. Moreover, we discuss the conflict faced by males that copy since mate-choice copying increases sperm competition. In conclusion we suggest interesting topics for future research in mate-choice copying. © 2015 Current Zoology. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 56; All Open Access; Gold Open Access,NA,NA,NA,Aleksandra
