doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1016/S0376-6357(97)00042-9,rayyan-471509295,Pavlovian conditioning of sexual behavior in male threespine stickleback (Gasterosteus aculeatus),1997,11,NA,BEHAVIOURAL PROCESSES,0376-6357,41,2,133-137,"Jenkins, J",NA,NA,NA,NA,"This study examines whether the sexual behavior of male threespine stickleback (Gasterosteus aculeatus) can be conditioned using a Pavlovian conditioning procedure. Light males were trained to discriminate between a red and a green signal where one signal (reinforced conditioned stimulus, CS +) was followed by the presentation of a gravid female and the other signal (nonreinforced stimulus, CS -) was never followed by the presentation of a female. After the training phase (240 trials), males were presented with extinction trials (160 trials). Males rapidly learned the discrimination task, performing more approaches and zigzags (a courtship dance) to the CS + than to the CS - during training trials. Throughout the extinction phase, males continued to approach and zigzag more to the CS + than to the CS -, but conditioned responses to the CS + slowly declined over this phase. Learning may be an adaptive mechanism by which a male anticipates a potential mate, and becomes prepared to court, rather than attack, an approaching female. (C) 1997 Elsevier Science B.V. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aneta
10.1098/rsbl.2009.0112,rayyan-471521867,Field crickets change mating preferences using remembered social information,2009,NA,NA,Biology Letters,NA,5,4,449 - 451,"Bailey, Nathan W. and Zuk, Marlene",https://www.scopus.com/inward/record.uri?eid=2-s2.0-67749089227&doi=10.1098%2Frsbl.2009.0112&partnerID=40&md5=62027486a1abf109ec86ed133c7e8c86,NA,NA,NA,"Plasticity in female mate choice can fundamentally alter selection onmale ornaments, but surprisingly few studies have examined the role of social learning in shaping female mating decisions in invertebrates. We used the field cricket Teleogryllus oceanicus to show that females retain information about the attractiveness of available males based on previous social experience, compare that information with incoming signals and then dramatically reverse their preferences to produce final, predictable, mating decisions. Male ornament evolution in the wild may depend much more on the social environment and behavioural flexibility through learning than was previously thought for non-social invertebrates. The predictive power of these results points to a pressing need for theoretical models of sexual selection that incorporate effects of social experience. © 2009 The Royal Society. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 87; All Open Access; Green Accepted Open Access; Green Open Access,cricket; decision making; evolutionary biology; learning; mate choice; ornamentation; preference ...,NA,NA,Aneta
10.1642/0004-8038(2004)121{[}0156:BAGIOA]2.0.CO;2,rayyan-471509163,Behavioral and genetic identification of a hybrid Vidua: Maternal origin and mate choice in a brood-parasitic finch,2004,1,NA,AUK,NA,121,1,156-161,"Payne, RB and Sorenson, MD",NA,NA,NA,NA,"Hybrid male Vidua were observed in the field and recorded to document host song mimicry. The mtDNA of one male was sequenced to identify the maternal parent. The hybrid males mimicked songs of Melba Finch (Pytilia melba), the usual host of Long-tailed Paradise Whydah (V paradisaea), but the mtDNA matched that of indigobirds (V chalybeata or another species), which parasitize and mimic other estrildid finches. This combination of song behavior and genetics is consistent with a two-generation history that began with a female indigobird (e.g. V chalybeata) laying in a Melba Finch nest rather than in a nest of her usual host (e.g. Red-billed Firefinch {[}Lagonosticta senegala]). Her daughter, genetically an indigobird, imprinted on her Melba Finch foster parents and then mated with a male paradise whydah mimicking Melba Finch song. She also laid eggs in Melba Finch nests. Her son, the male hybrid carrying his grandmother's indigobird mtDNA, learned and later mimicked Melba Finch song. Genetic identification of the maternal species origin of this hybrid supports a model of mate choice based on mimetic song in the Vidua finches. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aneta
10.1038/s41598-019-48392-x,rayyan-471509190,Sexual experience has no effect on male mating or reproductive success in house mice,2019,8,NA,SCIENTIFIC REPORTS,2045-2322,9,NA,NA,"Thonhauser, Kerstin E. and Raffetzeder, Alexandra and Penn, Dustin J.",NA,NA,NA,NA,"The ability to learn from experience can improve Darwinian fitness, but few studies have tested whether sexual experience enhances reproductive success. We conducted a study with wild-derived house mice (Mus musculus musculus) in which we manipulated male sexual experience and allowed females to choose between (1) a sexually experienced versus a virgin male, (2) two sexually experienced males, or (3) two virgin males (n = 60 females and 120 males). This design allowed us to test whether females are more likely to mate multiply when they encounter more virgin males, which are known to be infanticidal. We recorded females' preference and mating behaviours, and conducted genetic paternity analyses to determine male reproductive success. We found no evidence that sexual experience influenced male mating or reproductive success, and no evidence that the number of virgin males influenced female multiple mating. Females always copulated with both males and 58\% of the litters were multiple-sired. Females' initial attraction to a male correlated with their social preferences, but neither of these preference behaviours predicted male reproductive success - raising caveats for using mating preferences as surrogates for mate choice. Male reproductive success was predicted by mating order, but unexpectedly, males that copulated first sired fewer offspring. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aneta
10.1159/000076783,rayyan-471507853,Neural constraints on the complexity of avian song,2004,NA,NA,BRAIN BEHAVIOR AND EVOLUTION,0006-8977,63,4,221-232,"DeVoogd, TJ",NA,NA,NA,NA,"Why do birds sing? In many species, because the song attracts or retains a mate. Why do females pay attention? This paper reviews evidence that females may do so because male song can be an honest indicator of attributes of a male's brain that could contribute to his fitness or that of his young. Male songbirds learn and produce their songs using a set of brain regions collectively known as the song system. The learning has distinct auditory and motor components, and current data suggest that the neural changes that encode these forms of learning primarily occur in different subdivisions of the song system. There are positive correlations between song complexity and the volume of motor song system nucleus HVC, both between and within species. The correlations appear to arise because individual differences in volume lead to differences in capacity for learning. The differences in HVC volume are correlated with differences in the volumes of other song system components and with the volume of the forebrain. They are heritable. Thus, a complex song can be a signal to a female of immediate fitness ( the male has a larger brain) and ultimate fitness ( he has attractive characteristics that will be passed on to progeny). Copyright (C) 2004 S. Karger AG, Basel. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aneta
10.1111/j.1095-8312.2005.00538.x,rayyan-471509619,No species barrier by call in an avian hybrid zone between California and Gambel's quail (Callipepla californica and C-gambelii),2005,10,NA,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4066,86,2,253-264,"Gee, JM",NA,NA,NA,NA,"Acoustic signals sometimes act as premating isolating barriers between animal species, but we know little about the circumstances that dictate the presence and strength of these barriers. Among insects, barriers to backcrossing are strengthened by acoustic signals that are under genetic control. Hybrid signals tend to be intermediate to parental signals, and signals are recognized only by like-types, which results in reinforced species boundaries. This is not typically the case in avian taxa. Instead, acoustic signal transmission is controlled by some combination of genes and learning, and perhaps as a consequence of this variation, vocalizations play a diversity of roles in avian hybrid zones. I used California and Gambel's quail (Callipepla californica and C. gambelii), hybridizing birds that do not learn to vocalize, to explore whether genetically determined vocalizations function as a species barrier. Using spectral analysis, I measured temporal features of calls of uniquely colour-banded quail that were recorded across one area of the California and Gambel's quail hybrid zone. Species discrimination is known to occur under captive conditions, though its basis is unexplored. Here I show that differences in the calls of parental species are likely great enough to permit species discrimination. Hybrid call components were intermediate to those of the parental species and covaried with genetic traits, as assessed with seven highly polymorphic microsatellite loci. Contrary to expectation, males as frequently called in response to unlike- as like-type females who had initiated antiphonal calling, which is a courtship call between a female and a male. Furthermore, paired males and females did not share like-type assembly calls, nor was there a correlation between the female's genetic or plumage traits and her mate's advertisement call. Based on these results, I conclude that California and Gambel's quail recognize each other and hybrids as potential mates and backcrossing occurs frequently. Thus, compatible mating signals could contribute to increased mixing of gene pools and slow the rate of speciation. I suggest that selection to respond to wide signal variation within species and imprinting on calls of mixed-species coveys may cause mating signal compatibility between classes within the area of hybridization. (c) 2005 The Linnean Society of London. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aneta
10.1016/j.evolhumbehav.2007.11.007,rayyan-471521923,Social influence in human face preference: men and women are influenced more for long-term than short-term attractiveness decisions,2008,NA,NA,Evolution and Human Behavior,NA,29,2,140 - 146,"Little, Anthony C. and Burriss, Robert Philip and Jones, Benedict Christopher and DeBruine, Lisa M. and Caldwell, Christine A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049098645&doi=10.1016%2Fj.evolhumbehav.2007.11.007&partnerID=40&md5=8777375d622722f3af16982350a88957,NA,NA,NA,"In nonhuman animals, mate-choice copying has received much attention, with studies demonstrating that females tend to copy the choices of other females for specific males. Here we show, for both men and women, that pairing with an attractive partner increases the attractiveness of opposite-sex faces for long-term relationship decisions but not short-term decisions. Our study therefore shows social transmission of face preference in humans, which may have important consequences for the evolution of human traits. Our study also highlights the flexibility of human mate choice and suggests that, for humans, learning about nonphysical traits that are important to pair-bonding drives copying-like behavior. © 2008 Elsevier Inc. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 95,Animalia,NA,NA,Aneta
10.1636/ST06-15.1,rayyan-471521938,"A review of leg ornamentation in male wolf spiders, with the description of a new species from Australia, Artoria Schizocoides (Araneae, Lycosidae)",2007,NA,NA,Journal of Arachnology,NA,35,1,89 - 101,"Framenau, Volker Wilhelm and Hebets, Eileen A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250870164&doi=10.1636%2FST06-15.1&partnerID=40&md5=c8710aae9923b1a5bff1a3b78d102447,NA,NA,NA,"Morphological modifications of the first pair of legs in addition to widespread color variations of these legs among males of closely related species have been reported in a variety of spiders. Here, the evidence for sexual dimorphism in male foreleg morphology within wolf spiders (family Lycosidae) is reviewed and shown to occur in a number of species belonging to at least seven genera in five subfamilies: Alopecosa, Hogna, Schizocosa (all Lycosinae) Pirata (Piratinae), Evippa, (Evippinae), Pardosa (Pardosinae) and Artoria (Artoriinae). These modifications, often in combination with distinct dark pigmentation, can be divided into three major groups: leg elongation, segment swelling and exaggerated setation (""""brushes""""). The latter two occur mainly on the tibial segment of the first leg. The function of these foreleg modifications has been studied most extensively in the genus Schizocosa. Since the courtship displays of all male Schizocosa incorporate a seismic component, foreleg ornamentation (namely pigmentation and associated """"brushes"""") composes only one part of a multimodal courtship display. The function of this foreleg ornamentation appears to vary across closely related Schizocosa species and in some instances involves an interaction with the seismic signaling component. In most instances it appears to play a role in female mate choice and/or mate choice learning. In addition to reviewing lycosid foreleg modifications, we describe a new species of wolf spider, Artoria schizocoides from southwestern Western Australia that possesses sexually dimorphic modifications of the tibia of the first leg. Unique within the Artoriinae, males of this species carry spatulate setae on the ventral side of the tibia of the first leg that differ morphologically from other leg modifications in wolf spiders. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 44; All Open Access; Bronze Open Access,Alopecosa; Araneae; Artoria; Hogna; Lycosidae; Pardosa; Pirata; Schizocosa,NA,NA,Aneta
10.1016/S0020-7519(96)80001-4,rayyan-471507902,Sex differences in parasite infections: Patterns and processes,1996,10,NA,INTERNATIONAL JOURNAL FOR PARASITOLOGY,0020-7519,26,10,1009-1023,"Zuk, M and McKean, KA",NA,NA,NA,NA,"Sex differences in parasite infection rates, intensities, or population patterns are common in a wide range of taxa. These differences are usually attributed to 1 of 2 causes: (1) ecological (sociological in humans); and (2) physiological, usually hormonal in origin. Examples of the first cause include differential exposure to pathogens because of sex-specific behavior or morphology. The second cause may stem from the well-documented association between testosterone and the immune system; sexually mature male vertebrates are often more susceptible to infection and carry higher parasite burdens in the field. Although many researchers favor one explanation over the other, the requisite controlled experiments to rule out confounding variables are often neglected, We suggest that sex differences in disease have evolved just as sex differences in morphology and behavior, and are the result of selection acting differently on males and females. Research has often focused on proximate mechanistic explanations for the sex difference in infection rates, but it is equally important to understand the generality of the patterns in an evolutionary context, Because males potentially gain more than females by taking risks and engaging in competition, sexual selection pressure has shaped male behavior and appearance to maximize competitive ability and attractiveness. Many of the classic male attributes such as antlers on deer are testosterone-dependent, putting males in what appears to be a cruel bind: become vulnerable to disease by developing an attractive secondary sexual ornament, or risk towered mating success by reducing it, A variety of hypotheses have been put forward to explain why males have not circumvented this dilemma. The mating system of the host species will influence the likelihood of sex differences in parasite infection, because males in monogamous species are subject to weaker sexual selection than males in polygynous species. Whether these evolutionary generalizations apply to invertebrates, which lack testosterone, remains to be seen. Copyright (C) 1996 Australian Society for Parasitology. Published by Elsevier Science Ltd. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aneta
10.1016/j.anbehav.2018.12.002,rayyan-471509466,Social ontogeny in the communication system of an insect,2019,2,NA,ANIMAL BEHAVIOUR,0003-3472,148,NA,93-103,"Desjonqueres, Camille and Maliszewski, Jak and Lewandowski, Emma Nicole and Speck, Bretta and Rodriguez, Rafael Lucas",NA,NA,NA,NA,"In humans and some other mammals and birds, the development of communication systems requires social feedback. How do such systems evolve from ancestral states featuring innate developmental mechanisms? We report evidence of a novel form of social ontogeny in the communication system of Enchenopa treehoppers that suggests an answer to this question. These insects use plant-borne vibrational signals throughout their lives. Signal repertoires of nymphs and adults differed and showed sexually dimorphic ontogenetic trajectories; individual differences projected into some of the features of adult signals and mate preferences. Signals and mate preferences differed between adults reared in isolation and adults reared in groups, but even individuals reared in isolation developed species-typical signals. In this type of social ontogeny, peer inputs cause variation in signals and preferences. Thus, even innate communication systems can be socially malleable. This may set the stage for the evolution of obligate social feedbacks in communication: the starting point is already socially plastic and does not require learning to arise de novo. (C) 2018 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Aneta
