doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,primary_screener,secondary_screener
10.1016/j.anbehav.2023.05.011,rayyan-471507900,"Sperm allocation in relation to male-male aggression and courtship in an externally fertilizing fish, the medaka",2023,8,NA,ANIMAL BEHAVIOUR,0003-3472,202,NA,9-19,"Kondo, Yuki and Kohda, Masanori and Koya, Yasunori and Awata, Satoshi",NA,NA,NA,NA,"Sperm production is physiologically costly; therefore, males that mate multiple times are expected to allocate sperm prudently to maximize their fitness. Sperm allocation theory has been widely tested in internally fertilizing animals; however, few studies have investigated whether males adjust the number of sperm released according to their premating experience and cues from rival males. Here, we investigated sperm allocation strategies in an externally fertilizing fish, the medaka, Oryzias latipes, in controlled conditions. We used three treatments: direct interaction with a rival (two males were allowed to interact directly with each other), visual cue only (presenting a male in a separate compartment) and no rivals (control). In the direct interaction treatment, two types of alternative male mating behaviour, simultaneous sperm release and postspawn sperm release, were observed. Premating experiences affected subsequent mating behaviour: males that were more aggressive and exhibited more prominent courtship behaviour mated females without any disturbance from the other males, whereas simultaneous sperm release frequently occurred when both males exhibited similar levels of aggression and courtship behaviours. We also counted the sperm released per mating from the water tank. There was no change in the number of sperm released in the presence of visual cues of competition or direct interaction with the other males before mating. However, males (focal and/or rival) released more sperm only when sperm competition was high, that is, when a rival male successfully disrupted mating before simultaneous sperm release. Our results indicate that medaka males may adjust the number of sperm released per mating in different mating environments.\& COPY; 2023 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Anna,Eduardo
10.1111/1365-2435.13416,rayyan-471521518,The correlated evolution of social competence and social cognition,2020,NA,NA,Functional Ecology,NA,34,2,332 - 343,"Varela, Susana A.M. and Teles, Magda C. and Oliveira, Rui Filipe",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070742406&doi=10.1111%2F1365-2435.13416&partnerID=40&md5=ffd8fb2d349219f4a4161eece643e1c3,NA,NA,NA,"Knowing which of correlated traits are more strongly targeted by selection is crucial to understand the evolutionary process. For example, it could help in understanding how behavioural and cognitive adaptations to social living have evolved. Social competence is the ability of animals to optimize their social behaviours according to the demands of their social environment. It is a behavioural performance trait that expresses how well a whole organism performs complex social tasks, such as choosing mates, raising offspring, participating in dominance hierarchies, solving conflicts or forming social bonds. Non-social competence, on the other hand, is the ability of animals to optimize their non-social behaviours according to the demands of their non-social environment, such as finding food or avoiding predators. Social and non-social cognition are correlated lower-level traits of social and non-social competence, respectively, encompassing the underlying psychological and neural mechanisms of behaviour that allow animals to acquire, encode, store and recall information about their social and non-social environments. Here, we employ the theoretical framework that selection acts on performance traits first and on lower-level traits only secondarily, to propose a new approach to the study of the evolution of social cognition. We hypothesize that when selection favours social competence, the cognitive system becomes more adapted to the social domain, making species biased for social information, and increasing their degree of sociality. The opposite can happen when selection favours non-social competence. The level of specialization that the cognitive system can attain depends on whether social and non-social competence are correlated with the same cognitive lower-level traits. This in turn will determine whether species will evolve a type of social cognition that is general—that contributes with cognitive abilities that can be used in both social and non-social environments—or modular—that contributes with cognitive abilities that are specific to the social environment. A free Plain Language Summary can be found within the Supporting Information of this article. © 2019 The Authors. Functional Ecology © 2019 British Ecological Society | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 23; All Open Access; Bronze Open Access,artificial intelligence; brain; cognition; competition (ecology); complexity; correlation; evolut...,NA,NA,Anna,Eduardo
10.1007/s10164-019-00585-7,rayyan-471509127,The role of arrival time to the breeding grounds in the song development of juvenile pied flycatchers,2019,5,NA,JOURNAL OF ETHOLOGY,0289-0771,37,2,229-233,"Fong, Lydia J. M. and Labra, Antonieta and Lampe, Helene M.",NA,NA,NA,NA,"Few studies on song learning have been conducted in the field. Male pied flycatchers (Ficedula hypoleuca) seem to learn song syllables in the breeding grounds. Adult males arrive first to the breeding grounds and sing more complex songs until they have paired. Early arriving juveniles may have more opportunities to learn new syllables from adult neighbours and develop more complex songs than later arriving juveniles. However, results suggest that arrival time is not important in song complexity development, but that males develop greater song complexity (repertoire size and song versatility) regardless as they age. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Anna,Eduardo
10.1098/rspb.2024.1201,rayyan-471521406,Mate-choice copying accelerates species range expansion,2024,NA,NA,Proceedings of the Royal Society B: Biological Sciences,NA,291,2029,NA,"Sapage, Manuel and Santos, Mauro and Matos, Margarida and Schlupp, Ingo B. and Varela, Susana A.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201916771&doi=10.1098%2Frspb.2024.1201&partnerID=40&md5=8643197d9c4bf8def563dac4b675228e,NA,NA,NA,"Mate-choice copying is a type of social learning in which females can change their mate preference after observing the choice of others. This behaviour can potentially affect population evolution and ecology, namely through increased dispersal and reduced local adaptation. Here, we simulated the effects of mate-choice copying in populations expanding across an environmental gradient to understand whether it can accelerate or retard the expansion process. Two mate-choice copying strategies were used: (i) when females target a single individual and (ii) when females target similar individuals. We also simulated cases where the male trait singled out by females with mate choice maps perfectly onto his genotype or is influenced by genotype-by-environment interactions. These rules have different effects on the results. When a trait is determined by genotype alone, populations where copier females target all similar males expand faster and the number of potential copiers increased. However, when preference is determined by genotype-by-environment interactions, populations where copier females target a single male had higher dispersal and also expand faster, but the potential number of copiers decreases. The results show that mate-choice copying can accelerate the expansion process, although its adaptiveness depends on the information animals use in different contexts. © 2024 The Author(s). | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 0; All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,animal; environmental gradient; genotype; individualism; local adaptation; mate choice; populatio...,NA,NA,Anna,Eduardo
10.1016/bs.asb.2022.01.001,rayyan-471508990,"Learned components of courtship: A focus on postural displays, choreographies and construction abilities - ADVANCES IN THE STUDY OF BEHAVIOR, VOL. 54",2022,NA,NA,NA,0065-3454,54,NA,43-108,"Spezie, Giovanni and Quigley, Cliodhna and Fusani, Leonida",NA,NA,NA,NA,NA | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv,NA,NA,NA,NA,Anna,Eduardo
10.1016/j.anbehav.2020.05.003,rayyan-471509145,On problem solving and the evolution of cognitive abilities by mate choice: a reply to Camacho-Alpizar et al. (2020),2020,7,NA,ANIMAL BEHAVIOUR,0003-3472,165,NA,E5-E7,"Chen, Jiani and Zou, Yuqi and Sun, Yue-Hua and ten Cate, Carel",NA,NA,NA,NA,"In an earlier study (Chen et al., 2019, Science, 363(6423), 166-167), we showed that budgerigar, Melopsittacus undulatus, females increase their preference for males that were observed solving two extractive foraging problems. Camacho-Alpizar et al. (2020, Animal Behaviour, 165, e1-e3) question whether this outcome shows that females evaluate the cognitive skills of males. Their main argument is that individual differences in problem solving are often due to differences in noncognitive abilities. Here we outline the differences between the use of problem-solving tasks as it is mostly done and how we used it in our study. We argue that our design maximizes the chance that observed differences in male problem solving indicate differences in learning abilities to an observing female. We agree with Camacho-Alpizar et al. that the topic of the evolution of cognitive abilities through sexual selection deserves further study and hope our study (Chen et al., 2019), Camacho-Alpizar et al.'s comment and this reply will stimulate further research. (c) 2020 The Authors. Published by Elsevier Ltd on behalf of The Association for the Study of Animal Behaviour. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/). | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Anna,Eduardo
10.1016/j.rsma.2023.103033,rayyan-471507595,"Population structure and reproductive biology of Clibanarius rhabdodactylus Forest, 1953 (Crustacea: Anomura: Diogenidae) in Gujarat state, India",2023,10,NA,REGIONAL STUDIES IN MARINE SCIENCE,2352-4855,63,NA,NA,"Patel, Krupal J. and Vachhrajani, Kauresh D. and Trivedi, Jigneshkumar N.",NA,NA,NA,NA,"The population structure of a hermit crab, Clibanarius rhabdodactylus Forest, 1953 (Diogenidae), was studied in the rocky intertidal region of Veraval, located on the Saurashtra coast, Gujarat state, India. Monthly sampling was carried out from March 2021 to February 2022 during low tide time using the handpicking technique, while the catch per unit effort method was employed by one person during the period of 4 h in an area of 500 m2. The collected individuals were classified as male, non-ovigerous female, and ovigerous female. Size (mm) and weight (g), egg size, number, and egg mass weight were recorded and fecundity was calculated. A clear sexual dimorphism was observed, with males being significantly larger than females. The overall sex ratio was female biased. The overall size frequency distribution showed bimodal distribution in male while unimodal in females. Ovigerous females occurred throughout the year with peaks in January to June and September to October, showing a continuous reproductive pattern of the species. The total number of eggs, size of eggs, and total weight of egg mass showed a positive correlation with the shield length and body weight of the ovigerous females.\& COPY; 2023 Elsevier B.V. All rights reserved. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Anna,Eduardo
10.1007/s10211-022-00406-0,rayyan-471521418,"Effects of anthropogenic noise on cognition, bill color, and growth in the zebra finch (Taeniopygia guttata)",2023,NA,NA,Acta Ethologica,NA,26,3,185 - 199,"Daria, Charlie and Slevin, Morgan C. and Anderson, Rindy C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144496386&doi=10.1007%2Fs10211-022-00406-0&partnerID=40&md5=1749c6f8b7b28fe3fe9a3147517ec68f,NA,NA,NA,"There is growing concern that anthropogenic noise has various deleterious effects on wildlife in urban environments. In humans, it has been suggested that anthropogenic noise exposure during childhood can have long-term effects on cognitive processes in adulthood. Here we tested if urban noise impacts avian cognitive performance by testing adult zebra finches (Taeniopygia guttata) on several cognition tasks in the presence or absence of urban noise playback. We also tested if urban noise impacts growth and cognitive development by testing adult zebra finches on cognition tasks after exposing them to urban noise, pink noise, or no noise during their first 90 days of life. We found that urban noise exposure marginally reduced cognitive performance during tests of a novel motor skill but did not reduce performance during tests of color association learning or spatial memory tasks. We found that urban noise exposure during development marginally affected cognitive performance in adulthood on a color association task. While urban noise exposure during development did not affect adult body size, treated males and females developed less bright bill coloration and redder bills, respectively, than untreated birds. Our results suggest that urban noise exposure may affect morphological traits, such as bill color, that influence social interactions and mate choice. Future studies should examine how noise exposure affects other cognitive behaviors, such as social behavior, and how social behavior in turn might exacerbate or mitigate negative effects of noise. © 2022, The Author(s) under exclusive licence to ISPA, CRL. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 6,NA,NA,NA,Anna,Eduardo
10.1111/mec.15578,rayyan-471507755,Many loci make light work: High individual diversity despite low population diversity and random mating at class I MHC in a Critically Endangered island songbird,2020,10,NA,MOLECULAR ECOLOGY,0962-1083,29,19,3575-3577,"MacDougall-Shackleton, Elizabeth A.",NA,NA,NA,NA,"Multi-cellular organisms are under constant attack from parasites, making immune defence a critical aspect of fitness. In vertebrate animals, genes of the major histocompatibility complex (MHC) determine the breadth of pathogens to which individuals can respond. Having many MHC alleles can confer better protection against infectious disease, and balancing selection at MHC is widespread. Indeed, MHC loci are famously variable, with some populations harbouring thousands of alleles (Biedrzycka et al., 2018; Robinson, Soormally, Hayhurst, \& Marsh, 2016). MHC has also long fascinated behavioural ecologists because mate choice-for example, preferring MHC-dissimilar partners-may amplify the effects of natural selection (Penn \& Potts, 1999). But despite keen interest in the evolutionary ecology of MHC, extensive duplication (Minias, Pikus, Whittingham, \& Dunn, 2019) has made these genes challenging to study. In a From the Cover article in this issue ofMolecular Ecology, Stervander, Dierickx, Thorley, Brooke, and Westerdahl (2020) characterizes class I MHC in a Critically Endangered songbird, relating genotype to mate choice and survivorship. By inferring copy number and patterns of allelic co-segregation, the authors pave the way to elucidating the genomic architecture of MHC in this bottlenecked population. These insights help reconcile apparently counterintuitive findings: no effect of MHC genotype on mate choice or survival, and high MHC diversity within individuals despite low diversity at the population level. The latter finding is cause for optimism regarding conservation prospects. Moreover, these results suggest that ancient duplication events can have longstanding effects on the adaptive landscapes of natural and sexual selection. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Anna,Eduardo
10.1007/s12119-021-09858-1,rayyan-471507487,Attending to Social Information: What Makes Men Less Desirable,2021,12,NA,SEXUALITY \& CULTURE-AN INTERDISCIPLINARY JOURNAL,1095-5143,25,6,1946-1965,"Anderson, Ryan C.",NA,NA,NA,NA,"Mate copying is a type of social influence whereby the desirability of a potential mate is modified as a result of being romantically chosen by an opposite-sex other. While research into mate copying typically focuses on how an individual's desirability can be raised by having a previous partner, it can also be lowered. Here we present two studies that look at how a previous partner can influence how one is romantically perceived. Study 1 presented women (N = 103) with profiles of men alongside mate-relevant information offered by the former partners of the men, and had them rate the long-term desirability of the featured men. Using a similar methodology, Study 2 (N = 284) varied who was providing the information. Study 1 found that a man's perceived desirability is lowered when a previous partner offers negative information about the relationship. Study 2 found that a man's perceived romantic desirability can be lowered depending on who his previous partner was and how long they were romantically associated for. It was concluded that relationship decisions about a prospective romantic partner are influenced by both implicit and explicit information provided by their former partners. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Anna,Eduardo
