doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1002/jez.2074,rayyan-471509233,Hatching asynchrony impacts cognition inmale zebra finches,2017,2,NA,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,2471-5646,327,2,89-97,"Campbell, Simone A. and Beck, Michelle L. and Sewall, Kendra B.",NA,NA,NA,NA,"Conditions experienced early in life can shape brain development and later cognition. Altricial songbirds are particularly vulnerable to early environmental perturbations. Research on ``Developmental Stress{''} in songbirds has addressed how early-life conditions may impair song learning and has been extended to consider other components of adult phenotype. Early-life challenges ranging from ectoparasites to competition with siblings have been shown to compromise song learning and other measures of cognition, as well as behavioral strategy. Here, we examined both the effects of hatching asynchrony and early-life immune system challenge with lipopolysaccharide (LPS) on neophobia, song learning, motoric learning, and spatial cognition in male zebra finches (Taeniopygia guttata). We found that hatch order had a significant impact on motoric and spatial learning, such that later hatched males performed better than first and second hatched birds. In contrast, LPS treatment only impacted motoric learning and neither hatch order nor immune system challenge impacted song quality, song learning accuracy, or neophobia. These results are consistent with a growing body of evidence that conditions early in life can improve cognitive performance at adulthood. Moreover, these findings indicate that hatch order is an important factor to consider in developmental studies in asynchronously hatching birds. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Ayumi
10.1016/j.beproc.2020.104062,rayyan-471521514,Lack of sibling avoidance during mate selection in the butterfly Bicyclus anynana,2020,NA,NA,Behavioural Processes,NA,173,NA,NA,"Robertson, Deonna N. and Sullivan, Timothy J. and Westerman, Erica L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079282207&doi=10.1016%2Fj.beproc.2020.104062&partnerID=40&md5=bc8891d58d079481b69d6e65537d3980,NA,NA,NA,"Species susceptible to inbreeding depression are hypothesized to combat this problem through a number of different mechanisms, including kin recognition. For species with kin recognition, it is unknown if filial recognition is innate or due to prior juvenile experience with siblings. Here, we first test for the presence of kin recognition, and then test these two hypotheses for the development of filial recognition, in the butterfly Bicyclus anynana, a species that suffers from inbreeding depression when forcibly inbred but recovers within a few generations when allowed to breed freely. We evaluate whether the rapid recovery from inbreeding depression is associated with either innate or learned filial recognition. First, we determined whether females innately prefer unrelated males over sibling males using females reared in isolation and then given a choice between an unrelated and a sibling male. Then, we determined if females raised with siblings learned to detect and avoid mating with siblings as adults when provided a choice between an unrelated male and a sibling male. Finally, we determined if females raised with siblings could learn to detect and avoid mating with familiar siblings when given a choice between familiar and unfamiliar siblings. We found that females mated randomly in all three choice combinations. Observed male behavior also did not influence female mating outcome. Our results suggest that adult females do not innately avoid or learn to avoid siblings during mate selection, and that filial detection may not be as critical to reproductive fitness in B. anynana as previously thought. © 2020 Elsevier B.V. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 7,butterfly; fitness; inbreeding depression; kin recognition; male behavior; mate choice; adult; ar...;Animal; Siblings,NA,NA,Ayumi
10.1016/j.evolhumbehav.2017.09.005,rayyan-471507864,The influence of shape and colour cue classes on facial health perception,2018,1,NA,EVOLUTION AND HUMAN BEHAVIOR,1090-5138,39,1,19-29,"Jones, Alex L.",NA,NA,NA,NA,"Facial appearance signals information about an individual, and one trait in particular is vitally important for social interaction and mate choice decisions: physical health. Facial cues to health can be divided into two broad classes - facial shape, which is linked to previous health and is relatively fixed; and facial colouration, which changes over the short-term, reflecting current health. These cue classes in themselves give insight into the kinds of health condition valued by human observers when making social inferences. Here, using novel and generalizable methods, the influence of these cue classes on health perception and their link to a measure of general health are examined. Study One employs a Brunswik lens model approach, finding that observers utilise exclusively shape cues to judge health, and that of these shape cues, only averageness is related to a measure of self-reported general health. Study Two shows that when averageness and carotenoid colouration are varied together, both make separable contributions to perceived health, but that averageness explains a larger proportion of variance. Taken together, these results indicate that humans may have evolved to favour cues to previous condition when judging health, because they are more valid. However, the findings also suggest that the role of facial appearance in perceiving health is more complex than previously thought, with different cues potentially reflecting specific aspects of physiological health. Crown Copyright (C) 2017 Published by Elsevier Inc. All rights reserved. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Ayumi
10.1016/j.anbehav.2011.12.027,rayyan-471509548,Male song structure predicts reproductive success in a wild zebra finch population,2012,3,NA,ANIMAL BEHAVIOUR,0003-3472,83,3,773-781,"Woodgate, Joseph L. and Mariette, Mylene M. and Bennett, Andrew T. D. and Griffith, Simon C. and Buchanan, Katherine L.",NA,NA,NA,NA,"The zebra finch is the model species for the study of the evolution of birdsong, female song preferences, song learning and the neural processes underlying song learning and production. Despite this, almost all work to date in these fields has focused on domesticated zebra finches in captivity and remarkably little is known about song preferences, or the reproductive success of males with different songs, in wild populations. In this study we tested, for the first time in a wild zebra finch population, whether a male's song structure predicts his reproductive success. We recorded male songs in a nestbox population. Males from this wild population sang longer songs, with a higher peak frequency, than domesticated males. The number of each male's offspring that survived until day 12 posthatching (a proxy for fledging success) was used as a measure of reproductive success. Nestlings were partially cross-fostered, allowing us to disentangle the indirect effects of male genetic quality or maternal effects from those of direct benefits such as parental care. Male song structure predicted the number of genetic offspring surviving, as well as hatching success, but not the number or size of eggs in a clutch. Song structure did not predict the number of unrelated foster-offspring that survived. These results provide the first evidence that differences in male song can predict differences in reproductive success in the zebra finch, and suggest that differences in genetic quality are responsible, rather than differences in parental care or maternal investment in the eggs. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Ayumi
10.2466/07.17.21.PR0.109.5.639-648,rayyan-471521783,Contact avoidance toward people with Stigmatized attributes: Mate choice,2011,NA,NA,Psychological Reports,NA,109,2,639 - 648,"Kawano, Kazuaki and Hanari, Takashi and Ito, Kimio",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955148363&doi=10.2466%2F07.17.21.PR0.109.5.639-648&partnerID=40&md5=312bd454521abe6e4b18b92d753811ff,NA,NA,NA,"If contact avoidance is used to avoid harmful people, then this can play an important role when people choose a spouse, by eliminating undesirable people from the list of candidates. The purpose of this study was to reveal the sex difference in contact avoidance toward people with stigmatic attributes, who are therefore disadvantaged as spouse candidates. A total of 228 university students (101 men, 127 women) participated in the survey. Seven types of men and women with stigmatic characteristics were presented and the respondents asked how much they wanted to avoid contact with each type of person in eight physical contact situations. Female respondents wanted to avoid contact with stigmatized men more than with stigmatized women. On the other hand, male respondents showed comparable responses to both stigmatized men and women. The results were considered from the perspective of mate selection based on evolutionary psychology. © Psychological Reports 2011. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 1,adolescent; adult; affect; article; avoidance behavior; decision making; female; human; male; mar...,NA,NA,Ayumi
10.1098/rsbl.2014.0786,rayyan-471521676,Population properties affect inbreeding avoidance in moose,2014,NA,NA,Biology Letters,NA,10,12,NA,"Herfindal, Ivar and Haanes, Hallvard and Røed, Knut Håkon and Solberg, Erling Johan and Markussen, Stine Svalheim and Heim, Morten and Sæther, Bernt Erik",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955202735&doi=10.1098%2Frsbl.2014.0786&partnerID=40&md5=98172e463aafbbd193fbd327fdf94ec7,NA,NA,NA,"Mechanisms reducing inbreeding are thought to have evolved owing to fitness costs of breeding with close relatives. In small and isolated populations, or populations with skewed age- or sex distributions, mate choice becomes limited, and inbreeding avoidance mechanisms ineffective. We used a unique individual-based dataset on moose from a small island in Norway to assess whether inbreeding avoidance was related to population structure and size, expecting inbreeding avoidance to be greater in years with larger populations and even adult sex ratios. The probability that a potential mating event was realized was negatively related to the inbreeding coefficient of the potential offspring, with a stronger relationship in years with a higher proportion or number of males in the population. Thus, adult sex ratio and population size affect the degree of inbreeding avoidance. Consequently, conservation managers should aim for sex ratios that facilitate inbreeding avoidance, especially in small and isolated populations. © 2014 The Author(s) Published by the Royal Society. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 14; All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,adult; deer; inbreeding avoidance; individual-based model; mate choice; population size; populati...,NA,NA,Ayumi
10.1111/j.1558-5646.2008.00496.x,rayyan-471521901,Does genetic relatedness of mates influence competitive fertilization success in guppies?,2008,NA,NA,Evolution,NA,62,11,2929 - 2935,"Evans, Jonathan Paul and Brooks, Robert C. and Zajitschek, S. R.K. and Griffith, Simon C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-54849412304&doi=10.1111%2Fj.1558-5646.2008.00496.x&partnerID=40&md5=95e74933f01833327092a8b01838ffc3,NA,NA,NA,"A growing number of studies highlight the nontransitive properties of ejaculates when they are in competition to fertilize a female's eggs. Increasingly, these studies suggest that postcopulatory processes act as a filter against sperm from closely related males or those with similar genotypes, limiting the deleterious effects of inbreeding on offspring fitness. We investigated the potential for such postcopulatory mechanisms of inbreeding avoidance in the guppy (Poecilia reticulata), a promiscuous livebearing fish. We used artificial insemination as a method of delivering to a female the combined ejaculates from a first cousin (relatedness coefficient r = 0.125) and an unrelated male. This method of sperm delivery controls behavioral processes of pre- and postcopulatory female choice, which can bias paternity toward unrelated males. Our genetic analysis revealed no effect of parental relatedness on paternity outcomes. The observed mean paternity share for related males (0.47) and associated variance did not differ significantly from an expected binomial distribution that assumes no biased use of sperm with respect to relatedness (0.5). Although our data provide no evidence for postcopulatory mechanisms of inbreeding avoidance, the ability of female guppies to influence ejaculate transfer and retention offers an alternative and easily testable mechanism of inbreeding avoidance in this species. © 2008 The Author(s). | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 16,cyprinid; female behavior; fitness; genetic analysis; genetic structure; inbreeding avoidance; ma...;Genetic; DNA Fingerprinting; Female; Fertilization; Male; Poecilia; Spermatozoa; Poecilia reticulata,NA,NA,Ayumi
10.1371/journal.pone.0036092,rayyan-471521764,"Short-term enrichment makes male rats more attractive, more defensive and alters hypothalamic neurons",2012,NA,NA,PLoS ONE,NA,7,5,NA,"Mitra, Rupshi and Sapolsky, Robert M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860453900&doi=10.1371%2Fjournal.pone.0036092&partnerID=40&md5=e23b2506187cd03e3f729b638308c43a,NA,NA,NA,"Innate behaviors are shaped by contingencies built during evolutionary history. On the other hand, environmental stimuli play a significant role in shaping behavior. In particular, a short period of environmental enrichment can enhance cognitive behavior, modify effects of stress on learned behaviors and induce brain plasticity. It is unclear if modulation by environment can extend to innate behaviors which are preserved by intense selection pressure. In the present report we investigate this issue by studying effects of relatively short (14-days) environmental enrichment on two prominent innate behaviors in rats, avoidance of predator odors and ability of males to attract mates. We show that enrichment has strong effects on both the innate behaviors: a) enriched males were more avoidant of a predator odor than non-enriched controls, and had a greater rise in corticosterone levels in response to the odor; and b) had higher testosterone levels and were more attractive to females. Additionally, we demonstrate decrease in dendritic length of neurons of ventrolateral nucleus of hypothalamus, important for reproductive mate-choice and increase in the same in dorsomedial nucleus, important for defensive behavior. Thus, behavioral and hormonal observations provide evidence that a short period of environmental manipulation can alter innate behaviors, providing a good example of gene-environment interaction. © 2012 Mitra, Sapolsky. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 34; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,corticosterone; testosterone; animal behavior; animal experiment; animal tissue; article; behavio...;Animal; Corticosterone; Female; Hypothalamus; Male; Neurons; Odors; Rats; Rats;Wistar; Sexual Behavior;Animal; Testosterone,NA,NA,Ayumi
10.1007/s00265-021-03122-0,rayyan-471507908,The gullible genius: fast learners fall for fake news,2022,1,NA,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,76,1,NA,"Gavriilidi, Ioanna and Baeckens, Simon and De Meester, Gilles and Van Linden, Lisa and Van Damme, Raoul",NA,NA,NA,NA,"In many animals, decision-making is influenced by social learning, i.e. the acquisition of insights through the observation of other individuals' behaviours. In cases where such socially obtained information conflicts with personally acquired knowledge, animals must weigh up one form of information against the other. Previous studies have found that individual animals differ consistently in how they trade-off socially versus personally acquired knowledge, but why this is so remains poorly understood. Here, we investigate whether an animal's cognitive profile affects its decision to use either prior personal or new, conflicting social information, using the Italian wall lizard (Podarcis siculus) as our model species. We trained lizards to associate one of two colour cues with food, and subsequently allowed them to observe a conspecific trained for the opposite colour. After social demonstrations, lizards overall tended to use the `fake', non-rewarding social information, but some individuals were more likely to do so than others. Lizards that showed faster spatial learning were more likely to copy social information even in the presence of reliable previous knowledge. Our study highlights the existence of significant inter-individual variation in social learning in a lizard, possibly mirroring variation in cognitive abilities. Significance statement Animals often use social information in daily decision-making. Whenever knowledge obtained through personal experience conflicts with observations of decisions made by conspecifics, individuals must weigh these two types of information against each other. Individuals tend to differ in whether they prioritize social versus private information, but why this is so, remains poorly understood. Using lizards, we tested whether an animal's cognitive profile affects its decision to use either prior personal or new, conflicting social information. We found considerable variation among individuals in social information use and tendency to rely on personal or public knowledge. Specifically, faster spatial learners inclined to copy social information, even in the presence of reliable previous knowledge, suggesting that intrinsic, cognitive aspects influence how individuals trade-off public and private information. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Ayumi
10.1098/rspb.2008.0302,rayyan-471509513,Encoding choosiness: female attraction requires prior physical contact with individual male scents in mice,2008,8,NA,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,275,1644,1727-1735,"Ramm, Steven A. and Cheetham, Sarah A. and Hurst, Jane L.",NA,NA,NA,NA,"Scents, detected through both the main and vomeronasal olfactory systems, play a crucial role in regulating reproductive behaviour in many mammals. In laboratory mice, female preference for airborne urinary scents from males (detected through the main olfactory system) is learnt through association with scents detected through the vomeronasal system during contact with the scent source. This may reflect a more complex assessment of individual males than that implied by laboratory mouse studies in which individual variation has largely been eliminated. To test this, we assessed female preference between male and female urine using wild house mice with natural individual genetic variation in urinary identity signals. We confirm that females exhibit a general preference for male over female urine when able to contact urine scents. However, they are only attracted to airborne urinary volatiles from individual males whose urine they have previously contacted. Even females with a natural exposure to many individuals of both sexes fail to develop generalized attraction to airborne male scents. This implies that information gained through contact with a specific male's scent is essential to stimulate attraction, providing a new perspective on the cues and olfactory pathways involved in sex recognition and mate assessment in rodents. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Ayumi
