doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1038/sj.hdy.6884281,rayyan-471522050,New perspectives on mate choice and the MHC,1998,NA,NA,Heredity,NA,81,2,127 - 133,"Jordan, William C. and Bruford, Michael W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032144140&doi=10.1038%2Fsj.hdy.6884281&partnerID=40&md5=b6d08985c46e8dc1a94b95cc4e84c2e4,NA,NA,NA,"A long series of studies on mice has shown that mate choice decisions can be made on the basis of individual genotype at the major histocompatibility complex (MHC), which accords well with the importance of immunocompetence in some theories of sexual selection. Recent work on other vertebrate species, including humans, indicates that MHC-based mate choice is not restricted to the genus Mus. However, its importance may vary among species as a result of differences in social and mating system structure, and perhaps genome structure. There appears to be a general preference expressed for MHC-dissimilar mates, and such MHC-disassortative mating may be involved in maintaining MHC and/or genome-wide diversity in natural populations. The strength and direction of MHC-based mating preference can vary, and may be modulated by factors such as genetic background, sex, and early life experience. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 96,genetic diversity; genome organization; genotype; major histocompatibility complex; mating system...;Inbred Strains; Sexual Behavior; Sexual Behavior;Animal; Social Behavior; Variation (Genetics); Vertebrates; Vertebrata,NA,NA,Cassidy
10.1093/czoolo/61.6.1008,rayyan-471521648,Fruit fly courtship: The female perspective,2015,NA,NA,Current Zoology,NA,61,6,1008 - 1014,"Dukas, Reuven and Scott, Andrew M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947575762&doi=10.1093%2Fczoolo%2F61.6.1008&partnerID=40&md5=58056dbdca8c59e2fe98d07139780176,NA,NA,NA,"Research on fruit fly courtship has mostly focused on males’ behavioral repertoire whereas females have been assumed to respond by either rejecting or accepting males. In many fruit fly species including Drosophila melanogaster, however, mating typically follows an extended period of courtship, which provides ample opportunities for females to inform males about their likelihood of mating. Our experiments indeed revealed that sexually immature females in both D. melanogasterand D. simulans showed responses to conspecific males that were distinct from those of sexually mature females. Furthermore, females’ responses to conspecific males were different from their responses to heterospecific males. Our data indicate that females’ behavioral repertoire early in courtship can inform males about their probability of mating if they persist in courting. We hypothesize (i) that males can rely on behavioral feedback from females for optimally allocating their courtship efforts towards distinct female classes, (ii) that males may learn to modulate their courtship behavior based on specific feedback from females, and (iii) that females may learn to alter their behavior towards distinct types of males in order to elicit the desired male response. Overall, we suggest that, although little explored, female behavior determines the dynamics of courtship and mating and can thus influence sexual selection and incipient speciation. © 2015 Current Zoology. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 19; All Open Access; Gold Open Access,NA,NA,NA,Cassidy
10.3389/fvets.2019.00062,rayyan-471521566,Sociality and wild animal welfare: Future directions,2019,NA,NA,Frontiers in Veterinary Science,NA,6,NA,NA,"Brakes, Philippa",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065449567&doi=10.3389%2Ffvets.2019.00062&partnerID=40&md5=c7f9733cec81470a81f760d71c85a36c,NA,NA,NA,"Emergent evidence of aspects of sociality, such as social structure and social learning, across many vertebrate taxa, warrant more detailed consideration of their influence on welfare outcomes for wildlife. Sociality can be dynamic across organismal development, it can: provide protection through safety in numbers; may influence breeding outcomes via mate choice and alloparental care; can influence foraging success through transmission of social information and co-operation; and it can provide opportunities for the spread of novel behavior. Social learning itself provides an important mechanism for resilience in changing environments, but also has the potential to increase vulnerability or facilitate the spread of maladaptive behaviors. The welfare consequences of vertebrates living in social groups are explored using Wilson's 10 qualities of sociality as a framework, and the implications of human activities are discussed. Focus to date has been on the importance of social networks for the welfare of farmed or captive animals. Here I consider the importance of social networks and sociality more generally for the welfare of wildlife and explore Mellor's five domain model for animal welfare within the context of wildlife sociality. © 2019 Brakes. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 22; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,animal welfare; cognition; cultural anthropology; human; nonhuman; Review; risk assessment; socia...,NA,NA,Cassidy
10.1146/annurev.ecolsys.17.1.17,rayyan-471522108,Biology of birds of paradise and bowerbirds.,1986,NA,NA,Annual review of ecology and systematics. Vol. 17,NA,NA,NA,17 - 37,"Diamond, Jared M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022845906&doi=10.1146%2Fannurev.ecolsys.17.1.17&partnerID=40&md5=e7d7b14b6a283a6c1d21c414906425ac,NA,NA,NA,"Examines 5 themes in the Paradisaeidae and Ptilonorhynchidae: 1) Systematics (supra- and intrafamilial taxonomic relationships). 2) Feeding, including comments on diet. 3) Social systems (which range from territorial monogamy with male parental care to arena polygyny with no male parental care) and dispersion patterns. 4) Sexual selection and mate choice, focusing on bower building and display, and discussing cues sought by females and the nature of benefits to females from mate choice. 5) Bower building, including examination of the evolution and maintenance of bower form, and the role of learning in transmission of bower style where intraspecific geographical variation may be largely, and interspecific variation partly, culturally transmitted traits. -P.J.Jarvis | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 61,Paradisaeidae; Ptilonorhynchidae,NA,NA,Cassidy
10.1098/rspb.2015.1046,rayyan-471509248,Cognitive ability is heritable and predicts the success of an alternative mating tactic,2015,6,NA,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,282,1809,NA,"Smith, Carl and Philips, Andre and Reichard, Martin",NA,NA,NA,NA,"The ability to attract mates, acquire resources for reproduction, and successfully outcompete rivals for fertilizations may make demands on cognitive traits the mechanisms by which an animal acquires, processes, stores and acts upon information from its environment. Consequently, cognitive traits potentially undergo sexual selection in some mating systems. We investigated the role of cognitive traits on the reproductive performance of male rose bitterling (Rhodeus ocellatus), a freshwater fish with a complex mating system and alternative mating tactics. We quantified the learning accuracy of males and females in a spatial learning task and scored them for learning accuracy. Males were subsequently allowed to play the roles of a guarder and a sneaker in competitive mating trials, with reproductive success measured using paternity analysis. We detected a significant interaction between male mating role and learning accuracy on reproductive success, with the best-performing males in maze trials showing greater reproductive success in a sneaker role than as a guarder. Using a cross-classified breeding design, learning accuracy was demonstrated to be heritable, with significant additive maternal and paternal effects. Our results imply that male cognitive traits may undergo intra-sexual selection. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Cassidy
10.1016/j.exger.2020.111218,rayyan-471509399,The link between relative brain size and cognitive ageing in female guppies (Poecilia reticulata) artificially selected for variation in brain size,2021,4,NA,EXPERIMENTAL GERONTOLOGY,0531-5565,146,NA,NA,"Boussard, Annika and Amcoff, Mirjam and Buechel, Severine D. and Kotrschal, Alexander and Kolm, Niclas",NA,NA,NA,NA,"Cognitive ageing is the general process when certain mental skills gradually deteriorate with age. Across species, there is a pattern of a slower brain structure degradation rate in large-brained species. Hence, having a larger brain might buffer the impact of cognitive ageing and positively affect survival at older age. However, few studies have investigated the link between relative brain size and cognitive ageing at the intraspecific level. In particular, experimental data on how brain size affects brain function also into higher age is largely missing. We used 288 female guppies (Poecilia reticulata), artificially selected for large and small relative brain size, to investigate variation in colour discrimination and behavioural flexibility, at 4-6, 12 and 24 months of age. These ages are particularly interesting since they cover the life span from sexual maturation until maximal life length under natural conditions. We found no evidence for a slower cognitive ageing rate in large-brained females in neither initial colour discrimination nor reversal learning. Behavioural flexibility was predicted by large relative brain size in the youngest group, but the effect of brain size disappeared with increasing age. This result suggests that cognitive ageing rate is faster in large-brained female guppies, potentially due to the faster ageing and shorter lifespan in the large-brained selection lines. It also means that cognition levels align across different brain sizes with older age. We conclude that there are cognitive consequences of ageing that vary with relative brain size in advanced learning abilities, whereas fundamental aspects of learning can be maintained throughout the ecologically relevant life span. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Cassidy
10.1073/pnas.1118378109,rayyan-471521759,Biased learning affects mate choice in a butterfly,2012,NA,NA,Proceedings of the National Academy of Sciences of the United States of America,NA,109,27,10948 - 10953,"Westerman, Erica L. and Hodgins-Davis, Andrea and Dinwiddie, April J. and Monteiro, Antónia F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863576220&doi=10.1073%2Fpnas.1118378109&partnerID=40&md5=d7c80a92cf4a03c9371a272b54d790d4,NA,NA,NA,"Early acquisition of mate preferences or mate-preference learning is associated with signal diversity and speciation in a wide variety of animal species. However, the diversity of mechanisms of matepreference learning across taxa remains poorly understood. Using the butterfly Bicyclus anynana we uncover a mechanism that can lead to directional sexual selection via mate-preference learning: a bias in learning enhanced ornamentation, which is independent of preexisting mating biases. Naïve females mated preferentially with wild-type males over males with enhanced wing ornamentation, but females briefly exposed to enhanced males mated significantly more often with enhanced males. In contrast, females exposed to males with reduced wing ornamentation did not learn to prefer drab males. Thus, we observe both a learned change of a preexisting mating bias, and a bias in ability to learn enhanced male ornaments over reduced ornaments. Our findings demonstrate that females are able to change their preferences in response to a single social event, and suggest a role for biased learning in the evolution of visual sexual ornamentation. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 72; All Open Access; Bronze Open Access,animal behavior; article; Bicyclus anynana; butterfly; controlled study; female; forelimb; geneti...,NA,NA,Cassidy
10.1111/eth.12632,rayyan-471521615,High levels of gene flow among song dialect populations of the Puget Sound white-crowned sparrow,2017,NA,NA,Ethology,NA,123,9,581 - 592,"Poesel, Angelika and Fries, Anthony C. and Miller, Lisa and Gibbs, H. Lisle and Soha, Jill A. and Nelson, Douglas A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021704812&doi=10.1111%2Feth.12632&partnerID=40&md5=ab2bcdb2f49ad238f7a7d843acf466c9,NA,NA,NA,"Populations within a species can show geographic variation in behavioral traits that affect mating decisions or limit dispersal. This may lead to restricted gene flow, resulting in a correlation between behavioral variation and genetic differentiation. Populations of a songbird that differ in a learned behavioral trait, their song dialects, may also differ genetically. If song dialects function as mating barriers, evolutionary processes such as genetic drift should lead to divergence in allele frequencies among dialect populations. The Puget Sound white-crowned sparrow (Zonotrichia leucophrys pugetensis) is an excellent study system with a well-defined series of song dialects along the Pacific Northwest coast. A previous study found low genetic differentiation based on four microsatellite loci; however, available loci and analyses techniques have since dramatically improved and allow us to reassess gene flow in this species. We also add extra samples to fill in gaps and add a new level of analysis of geographic variation. Based on acoustic similarities, we group six song dialects into two geographically larger “northern” and “southern” song themes. One southern dialect is acoustically more similar to dialects in the north, which makes the genetic profile of birds singing this dialect particularly interesting. Traditional F-statistics, analysis of molecular variance as well as Bayesian techniques confirmed the earlier result that geographic variation in song does not correlate with the neutral genetic structure of the sampled dialect populations. The song themes also did not differ genetically, and the origin of the extralimital northern-theme dialect cannot be determined. We compare this result to findings in several other species and discuss how the timing of learning and dispersal allow vocalizations to vary independently of patterns of genetic divergence. © 2017 Blackwell Verlag GmbH | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 11,assortative mating; behavioral response; divergence; DNA; gene flow; genetic drift; genetic marke...,NA,NA,Cassidy
10.1111/brv.12160,rayyan-471509605,Acoustic sequences in non-human animals: a tutorial review and prospectus,2016,2,NA,BIOLOGICAL REVIEWS,1464-7931,91,1,13-52,"Kershenbaum, Arik and Blumstein, Daniel T. and Roch, Marie A. and Akcay, Caglar and Backus, Gregory and Bee, Mark A. and Bohn, Kirsten and Cao, Yan and Carter, Gerald and Caesar, Cristiane and Coen, Michael and DeRuiter, Stacy L. and Doyle, Laurance and Edelman, Shimon and Ferrer-i-Cancho, Ramon and Freeberg, Todd M. and Garland, Ellen C. and Gustison, Morgan and Harley, Heidi E. and Huetz, Chloe and Hughes, Melissa and Bruno, Julia Hyland and Ilany, Amiyaal and Jin, Dezhe Z. and Johnson, Michael and Ju, Chenghui and Karnowski, Jeremy and Lohr, Bernard and Manser, Marta B. and McCowan, Brenda and Mercado, III, Eduardo and Narins, Peter M. and Piel, Alex and Rice, Megan and Salmi, Roberta and Sasahara, Kazutoshi and Sayigh, Laela and Shiu, Yu and Taylor, Charles and Vallejo, Edgar E. and Waller, Sara and Zamora-Gutierrez, Veronica",NA,NA,NA,NA,"Animal acoustic communication often takes the form of complex sequences, made up of multiple distinct acoustic units. Apart from the well-known example of birdsong, other animals such as insects, amphibians, and mammals (including bats, rodents, primates, and cetaceans) also generate complex acoustic sequences. Occasionally, such as with birdsong, the adaptive role of these sequences seems clear (e.g. mate attraction and territorial defence). More often however, researchers have only begun to characterise-let alone understand-the significance and meaning of acoustic sequences. Hypotheses abound, but there is little agreement as to how sequences should be defined and analysed. Our review aims to outline suitable methods for testing these hypotheses, and to describe the major limitations to our current and near-future knowledge on questions of acoustic sequences. This review and prospectus is the result of a collaborative effort between 43 scientists from the fields of animal behaviour, ecology and evolution, signal processing, machine learning, quantitative linguistics, and information theory, who gathered for a 2013 workshop entitled, `Analysing vocal sequences in animals'. Our goal is to present not just a review of the state of the art, but to propose a methodological framework that summarises what we suggest are the best practices for research in this field, across taxa and across disciplines. We also provide a tutorial-style introduction to some of the most promising algorithmic approaches for analysing sequences. We divide our review into three sections: identifying the distinct units of an acoustic sequence, describing the different ways that information can be contained within a sequence, and analysing the structure of that sequence. Each of these sections is further subdivided to address the key questions and approaches in that area. We propose a uniform, systematic, and comprehensive approach to studying sequences, with the goal of clarifying research terms used in different fields, and facilitating collaboration and comparative studies. Allowing greater interdisciplinary collaboration will facilitate the investigation of many important questions in the evolution of communication and sociality. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Cassidy
10.1038/s44159-024-00385-y,rayyan-471509417,The sensory valuation account of aesthetic experience,2025,1,NA,NATURE REVIEWS PSYCHOLOGY,NA,4,1,49-63,"Nadal, Marcos and Skov, Martin",NA,NA,NA,NA,"Aesthetic experience, characterized by distinctive features, and to occur when people engage with sensory objects with a specific attitude. However, contemporary research demonstrates that aesthetic experiences are rooted in neurobiological mechanisms common to hedonic evaluations of objects and are shared by other animals. These results require a reconceptualization of the traditional view of aesthetic experience. In this Perspective, we first synthesize relevant findings from psychological aesthetics and neuroaesthetics. On this basis, we then propose a different conceptualization of aesthetic experience. Sensory valuation is the transfer of sensory information to the reward system, which prompts the anticipation and production of positive or negative hedonic values and motivational dispositions. This process is modulated by executive, semantic and physiological regulation systems. Consequently, evaluative outcomes are not solely determined by stimulus properties, but are substantially shaped by the agent's learned experience, physiological state and ongoing behavioural circumstances. Aesthetic experience has traditionally been considered a unique kind of experience that occurs when people view specific objects such as artwork. In this Perspective, Nadal and Skov posit an account of aesthetic experience that emphasizes its similarities to other types of experience. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Cassidy
10.1016/j.anbehav.2018.01.020,rayyan-471509343,Song is not a reliable signal of general cognitive ability in a songbird,2018,3,NA,ANIMAL BEHAVIOUR,0003-3472,137,NA,205-213,"DuBois, Adrienne L. and Nowicki, Stephen and Peters, Susan and Rivera-Caceres, Karla D. and Searcy, William A.",NA,NA,NA,NA,"Learned aspects of song affect female mating preferences in a number of species of songbirds, including swamp sparrows, Melospiza georgiana. One explanation for why female songbirds attend to such song features is that these song attributes convey information on the general cognitive ability of singers. The fact that song attributes and cognitive ability are affected during development by the same stressors makes a connection between the two plausible. Here we test the hypothesis that song is a signal of cognitive ability by relating five measures of song quality to five measures of cognitive performance in 49 captive male swamp sparrows. The five song measures are repertoire size, mean and minimum vocal deviation (measures of vocal performance), and mean and maximum typicality (measures of song learning). Cognitive performance was measured as the speed with which five cognitive tasks were mastered: a novel foraging task, a colour association, a colour reversal, a spatial learning problem and a detour-reaching test. In general linear mixed models controlling for neophobia, none of the song measures were predictive of any of the cognitive performance measures. Thus the results do not support the hypothesis that song attributes signal general cognition in swamp sparrows. (C) 2018 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Cassidy
