doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,primary_screener,secondary_screener
10.1002/ece3.9066,rayyan-471509221,Exploring the interplay between natural and intersexual selection on the evolution of a cognitive trait,2022,7,NA,ECOLOGY AND EVOLUTION,2045-7758,12,7,NA,"Barou-Dagues, Marie and Dubois, Frederique",NA,NA,NA,NA,"There has been an increased focus on the role of natural and sexual selection in shaping cognitive abilities, but the importance of the interaction between both forces remains largely unknown. Intersexual selection through female mate choice might be an important driver of the evolution of cognitive traits, especially in monogamous species, where females may obtain direct fitness benefits by choosing mates with better cognitive abilities. However, the importance given by female to male cognitive traits might vary among species and/or populations according to their life-history traits and ecology. To disentangle the effects of natural and sexual selection, here we use an agent-based simulation model and compare the model's predictions when females mate with the first randomly encountered male (i.e., under natural selection) versus when they choose among males based on their cognitive trait values (i.e., under natural and intersexual selection). Males and females are characterized, respectively, by their problem-solving ability and assessment strategy. At each generation, agents go through (1) a choosing phase during which females assess the cognitive abilities of potential mates until eventually finding an acceptable one and (2) a reproductive phase during which all males compete for limited resources that are exploited at a rate, which depends on their cognitive abilities. Because males provide paternal care, the foraging success of mated males determines the breeding success of the pair through its effect on nestling provisioning efficiency. The model predicts that intersexual selection plays a major role in most ecological conditions, by either reinforcing or acting against the effect of natural selection. The latter case occurs under harsh environmental conditions, where intersexual selection contributes to maintaining cognitive diversity. Our findings thus demonstrate the importance of considering the interaction between both selective forces and highlight the need to build a conceptual framework to target relevant cognitive traits. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Christine,Eduardo
10.1093/beheco/araa064,rayyan-471521499,A meta-analysis of factors influencing the strength of mate-choice copying in animals,2020,NA,NA,Behavioral Ecology,NA,31,6,1279 - 1290,"Davies, Alice D. and Lewis, Zenobia J. and Dougherty, Liam R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097593129&doi=10.1093%2Fbeheco%2Faraa064&partnerID=40&md5=e64f7daa931efeb8b101aaf8de8b10e8,NA,NA,NA,"Mate-choice copying is a form of social learning in which an individual's choice of mate is influenced by the apparent choices of other individuals of the same sex and has been observed in more than 20 species across a broad taxonomic range. Though fitness benefits of copying have proven difficult to measure, theory suggests that copying should not be beneficial for all species or contexts. However, the factors influencing the evolution and expression of copying have proven difficult to resolve. We systematically searched the literature for studies of mate-choice copying in nonhuman animals and, then, performed a phylogenetically controlled meta-analysis to explore which factors influence the expression of copying across species. Across 58 published studies in 23 species, we find strong evidence that animals copy the mate choice of others. The strength of copying was significantly influenced by taxonomic group; however, sample size limitations mean it is difficult to draw firm conclusions regarding copying in mammals and arthropods. The strength of copying was also influenced by experimental design: copying was stronger when choosers were tested before and after witnessing a conspecific's mate choice compared to when choosers with social information were compared to choosers without. Importantly, we did not detect any difference in the strength of copying between males and females or in relation to the rate of multiple mating. Our search also highlights that more empirical work is needed to investigate copying in a broader range of species, especially those with differing mating systems and levels of reproductive investment. © 2020 The Author(s) 2020. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 37; All Open Access; Bronze Open Access,Arthropoda; Mammalia,NA,NA,Christine,Eduardo
10.1098/rstb.2020.0308,rayyan-471509382,Efficiency fosters cumulative culture across species,2022,1,NA,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8436,377,1843,NA,"Gruber, T. and Chimento, M. and Aplin, L. M. and Biro, D.",NA,NA,NA,NA,"Recent studies in several taxa have demonstrated that animal culture can evolve to become more efficient in various contexts ranging from tool use to route learning and migration. Under recent definitions, such increases in efficiency might satisfy the core criteria of cumulative cultural evolution (CCE). However, there is not yet a satisfying consensus on the precise definition of efficiency, CCE or the link between efficiency and more complex, extended forms of CCE considered uniquely human. To bring clarity to this wider discussion of CCE, we develop the concept of efficiency by (i) reviewing recent potential evidence for CCE in animals, and (ii) clarifying a useful definition of efficiency by synthesizing perspectives found within the literature, including animal studies and the wider iterated learning literature. Finally, (iii) we discuss what factors might impinge on the informational bottleneck of social transmission, and argue that this provides pressure for learnable behaviours across species. We conclude that framing CCE in terms of efficiency casts complexity in a new light, as learnable behaviours are a requirement for the evolution of complexity. Understanding how efficiency greases the ratchet of cumulative culture provides a better appreciation of how similar cultural evolution can be between taxonomically diverse species-a case for continuity across the animal kingdom. This article is part of a discussion meeting issue `The emergence of collective knowledge and cumulative culture in animals, humans and machines'. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Christine,Eduardo
10.1093/evolut/qpaf044,rayyan-471509430,Ultraviolet in swallowtail butterflies: contrasted dorso-ventral evolution highlights a trade-off between natural and sexual selection on visual cues,2025,6,NA,EVOLUTION,0014-3820,79,6,995-1006,"Puissant, Agathe and Llaurens, Violaine",NA,NA,NA,NA,"The evolutionary dynamics of color pattern diversification in animals is strongly influenced by visual interactions within and among species. While much attention has been given to color pattern variation in the human-visible range, perception outside this range is observed in a wide array of species and is poised to influence color pattern evolution. Butterfly species often show sensitivity to ultraviolet (UV) light, impacting wing color pattern diversification as their evolution is influenced by both predator vision and sexual selection. Here, we explore UV color pattern diversification in Papilionidae within a comparative phylogenetic framework by quantifying variation from UV photographs of museum specimens using a machine-learning-based method. We find decoupled dorsal and ventral UV color pattern evolution, with brighter and more rapidly evolving ventral sides, especially in males. Conversely, we find a smaller dorso-ventral difference in visible-light color patterns. Moreover, we find divergence in male ventral UV patterns in closely related sympatric species, even after accounting for variation due to visible-light patterns. These results suggest an influence of sexual selection on UV ventral pattern diversification. These findings highlight how the trade-off between sexual and natural selection may lead to contrasted evolution of ventral vs. dorsal sides of the same organ. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Christine,Eduardo
10.1111/1365-2435.13294,rayyan-471521542,Cognitive resonance: When information carry-over constrains cognitive plasticity,2019,NA,NA,Functional Ecology,NA,33,4,703 - 711,"Ferrari, Maud C.o. and Horn, Marianna E. and Chivers, Douglas P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061449005&doi=10.1111%2F1365-2435.13294&partnerID=40&md5=74d4b1a73313f8163a08ef81d8c2808a,NA,NA,NA,"When faced with a changing environment, some species appear to adapt quickly, while others seem unable to update the value of environmental cues on which they base their decisions, leading them to display seemingly maladaptive responses. While behavioural and cognitive plasticity are two traits that should predict the ability of species to update the value of environmental cues, we argue that this flexibility may be constrained by ontogeny. While sensitive periods have been shown to exist for establishing an individual’s food, habitat and mate preference, no studies have established the existence of a cognitive sensitive period for predation-related information. In this study, we used wood frogs, Lithobates sylvaticus, to demonstrate the existence of a sensitive period for predation-related information, with risk information learned as embryos maintained for more than 5 weeks, while the same information learned as tadpoles was unused after just 10 days. Next, we demonstrated that tadpoles that had learned a cue as safe as embryos were unable to update the cue as risky after three fear conditioning attempts, while tadpoles that learned the cue as safe a few days prior did successfully update the cue as risky after three conditionings. We coined the term “cognitive resonance” to describe how information learned early in life can have marked cognitive consequence later in life, affecting not only the duration for which information learned is actively used in decision-making, but how this information can interfere with the acquisition of up-to-date information about the environment. Cognitive resonance might be beneficial in stable environments where the change in the value of a cue is relatively small through time, but it can quickly become costly in environments where the identity of potential threats changes quickly, as in the case of introduced species. A plain language summary is available for this article. © 2019 The Authors. Functional Ecology © 2019 British Ecological Society | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 13,behavioral response; cognition; decision making; embryonic development; environmental change; env...,NA,NA,Christine,Eduardo
10.7554/eLife.80859,rayyan-471509569,Desiccation resistance differences in Drosophila species can be largely explained by variations in cuticular hydrocarbons,2022,12,NA,ELIFE,2050-084X,11,NA,NA,"Wang, Zinan and Receveur, Joseph P. and Pu, Jian and Cong, Haosu and Richards, Cole and Liang, Muxuan and Chung, Henry",NA,NA,NA,NA,"Maintaining water balance is a universal challenge for organisms living in terrestrial environments, especially for insects, which have essential roles in our ecosystem. Although the high surface area to volume ratio in insects makes them vulnerable to water loss, insects have evolved different levels of desiccation resistance to adapt to diverse environments. To withstand desiccation, insects use a lipid layer called cuticular hydrocarbons (CHCs) to reduce water evaporation from the body surface. It has long been hypothesized that the water-proofing capability of this CHC layer, which can confer different levels of desiccation resistance, depends on its chemical composition. However, it is unknown which CHC components are important contributors to desiccation resistance and how these components can determine differences in desiccation resistance. In this study, we used machine-learning algorithms, correlation analyses, and synthetic CHCs to investigate how different CHC components affect desiccation resistance in 50 Drosophila and related species. We showed that desiccation resistance differences across these species can be largely explained by variation in CHC composition. In particular, length variation in a subset of CHCs, the methyl-branched CHCs (mbCHCs), is a key determinant of desiccation resistance. There is also a significant correlation between the evolution of longer mbCHCs and higher desiccation resistance in these species. Given that CHCs are almost ubiquitous in insects, we suggest that evolutionary changes in insect CHC components can be a general mechanism for the evolution of desiccation resistance and adaptation to diverse and changing environments. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Christine,Eduardo
10.1016/j.avrs.2025.100230,rayyan-471521391,Testing for assortative mating based on migratory phenotypes in the Common Tern (Sterna hirundo),2025,NA,NA,Avian Research,NA,16,2,NA,"Piro, Simon and Schmitz-Ornés, Angela",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219023081&doi=10.1016%2Fj.avrs.2025.100230&partnerID=40&md5=438add1ca1d64ed8300d88d7ce3c923c,NA,NA,NA,"Tracking and mating data of Common Terns (Sterna hirundo) breeding in a single colony in north-eastern Germany were used to test for assortative mating in regards to migratory phenotypes. These birds use the eastern and western African migration routes and three different wintering areas along the African coast. However, no assortative mating was found for either migratory route or wintering area, as birds using both flyways and all three wintering areas paired randomly, which might be explained by a lack of difference in the arrival date at the colony between the groups. These results might indicate a low degree of genetic fixation of migratory route and wintering area in the Common Tern, which might hint that migratory direction and wintering sites could be passed to young terns via social learning, either by joining the parents or migratory flocks of conspecifics. If migratory phenotypes are passed on by a parent, it seems more likely that it is passed from father to young, as female Common Terns tend to leave the colony earlier and males provide the majority of post-fledging care. © 2025 The Authors | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 1; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,NA,NA,NA,Christine,Eduardo
10.1093/icb/icab040,rayyan-471509592,Beyond Cognitive Templates: Re-Examining Template Metaphors Used for Animal Recognition and Navigation,2021,10,NA,INTEGRATIVE AND COMPARATIVE BIOLOGY,1540-7063,61,3,825-841,"Sung, Jenny Y. and Harris, Olivia K. and Hensley, Nicholai M. and Chemero, Anthony P. and Morehouse, I, Nathan",NA,NA,NA,NA,"The term ``cognitive template{''} originated from work in human-based cognitive science to describe a literal, stored, neural representation used in recognition tasks. As the study of cognition has expanded to nonhuman animals, the term has diffused to describe a wider range of animal cognitive tools and strategies that guide action through the recognition of and discrimination between external states. One potential reason for this nonstandardized meaning and variable employment is that researchers interested in the broad range of animal recognition tasks enjoy the simplicity of the cognitive template concept and have allowed it to become shorthand for many dissimilar or unknown neural processes without deep scrutiny of how this metaphor might comport with underlying neurophysiology. We review the functional evidence for cognitive templates in fields such as perception, navigation, communication, and learning, highlighting any neural correlates identified by these studies. We find that the concept of cognitive templates has facilitated valuable exploration at the interface between animal behavior and cognition, but the quest for a literal template has failed to attain mechanistic support at the level of neurophysiology. This may be the result of a misled search for a single physical locus for the ``template{''} itself. We argue that recognition and discrimination processes are best treated as emergent and, as such, may not be physically localized within single structures of the brain. Rather, current evidence suggests that such tasks are accomplished through synergies between multiple distributed processes in animal nervous systems. We thus advocate for researchers to move toward a more ecological, process-oriented conception, especially when discussing the neural underpinnings of recognition-based cognitive tasks. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv","Symposium on Spatiotemporal Dynamics of Animal Communication at the Virtual Annual Meeting of the Society-for-Integrative-and-Comparative-Biology, ELECTR NETWORK, JAN 03-07, 2021",NA,NA,NA,Christine,Eduardo
10.1371/journal.pbio.3002321,rayyan-471507705,Could sexual selection be driven by the mistaken inferences of young females?,2023,10,NA,PLOS BIOLOGY,1544-9173,21,10,NA,"Mendelson, Tamra C. and Patricelli, Gail L. and Hebets, Eileen A.",NA,NA,NA,NA,"A new evolutionary model of mate choice copying, published in PLOS Biology, aims to reconcile mismatches between theory and data by proposing that juvenile females mistakenly imprint on male phenotypes that were not in fact preferred by the female they copied. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Christine,Eduardo
10.1016/j.anbehav.2020.06.002,rayyan-471521506,"Behavioural flexibility in the courtship dance of golden-collared manakins, Manacus vitellinus",2020,NA,NA,Animal Behaviour,NA,166,NA,61 - 71,"Janisch, Judith and Perinot, Elisa and Fusani, Leonida",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087298721&doi=10.1016%2Fj.anbehav.2020.06.002&partnerID=40&md5=e59cadb03c21a1f6c37d044f6468eef3,NA,NA,NA,"Courtship displays have been traditionally considered stereotyped behaviours. Many elaborate courtships are displayed in specific locations or in courts prepared by the displaying individuals. Sudden environmental events may alter the spatial structure of the displaying site, and individuals should be able to cope with such disruptions. In some mating systems, courtship is the only or main trait used in mate choice. This is the case in lek mating systems where male mating success is highly skewed and intense sexual selection may drive the evolution of elaborate courtship. The golden-collared manakin is a lekking species of the Neotropical forests. Males have an elaborate courtship display that includes a series of acrobatic jumps within a court delimited by small saplings. The courtship ends with a jump on one of the saplings, called the mating sapling, which invites the female to copulate. The display of each male follows a consistent routine that males establish at the beginning of the reproductive season. We hypothesized that males possess behavioural flexibility to adapt their courtship behaviour to unpredictable environmental changes. We investigated the effects of a sudden disruption of the court configuration by placing a piece of bark on the mating sapling. Males gradually established a new display sequence with an alternative mating sapling, demonstrating a high level of behavioural flexibility that suggests the involvement of motor learning. When the bark was removed, some males reverted to the original sequence, showing retention of the original display sequence. Our study provides evidence for the involvement of motor learning in the establishment and adjustment of elaborate courtship displays. © 2020 The Authors | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 8; All Open Access; Hybrid Gold Open Access,copulation; courtship; display behavior; learning; lek; mate choice; mating success; passerine; s...,NA,NA,Christine,Eduardo
