doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1016/j.anbehav.2017.02.006,rayyan-471521626,"Genes, environments and their interaction: song and mate choice in canaries",2017,NA,NA,Animal Behaviour,NA,126,NA,261 - 269,"Trösch, Miléna and Müller, Wendt and Eens, Marcel and Iserbyt, Arne",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015783981&doi=10.1016%2Fj.anbehav.2017.02.006&partnerID=40&md5=6639907c0b8df7551bfdcecffbd2d106,NA,NA,NA,"Male secondary sexual traits and female mate choice traits must contain heritable variation for sexual selection to operate. However, for female mate choice, especially, this is poorly known. To complicate matters, both male sexual traits and female mate choice typically show condition dependence, implying that environmental effects probably play an important synergistic role. Using a cross-fostering design, we therefore aimed to disentangle genetic, environmental and their potential interacting effects to investigate how they affect the expression of a sexually selected trait (here birdsong) and female mate choice. To assess environmental effects, we focused on the role of the social environment and thus on learned components. Among the different male song traits investigated, we found a high heritability for song bout length and song bout repertoire, as well as an intriguing gene-by-environment interaction for song bout repertoire. Specifically, the tutor appeared to negatively affect the song bout repertoire of the tutee when his genetic father had a large song bout repertoire but had a positive effect on descendants from fathers with small song bout repertoires. In contrast, we did not detect significant heritability in female mate choice. Female mate choice contained a learned component as females significantly disfavoured their foster father in the mate choice tests, indicating a learned inbreeding avoidance. Thus, our study provides important insights into the role of the social environment for both birdsong and female mate choice. However, the absence of a heritable component in female mate choice suggests a need for studies investigating the heritability of female preferences for (heritable) male song traits in order to gain a better understanding of a potential coevolution between male sexual traits and female mate choice. Overall, our results suggest that indirect genetic effects acting during the pre- and postfledging social contexts may play a prominent role in sexual selection. © 2017 The Association for the Study of Animal Behaviour | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 9,coevolution; environmental impact; gene; gene expression; genotype-environment interaction; herit...,NA,NA,Eduardo
10.1093/isd/ixab016,rayyan-471509570,"Phylogenomic Variation at the Population-Species Interface and Assessment of Gigantism in a Model Wolf Spider Genus (Lycosidae, Schizocosa)",2021,9,NA,INSECT SYSTEMATICS AND DIVERSITY,NA,5,5,NA,"Starrett, James and Bui, Ashley and McGinley, Rowan and Hebets, Eileen A. and Bond, Jason E.",NA,NA,NA,NA,"Animal body size has important evolutionary implications. The wolf spider genus Schizocosa Chamberlin, 1904 has developed as a model for studies on courtship, with visual and vibratory signals receiving attention; however, body size has never been carefully evaluated. Although species of Schizocosa can be distinguished from their close relatives by differences in genitalic structures, male ornamentation, and behavior, some species are morphologically similar, making diagnosis, and identification difficult. Evaluation of species boundaries using genetic data across Schizocosa is limited. The similar species S. maxima Dondale \& Redner, 1978 and S. mccooki (Montgomery, 1904) are separated predominantly on the basis of size differences, with S. maxima being larger. We evaluate the evolution of size in these two Schizocosa species distributed in western North America, where gigantism of S. maxima is hypothesized to occur, particularly in California. We sampled subgenomic data (RADseq) and inferred the phylogeny of S. mccooki, S. maxima, and relatives. We apply a variational autoencoder machine learning approach to visualize population structuring within widespread S. mccooki and evaluate size within the context of a comparative phylogenetic framework to test the hypotheses related to genetic clustering of populations and gigantism. Our data show S. mccooki populations are not genealogically exclusive with respect to S. maxima. Likewise, S. maxima individuals are not recovered as a lineage and do not form an isolated genetic cluster, suggesting that the observed differences in size cannot be used to accurately delimit species. The cause of gigantism in S. maxima remains unexplained, but provides a framework for future studies of size variation and speciation. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Eduardo
10.1016/j.beproc.2008.11.005,rayyan-471521884,The effect of body coloration and group size on social partner preferences in female fighting fish (Betta splendens),2009,NA,NA,Behavioural Processes,NA,80,2,157 - 161,"Blakeslee, Carrie J. and McRobert, Scott P. and Brown, Alexandria C. and Clotfelter, Ethan D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249122336&doi=10.1016%2Fj.beproc.2008.11.005&partnerID=40&md5=c1ca4457033b176bac62a490bcdbb5c8,NA,NA,NA,"Females of the fighting fish Betta splendens have been shown to associate with other B. splendens females in a manner reminiscent of shoaling behavior. Since body coloration varies dramatically in this species, and since body coloration has been shown to affect shoalmate choice in other species of fish, we examined the influence of body coloration on association preferences in female B. splendens. In dichotomous choice tests, B. splendens females spent more time swimming near groups of females (regardless of coloration) than swimming near an empty chamber, and chose to swim near fish of similar coloration to their own when choosing between two distinctly colored groups of females. When examining the interplay between body coloration and group size, focal fish spent more time swimming near larger groups (N = 5) of similarly colored fish than swimming near an individual female of similar coloration. However, focal fish showed no preference when presented with an individual female of similar coloration and a larger group of females of dissimilar coloration. These results suggest that association choices in B. splendens females are strongly affected by both body coloration and by group size. © 2008 Elsevier B.V. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 26,color morph; female behavior; group size; mate choice; perciform; preference behavior; social beh...,NA,NA,Eduardo
10.1016/j.yfrne.2010.12.002,rayyan-471509425,Estradiol-dependent modulation of auditory processing and selectivity in songbirds,2011,8,NA,FRONTIERS IN NEUROENDOCRINOLOGY,0091-3022,32,3,287-302,"Maney, Donna L. and Pinaud, Raphael",NA,NA,NA,NA,"The steroid hormone estradiol plays an important role in reproductive development and behavior and modulates a wide array of physiological and cognitive processes. Recently, reports from several research groups have converged to show that estradiol also powerfully modulates sensory processing, specifically, the physiology of central auditory circuits in songbirds. These investigators have discovered that (1) behaviorally-relevant auditory experience rapidly increases estradiol levels in the auditory forebrain; (2) estradiol instantaneously enhances the responsiveness and coding efficiency of auditory neurons; (3) these changes are mediated by a non-genomic effect of brain-generated estradiol on the strength of inhibitory neurotransmission; and (4) estradiol regulates biochemical cascades that induce the expression of genes involved in synaptic plasticity. Together, these findings have established estradiol as a central regulator of auditory function and intensified the need to consider brain-based mechanisms, in addition to peripheral organ dysfunction, in hearing pathologies associated with estrogen deficiency. (C) 2010 Elsevier Inc. All rights reserved. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Eduardo
10.1016/S0195-5616(02)00103-1,rayyan-471509100,Medical differentials with potential behavioral manifestations,2003,3,NA,VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,0195-5616,33,2,213+,"Overall, KL",NA,NA,NA,NA,"Boundaries between behavioral conditions and medical differentials are likely to blur more rather than less as we learn more about genomic, cellular, and subcellular effects on common conditions. These changes should lead to better treatment but may also require a paradigm shift in how we view behavioral conditions and the mechanisms that contribute to them. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Eduardo
10.1098/rspb.2013.2873,rayyan-471521695,Male cognitive performance declines in the absence of sexual selection,2014,NA,NA,Proceedings of the Royal Society B: Biological Sciences,NA,281,1781,NA,"Hollis, Brian and Kawecki, Tadeusz J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896843325&doi=10.1098%2Frspb.2013.2873&partnerID=40&md5=a1ccafefc6a976c62e4b380d2259e873,NA,NA,NA,"Sexual selection is responsible for the evolution of male ornaments and armaments, but its role in the evolution of cognition-the ability to process, retain and use information-is largely unexplored. Because successful courtship is likely to involve processing information in complex, competitive sexual environments, we hypothesized that sexual selection contributes to the evolution and maintenance of cognitive abilities in males. To test this, we removed mate choice and mate competition from experimental populations of Drosophila melanogaster by enforcing monogamy for over 100 generations. Males evolved under monogamy became less proficient than polygamous control males at relatively complex cognitive tasks. When faced with one receptive and several unreceptive females, polygamous males quickly focused on receptive females, whereas monogamous males continued to direct substantial courtship effort towards unreceptive females. As a result, monogamous males were less successful in this complex setting, despite being as quick to mate as their polygamous counterparts with only one receptive female. This diminished ability to use past information was not limited to the courtship context: monogamous males (but not females) also showed reduced aversive olfactory learning ability. Our results provide direct experimental evidence that the intensity of sexual selection is an important factor in the evolution of male cognitive ability. © 2014 The Author(s) Published by the Royal Society. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 56; All Open Access; Bronze Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access,adaptation; cognition; courtship; experimental study; fly; male; mate choice; sexual selection; a...;Animal; Sexual Behavior;Animal,NA,NA,Eduardo
10.1093/beheco/ars057,rayyan-471521753,The challenges of mixing associational learning theory with information-based decision-making theory,2012,NA,NA,Behavioral Ecology,NA,23,5,940 - 943,"Root-Bernstein, Meredith",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865745777&doi=10.1093%2Fbeheco%2Fars057&partnerID=40&md5=a49b7927ae6ae9b36c133af08ebe7d35,NA,NA,NA,"Behavioral ecologists frequently incorporate associational learning (AL) concepts into studies of choice behavior. Within behavioral ecology, AL is often considered a mechanism for information gathering. AL also provides alternative explanations of behavioral phenomena up to the level of motivational organization over the lifetime. AL assumes that all inputs to the learning system interact through a multistep process with feedbacks to control behavior and that cues are characterized by contingencies, whereas behavioral ecology assumes that learning inputs independently control responses, are in conflict, and convey information. Integrating the 2 perspectives is not straightforward and can lead to conflicting predictions or loss of predictive power. I examine 2 sets of case studies. First, I look at parallel research programs on mating in quail. Second, I consider how AL concepts have been integrated into foraging studies of nectarivores. The papers on quail mating demonstrate that to a large degree, the 2 approaches explain similar behaviors in compatible ways. The nectarivore papers show how the theories diverge, with AL predicting challenging results. Future studies should examine how much individuals select between sources of information and how much they respond to combinations of and interactions between cues within the process described by AL, using experimental designs that allow explicit cross-paradigm comparisons through the use of identical measurements of response. © 2012 The Author. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 2; All Open Access; Bronze Open Access,behavioral ecology; behavioral response; bird; decision making; ecological theory; environmental ...,NA,NA,Eduardo
10.1111/jav.00979,rayyan-471521633,Diet and birdsong: short-term nutritional enrichment improves songs of adult Bengalese finch males,2016,NA,NA,Journal of Avian Biology,NA,47,6,865 - 870,"Yamada, Kentaro and Soma, Masayo F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000607324&doi=10.1111%2Fjav.00979&partnerID=40&md5=a0085f7b3202961633a69d6bde1ea506,NA,NA,NA,"Song is a notable sexual signal of birds, and serves as an honest indicator of male quality. Condition dependence of birdsong has been well examined from the viewpoint of the developmental stress hypothesis, which posits that complex songs assure fitness because learned acoustic features of songs are especially susceptible to early-life stress that young birds experience in song learning periods. The effect of early stress on song phenotypes should be crucial, especially in age-limited song learners which sing stereotyped songs throughout life. However, little attention has been paid to non-learned song features that can change plastically even in adulthood of age-limited song-learners. Although it has been shown that food availability affects song rate in wild songbirds, there is limited evidence of the link between favorable nutritional conditions and song phenotypes other than song rate. Under the prediction that singing behavior reflects an individual's recent life history, we kept adult Bengalese finch males under high-nutrition or normal diet for a short term, and examined changes in body mass and songs. We found that birds on a high-nutrition diet showed higher song output (e.g. song rate and length) compared with those of the control group, while changes in body mass were moderate. In addition, note repertoire became more consistent and temporal structures got faster in both nutrition and control groups, which indicates that songs were subject to other factors than nutrition. Considering that female estrildid finches, including Bengalese and zebra finches, show a preference toward complex songs as well as longer songs and higher song rate, it is plausible that different aspects of singing behavior signal different male qualities, and provide multifaceted clues to females that choose mates. © 2016 The Authors | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 13; All Open Access; Green Accepted Open Access; Green Open Access,adult; body mass; diet; fitness; food availability; learning; life history; male behavior; mate c...,NA,NA,Eduardo
10.1163/157075603769700331,rayyan-471509315,Bird brains and songs: neural mechanisms of birdsong perception and memory,2003,9,NA,ANIMAL BIOLOGY,1570-7555,53,2,129-145,"Bolhuis, JJ and Eda-Fujiwara, H",NA,NA,NA,NA,"The males of songbirds and parrots learn their songs from a tutor. Until recently it was thought that in songbirds, brain nuclei in the so-called `song system' were involved in song teaming, in addition to their role in song perception and production. Experiments involving measurement of the expression of immediate early genes (IEG) showed that exposure to song leads to activation of cells in brain regions outside the song system, notably the caudomedial neostriatum (NCM) and the caudomedial hyperstriatum ventrale (CMHV), suggesting that these regions are involved in auditory perception. In addition, neuronal activation in the NCM correlates with the number of song elements that a male has learned from its tutor, suggesting that NCM may be (part of) the neural substrate for stored tutor song. Songbird females do not usually sing, but nevertheless they can learn the characteristics of tutor song, and they can develop a perceptual preference for tutor song over novel song. When exposed to male song, female songbirds and parrots show increased IEG expression in NCM and CMHV that is related to song complexity. In addition, the IEG response in the NCM (and perhaps in the CMHV) of female songbirds may also be related to song learning. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv","Symposium on Bird Brains and Behaviour, UNIV UTRECHT, DEPT BEHAV BIOL, UTRECHT, NETHERLANDS, JUL 26, 2002",NA,NA,NA,Eduardo
10.1002/ece3.3091,rayyan-471509432,"The relationship between male sexual signals, cognitive performance, and mating success in stickleback fish",2017,8,NA,ECOLOGY AND EVOLUTION,2045-7758,7,15,5621-5631,"Minter, Ross and Keagy, Jason and Tinghitella, Robin M.",NA,NA,NA,NA,"Cognitive ability varies dramatically among individuals, yet the manner in which this variation correlates with reproduction has rarely been investigated. Here, we ask (1) do male sexual signals reflect their cognitive ability, and (2) is cognitive ability associated with male mating success? Specifically, we presented threespine sticklebacks (Gasterosteus aculeatus) with a detour-reaching task to assess initial inhibitory control. Fish that performed better were those who solved the detour-reaching task, solved it faster, and required fewer attempts to solve. We then reexamined males' performance on this task over several days to assess learning ability in this context. We next measured sexual signals (coloration, nest area, and courtship vigor) and asked whether they reveal information about these male cognitive abilities. Finally, we examined whether success at attracting a female is associated with male cognition. After controlling for the strong effect of neophobia, we found that no measured sexual signals were associated with initial inhibitory control. Sexual signals were also not associated with change in performance on the detour-reaching task over time (learning). However, females preferred mating with males who had better initial inhibitory control. We speculate that inhibitory control is a critical trait for male sticklebacks. In this system, males perform all parental care, but must avoid eating their own fry which closely resemble their prey items. Therefore, males with better inhibitory control may be more likely to successfully raise their offspring to independence. Our research adds to a growing list of mating systems and taxa in which cognition is important for measures related to fitness. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Eduardo
