doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1111/evo.12982,rayyan-471521636,Interspecific interactions and learning variability jointly drive geographic differences in mate preferences,2016,NA,NA,Evolution; international journal of organic evolution,NA,70,8,1896 - 1903,"Verzijden, Machteld N. and Svensson, Erik I.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981284307&doi=10.1111%2Fevo.12982&partnerID=40&md5=577e542322827bcce376ff2d5565ff31,NA,NA,NA,"Co-occurrence of closely related species can cause behavioral interference in mating and increase hybridization risk. Theoretically, this could lead to the evolution of more species-specific mate preferences and sexual signaling traits. Alternatively, females can learn to reject heterospecific males, to avoid male sexual interference from closely related species. Such learned mate discrimination could also affect conspecific mate preferences if females generalize from between species differences to prefer more species-specific mating signals. Female damselflies of the banded demoiselle (Calopteryx splendens) learn to reject heterospecific males of the beautiful demoiselle (C. virgo) through direct premating interactions. These two species co-occur in a geographic mosaic of sympatric and microallopatric populations. Whereas C. virgo males have fully melanized wings, male C. splendens wings are partly melanized. We show that C. splendens females in sympatry with C. virgo prefer smaller male wing patches in conspecific males after learning to reject heterospecific males. In contrast, allopatric C. splendens females with experimentally induced experience with C. virgo males did not discriminate against larger male wing patches. Wing patch size might indicate conspecific male quality in allopatry. Co-occurrence with C. virgo therefore causes females to prefer conspecific male traits that are more species specific, contributing to population divergence and geographic variation in female mate preferences. © 2016 The Author(s). Evolution © 2016 The Society for the Study of Evolution. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 19,allopatry; conspecific; damselfly; divergence; geographical variation; habitat mosaic; hybridizat...;Animal; Pigmentation; Species Specificity; Wings;Animal; Calopteryx splendens; Hexapoda; Zygoptera,NA,NA,Hao
10.1086/285392,rayyan-471507495,SEXUAL SELECTION AND IMITATION - FEMALES COPY THE MATE CHOICE OF OTHERS,1992,6,NA,AMERICAN NATURALIST,0003-0147,139,6,1384-1389,"DUGATKIN, LA",NA,NA,NA,NA,NA | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv,NA,NA,NA,NA,Hao
10.1093/beheco/arp010,rayyan-471521878,Prudent male mate choice under perceived sperm competition risk in the eastern mosquito fish,2009,NA,NA,Behavioral Ecology,NA,20,2,278 - 282,"Wong, Bob B.M. and McCarthy, Miranda",https://www.scopus.com/inward/record.uri?eid=2-s2.0-64949152256&doi=10.1093%2Fbeheco%2Farp010&partnerID=40&md5=9caf6817ef9ff78fa3a187e105540d28,NA,NA,NA,"In contrast to what is known about adaptive mate choice in females, we know far less about how fluctuating reproductive costs might affect male mate choice. In many species, sperm competition can have a direct bearing on male fertilization success, and choosy males should be expected to respond adaptively to the perceived cost of sperm competition and to adjust their mate preferences accordingly. Here, we conducted a series of experiments investigating male mate choice under sperm competition risk in the eastern mosquito fish, Gambusia holbrooki. We tested male association preferences before and after manipulating their perceptions of sperm competition risk associated with initially preferred and nonpreferred females. We found that individuals were consistent in their preferences if they did not have the opportunity to witness other males associating with the initially preferred female. By contrast, males spent significantly less time with initially preferred females if, in the interim, she had been seen in the vicinity of another male. A similar opportunity to observe the initially nonpreferred female with another male had no effect on subsequent male mate choice. Our results suggest that choosy males may be capable of adjusting their preferences in response to shifts in their perception of sperm competition risk. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 47; All Open Access; Bronze Open Access,adaptation; cyprinid; intrasexual interaction; intraspecific competition; mate choice; mating suc...,NA,NA,Hao
10.3389/fpsyg.2016.00546,rayyan-471507443,A Role of DLPFC in the Learning Process of Human Mate Copying,2016,4,NA,FRONTIERS IN PSYCHOLOGY,1664-1078,7,NA,NA,"Zhuang, Jin-Ying and Xie, Jiajia and Hu, Die and Fan, Mingxia and Zheng, Li",NA,NA,NA,NA,"In the current study, we conducted a behavioral experiment to test the mate coping effect and a functional magnetic resonance imaging (fMRI) experiment to test the neural basis involved in the social learning process of mate copying. In the behavioral experiment, participants were asked to rate the attractiveness of isolated opposite sex (potential mates) facial photographs, then shown the targets associating with a neutral-faced model with textual cues indicating the models' attitude (interested vs. not-interested) toward the potential mates, and then asked to re-evaluate the potential mates' attractiveness. Using a similar procedure as the behavioral experiment, participants were scanned while observing the compound images in the fMRI experiment. The mate copying effect was confirmed in the behavioral experiment greater increase in attractiveness ratings was observed for opposite-sex photographs in the interested than in the not-interested condition. The fMRI results showed that the dorsolateral prefrontal gyrus (DLPFC) was significantly active in the comparison of interested not-interested condition, suggesting that a cognitive integration and selection function may be involved when participants process information from conditions related to mate copying. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Hao
10.1093/beheco/arz111,rayyan-471521529,Biological market effects predict cleaner fish strategic sophistication,2019,NA,NA,Behavioral Ecology,NA,30,6,1548 - 1557,"Triki, Zegni and Wismer, Sharon and Rey, Olivia and Binning, Sandra Ann and Levorato, Elena and Bshary, Redouan",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070096900&doi=10.1093%2Fbeheco%2Farz111&partnerID=40&md5=8d213b2e4cd5c14bdf6bfc60f201631e,NA,NA,NA,"Market-like situations emerge in nature when trading partners exchange goods and services. However, how partner choice option contributes to the expression of social strategic sophistication (i.e., the ability to adjust behavior flexibly given the specifics of a situation) is still poorly understood. A suitable study system to explore this question is the """"cleaner"""" fish Labroides dimidiatus. Cleaners trade parasite removal in exchange for food with a variety of """"client"""" species. Previous research documented strong interindividual variation in two features of their strategic sophistication, namely, the ability to adjust service quality to the presence of an audience and to give priority to clients with access to alternative cleaners (""""visitor clients"""") over clients lacking such choice options (""""resident clients""""). Here, we sampled various demes (i.e., group of individuals) of the same population of cleaner fish in order to investigate the extent to which factors describing fish densities and cleaning interaction patterns predict the strategic sophistication in two laboratory experiments. These experiments tested whether cleaners could increase their food intake through reputation management and/or learning to provide service priority to a visitor-like ephemeral food plate. We found that high """"outbidding competition,"""" characterized by high densities of cleaners and visitor clients, along with visitor's behavior promoting such competition, consistently predicted high strategic sophistication in cleaners. A better understanding of the role of learning versus potential genetic factors, interacting with local market conditions to affect strategic sophistication, is needed to clarify how natural selection has promoted the evolution and maintenance of cooperation in this cleaning mutualism. © 2019 The Author(s). | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 47,behavioral response; biological method; cleaner fish; cognition; competition (ecology); cooperati...,NA,NA,Hao
10.1159/000048652,rayyan-471507567,Effect of surgical menopause on cognitive functions,2002,NA,NA,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,1420-8008,13,3,193-198,"Farrag, AF and Khedr, EM and Abdel-Aleem, H and Rageh, TA",NA,NA,NA,NA,"To investigate the effect of estrogen deficiency on cognitive function in surgically menopausal women, a prospective study was conducted at the University Hospital in Assiut, Egypt, during the period of July 1997 to August 1999. The study included 35 women subjected to total abdominal hysterectomy and bilateral salpingo-oophorectomy for nonmalignant causes. They were subjected to cognitive assessment by Mini-Mental State Examination (MMSE), Wechsler Memory Scale (WMS) subtests, and measurement of auditory Event-Related Potentials (ERPs) and serial serum estradiol levels determination. Eighteen age- and education-, body-weight- and parity-matched control women were recruited for comparison. A significant decline in MMSE, WMS subtests (digit span, visual memory, logical memory and mental control) and prolongation of P300 of ERP latency was observed in the patient group at 3 and 6 months postoperatively. These changes were not observed in the control group. A significant correlation was found between serum estradiol level and mental control subtest score and P300 latency in patients preoperatively. Patients who had a drop of estrogen level >50\% had more cognitive function decline. Rapid decline in estrogen level following surgical menopause was associated with a deleterious effect on cognitive function. Such observations may contribute to more understanding of the age-related cognitive decline in females. Copyright (C) 2002 S. Karger AG, Basel. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Hao
10.1093/beheco/ars086,rayyan-471521752,Opposite effects of learning cause asymmetric mate preferences in hybridizing species,2012,NA,NA,Behavioral Ecology,NA,23,5,1133 - 1139,"Verzijden, Machteld N. and Culumber, Zachary W. and Rosenthal, Gil G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865761222&doi=10.1093%2Fbeheco%2Fars086&partnerID=40&md5=e55ceb78d2c5c57b5a7258fbfa29de6e,NA,NA,NA,"How do females decide which males to accept or reject as potential mates when the individuals encountered are unfamiliar and may be either heterospecifics or conspecifics? Learning often influences the development of mate preferences. Experience with particular phenotypes often positively biases preference for that phenotype. However, experience can also induce aversion. We studied the effect of short-term experience with unfamiliar conspecific, heterospecific, or hybrid males on mate preferences of females of 2 swordtail fish species with native habitats,which differ in both ecology and effective population size. After exposure to males for a week, we tested the females' preferences for male olfactory cues. Both species shifted their mate preferences, but in opposite directions. Female Xiphophorus.birchmanni, living in larger populations, increased their preference for familiar phenotypes, whereas female X. malinche, from smaller, island-like populations, showed an inverse effect of familiarity, namely a decreased preference for newly familiarized males. The pattern of opposite effects of learning on mate choice mirrors with that seen in the evolution of reinforcement of genetic preferences in continental and island populations. Diametrically opposed shifts in preference can thus arise from the same social experience, causing asymmetry in the species' conspecific mate preferences. © 2012 The Author. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 30,asymmetry; conspecific; effective population size; familiarity; hybrid zone; hybridization; learn...,NA,NA,Hao
10.1038/srep00768,rayyan-471507826,When not to copy: female fruit flies use sophisticated public information to avoid mated males,2012,10,NA,SCIENTIFIC REPORTS,2045-2322,2,NA,NA,"Loyau, Adeline and Blanchet, Simon and Van Laere, Pauline and Clobert, Jean and Danchin, Etienne",NA,NA,NA,NA,"Semen limitation (lack of semen to fertilize all of a female's eggs) imposes high fitness costs to female partners. Females should therefore avoid mating with semen-limited males. This can be achieved by using public information extracted from watching individual males' previous copulating activities. This adaptive preference should be flexible given that semen limitation is temporary. We first demonstrate that the number of offspring produced by males Drosophila melanogaster gradually decreases over successive copulations. We then show that females avoid mating with males they just watched copulating and that visual public cues are sufficient to elicit this response. Finally, after males were given the time to replenish their sperm reserves, females did not avoid the males they previously saw copulating anymore. These results suggest that female fruit flies may have evolved sophisticated behavioural processes of resistance to semen-limited males, and demonstrate unsuspected adaptive context-dependent mate choice in an invertebrate. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Hao
10.1016/j.anbehav.2006.05.002,rayyan-471509165,Courtship strategies of male insects: when is learning advantageous?,2006,12,NA,ANIMAL BEHAVIOUR,0003-3472,72,6,1395-1404,"Dukas, Reuven and Clark, Colin W. and Abbott, Kevin",NA,NA,NA,NA,"Experiments indicating learning in the context of courtship in fruit flies challenge the prevailing views that male insects are either indiscriminate or rely on innate rules for courtship. We investigated the conditions favouring learning during courtship in insects by using a model that compared a learning strategy to two alternatives, indiscriminate courtship and innate selectivity. Our analyses indicated that, under the two conditions of high encounter rates with females and long courtship durations, indiscriminate courtship resulted in much lower lifetime mating success than either selectivity or learning. Learning had moderate advantages over selectivity when encounter rates with females were high, when a large proportion of females were sexually receptive, and when acceptance rates by sexually receptive females were high. We predict that species in which such conditions commonly occur are most likely to show learning in the context of male courtship. (c) 2006 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Hao
10.1016/j.yfrne.2009.04.009,rayyan-471521862,Testosterone release and social context: When it occurs and why,2009,NA,NA,Frontiers in Neuroendocrinology,NA,30,4,460 - 469,"Gleason, Erin D. and Fuxjager, Matthew J. and Oyegbile, Temitayo Oyefunmike and Marler, Catherine A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-70149089682&doi=10.1016%2Fj.yfrne.2009.04.009&partnerID=40&md5=833453ff4afba263e85f68926fe03e8c,NA,NA,NA,"The functions of rapid increases in testosterone seem paradoxical because they can occur in response to different social contexts, such as male-male aggressive encounters and male-female sexual encounters. This suggests that context may impact the functional consequences of changes in testosterone, whether transient or long term. Many studies, including those with California mice (Peromyscus californicus), have addressed these issues using manipulations and species comparisons, but many areas remain to be investigated. We report a study here that suggests transient increases in testosterone after social competition influence future competitive behavior, but social experience alone may also be critical in determining future behavior. In other rodents, a comparable testosterone surge occurs in response to sexual stimulation, but the function is not entirely understood. In addition to competitive and sexual behavior, testosterone impacts other systems instrumental to social behaviors, including paternal behavior and degree of monogamy. Thus, mechanisms regulated by testosterone, such as the vasopressin and aromatase systems, may also be influenced by rapid surges of testosterone in aggressive or sexual contexts. We discuss how the functions of testosterone may overlap in some contexts. © 2009 Elsevier Inc. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 231; All Open Access,testosterone; aggression; article; courtship; hormone action; human; mate choice; mating; monogam...;Animal; Social Behavior; Testosterone,NA,NA,Hao
