doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,primary_screener,secondary_screener
10.1007/s00265-022-03257-8,rayyan-471509362,Type and amount of social experience influences individual face learning in paper wasps,2022,11,NA,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,76,11,NA,"Pardo-Sanchez, Juanita and Kou, Nora and Tibbetts, Elizabeth A.",NA,NA,NA,NA,"Early social experience has lasting effects on adult social interactions, but less is known about how and why experience impacts social behavior. One way experience may alter adult behavior is by affecting the development of communication. Here, we test how early experience impacts individual face learning, a key aspect of communication in Polistes fuscatus wasps. We reared P. fuscatus workers in five social environments: with conspecifics, alone with a mirror, alone with a wasp visible through glass, alone with pictures of P. fuscatus, and completely alone. Then, we tested the wasps' ability to learn and remember individual conspecifics. We found that experience with conspecifics improved wasps' capacity for individual face learning. Wasps reared in normal social environments were adept at learning and remembering faces, while isolated wasps and wasps exposed to only pictures were unable to learn faces. Notably, even limited social experience improved face learning, as wasps exposed to a mirror or a conspecific through glass had intermediate capacity for learning faces. Thus, the development of individual face learning is strongly influenced by the type and amount of early social experience. Although the development of many aspects of behavior requires little experience, behaviors like individual recognition may depend on consistent social interactions. Significance statement Individual face learning is a challenging task that requires organisms to learn and remember the unique faces of others. Developing the capacity for individual face learning may require extensive social experience, but little work has evaluated the amounts and types of experience needed. Here, we show that the type and amount of social experience influences individual face learning. Wasps with more social experience are better able to learn faces than wasps with less social experience. Surprisingly little social experience is sufficient, as wasps that viewed a single individual without any direct social contact were able to discriminate individual conspecific face more accurately than wasps reared alone. In the wild, animals may experience a range of different social environments, so there is much room for future work exploring how experience influences animal communication and recognition. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Iwo,Eduardo
10.1038/s41598-019-48392-x,rayyan-471509190,Sexual experience has no effect on male mating or reproductive success in house mice,2019,8,NA,SCIENTIFIC REPORTS,2045-2322,9,NA,NA,"Thonhauser, Kerstin E. and Raffetzeder, Alexandra and Penn, Dustin J.",NA,NA,NA,NA,"The ability to learn from experience can improve Darwinian fitness, but few studies have tested whether sexual experience enhances reproductive success. We conducted a study with wild-derived house mice (Mus musculus musculus) in which we manipulated male sexual experience and allowed females to choose between (1) a sexually experienced versus a virgin male, (2) two sexually experienced males, or (3) two virgin males (n = 60 females and 120 males). This design allowed us to test whether females are more likely to mate multiply when they encounter more virgin males, which are known to be infanticidal. We recorded females' preference and mating behaviours, and conducted genetic paternity analyses to determine male reproductive success. We found no evidence that sexual experience influenced male mating or reproductive success, and no evidence that the number of virgin males influenced female multiple mating. Females always copulated with both males and 58\% of the litters were multiple-sired. Females' initial attraction to a male correlated with their social preferences, but neither of these preference behaviours predicted male reproductive success - raising caveats for using mating preferences as surrogates for mate choice. Male reproductive success was predicted by mating order, but unexpectedly, males that copulated first sired fewer offspring. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Iwo,Eduardo
10.3389/fphys.2019.01035,rayyan-471521537,Tactical Tentacles: New Insights on the Processes of Sexual Selection Among the Cephalopoda,2019,NA,NA,Frontiers in Physiology,NA,10,NA,NA,"Morse, Peter and Huffard, Christine Louise",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072226460&doi=10.3389%2Ffphys.2019.01035&partnerID=40&md5=4d8fcaf0f0d9318170061785777e4d41,NA,NA,NA,"The cephalopods (Mollusca: Cephalopoda) are an exceptional class among the invertebrates, characterised by the advanced development of their conditional learning abilities, long-term memories, capacity for rapid colour change and extremely adaptable hydrostatic skeletons. These traits enable cephalopods to occupy diverse marine ecological niches, become successful predators, employ sophisticated predator avoidance behaviours and have complex intraspecific interactions. Where studied, observations of cephalopod mating systems have revealed detailed insights to the life histories and behavioural ecologies of these animals. The reproductive biology of cephalopods is typified by high levels of both male and female promiscuity, alternative mating tactics, long-term sperm storage prior to spawning, and the capacity for intricate visual displays and/or use of a distinct sensory ecology. This review summarises the current understanding of cephalopod reproductive biology, and where investigated, how both pre-copulatory behaviours and post-copulatory fertilisation patterns can influence the processes of sexual selection. Overall, it is concluded that sperm competition and possibly cryptic female choice are likely to be critical determinants of which individuals' alleles get transferred to subsequent generations in cephalopod mating systems. Additionally, it is emphasised that the optimisation of offspring quality and/or fertilisation bias to genetically compatible males are necessary drivers for the proliferation of polyandry observed among cephalopods, and potential methods for testing these hypotheses are proposed within the conclusion of this review. Further gaps within the current knowledge of how sexual selection operates in this group are also highlighted, in the hopes of prompting new directions for research of the distinctive mating systems in this unique lineage. © Copyright © 2019 Morse and Huffard. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 23; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,adult; allele; cell proliferation; conditioned reflex; cuttlefish; ecological niche; ecology; fem...,NA,NA,Iwo,Eduardo
10.3390/sym11020279,rayyan-471509404,"Biological Bases of Beauty Revisited: The Effect of Symmetry, Averageness, and Sexual Dimorphism on Female Facial Attractiveness",2019,2,NA,SYMMETRY-BASEL,NA,11,2,NA,"Jones, Alex L. and Jaeger, Bastian",NA,NA,NA,NA,"The factors influencing human female facial attractivenesssymmetry, averageness, and sexual dimorphismhave been extensively studied. However, recent studies, using improved methodologies, have called into question their evolutionary utility and links with life history. The current studies use a range of approaches to quantify how important these factors actually are in perceiving attractiveness, through the use of novel statistical analyses and by addressing methodological weaknesses in the literature. Study One examines how manipulations of symmetry, averageness, femininity, and masculinity affect attractiveness using a two-alternative forced choice task, finding that increased masculinity and also femininity decrease attractiveness, compared to unmanipulated faces. Symmetry and averageness yielded a small and large effect, respectively. Study Two utilises a naturalistic ratings paradigm, finding similar effects of averageness and masculinity as Study One but no effects of symmetry and femininity on attractiveness. Study Three applies geometric face measurements of the factors and a random forest machine learning algorithm to predict perceived attractiveness, finding that shape averageness, dimorphism, and skin texture symmetry are useful features capable of relatively accurate predictions, while shape symmetry is uninformative. However, the factors do not explain as much variance in attractiveness as the literature suggests. The implications for future research on attractiveness are discussed. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Iwo,Eduardo
10.1098/rspb.2022.0431,rayyan-471521449,The importance of population heterogeneities in detecting social learning as the foundation of animal cultural transmission,2022,NA,NA,Proceedings of the Royal Society B: Biological Sciences,NA,289,1977,NA,"Nöbel, Sabine and Wang, Xiaobo and Talvard, Laurine and Tariel, Juliette and Lille, Maëva and Cucherousset, Julien and Roussigné, Myriam and Danchin, Etienne G.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132080177&doi=10.1098%2Frspb.2022.0431&partnerID=40&md5=9c8ce042a7d1e2e19d0b312087d7f2a5,NA,NA,NA,"High levels of within-population behavioural variation can have drastic demographic consequences, thus changing the evolutionary fate of populations. A major source of within-population heterogeneity is personality. Nonetheless, it is still relatively rarely accounted for in social learning studies that constitute the most basic process of cultural transmission. Here, we performed in female mosquitofish (Gambusia holbrooki) a social learning experiment in the context of mate choice, a situation called mate copying (MC), and for which there is strong evidence that it can lead to the emergence of persistent traditions of preferring a given male phenotype. When accounting for the global tendency of females to prefer larger males but ignoring differences in personality, we detected no evidence for MC. However, when accounting for the bold-shy dichotomy, we found that bold females did not show any evidence for MC, while shy females showed significant amounts of MC. This illustrates how the presence of variation in personality can hamper our capacity to detect MC. We conclude that MC may be more widespread than we thought because many studies ignored the presence of within-population heterogeneities. © 2022 Royal Society Publishing. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 5; All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,animal community; cyprinid; emergence; heterogeneity; learning; animal; Cyprinodontiformes; femal...;Animal; Personality; Reproduction; Social Learning,NA,NA,Iwo,Eduardo
10.1038/s41586-024-07207-4,rayyan-471509224,The hidden fitness of the male zebra finch courtship song,2024,4,NA,NATURE,0028-0836,628,8006,117+,"Alam, Danyal and Zia, Fayha and Roberts, Todd F.",NA,NA,NA,NA,"Vocal learning in songbirds is thought to have evolved through sexual selection, with female preference driving males to develop large and varied song repertoires(1-3). However, many songbird species learn only a single song in their lifetime(4). How sexual selection drives the evolution of single-song repertoires is not known. Here, by applying dimensionality-reduction techniques to the singing behaviour of zebra finches (Taeniopygia guttata), we show that syllable spread in low-dimensional feature space explains how single songs function as honest indicators of fitness. We find that this Gestalt measure of behaviour captures the spectrotemporal distinctiveness of song syllables in zebra finches; that females strongly prefer songs that occupy more latent space; and that matching path lengths in low-dimensional space is difficult for young males. Our findings clarify how simple vocal repertoires may have evolved in songbirds and indicate divergent strategies for how sexual selection can shape vocal learning. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Iwo,Eduardo
10.1007/s40750-022-00193-9,rayyan-471507477,What You See May Be What You Want: Mate Copying in a Natural Setting,2022,9,NA,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,2198-7335,8,3,296-312,"Anderson, Ryan C. and Armstrong, Ashleigh A.",NA,NA,NA,NA,"Objectives The phenomenon of mate copying (MC) suggests that an individual's romantic desirability varies, to some degree, as a function of their romantic experiences. By manipulating relationship history, this research aimed to determine whether male desirability varied similarly for static stimuli (photographs) as it did for dynamic stimuli (short clips). Here we present 2 studies examining this idea. Methods In both studies heterosexual women aged 18-34 were recruited from social media and evaluated the desirability of men, before and after being given information about the level of relationship experience the men had previously had (either `none', `some', or lots'). Results In Study 1 (N=278), we employed static images of men and Study 2 (N=66) was methodologically similar but employed dynamic stimuli. Study 1 indicated that a man's desirability to heterosexual women increased when it was revealed that he had a moderate amount of relationship experience but decreased if he had none. Results from Study 2 suggested that desirability was not affected by an individual's relationship experience. Conclusions MC was indicated when stimuli were static, but not when they were dynamic. These results suggest that MC may be a phenomenon that exists to a greater extent when stimuli are less informative. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Iwo,Eduardo
10.1016/j.cub.2019.01.023,rayyan-471521543,Animal Behaviour: Conformity and the Beginnings of Culture in an Insect,2019,NA,NA,Current Biology,NA,29,5,R167 - R169,"Bridges, Alice D. and Chittka, Lars",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062146796&doi=10.1016%2Fj.cub.2019.01.023&partnerID=40&md5=e39718819a46c0aeddef74f4803b011b,NA,NA,NA,"Culture in animals is defined as socially learnt, group-specific behaviour, and has been found in many species. The discovery of social learning and cultural conformity in mate choice in Drosophila might allow for the investigation of the mechanistic underpinnings of gene–culture co-evolution. © 2019 Elsevier Ltd | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 7; All Open Access; Bronze Open Access,animal; animal behavior; cultural anthropology; Diptera; social behavior; social learning; Animal...;Animal; Cultural Evolution; Social Behavior; Social Learning,NA,NA,Iwo,Eduardo
10.1007/s40806-022-00343-y,rayyan-471521438,Exploring the Influence of Race in Mate Copying Using Former Partner Evaluations: Race and Mate Copying,2022,NA,NA,Evolutionary Psychological Science,NA,8,4,413 - 423,"Zhang, Joseph and Anderson, Ryan Corley",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139401621&doi=10.1007%2Fs40806-022-00343-y&partnerID=40&md5=d368e62aed679591a05751d1d51782b5,NA,NA,NA,"Human mate choice is a complex, nuanced process that incorporates factors including physical attractiveness, race, culture, and social values. Choosing the wrong partner can be a risky and costly affair; hence, mate choosers may copy the choices of others to inform their own decisions about the mate quality of a potential partner. This phenomenon is known as mate copying (MC). Consistent with previous research methods, the current study presented a sample of 461 Australian women with photographic stimuli of target men of one of three races paired with a description of a former female partner evaluating the target man either positively or negatively. Racial similarity between participants and the target man was statistically controlled for. As hypothesised, positive evaluations elicited MC whereas negative evaluations elicited mate avoidance. Racial similarity was also shown to influence measures of desirability and MC propensity. Results were discussed within the context of existing human MC literature, with particular emphasis on exploring how new factors affect the expression of MC intent within the Australian female demographic. Recommendations for further research based on these outcomes were also made. © 2022, The Author(s). | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 2; All Open Access; Hybrid Gold Open Access,NA,NA,NA,Iwo,Losia
10.1093/beheco/arac071,rayyan-471521444,"Female fruit flies copy the acceptance, but not the rejection, of a mate",2022,NA,NA,Behavioral Ecology,NA,33,5,1018 - 1024,"Nöbel, Sabine and Monier, Magdalena and Fargeot, Laura and Lespagnol, Guillaume and Danchin, Etienne G.J. and Isabel, Guillaume",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144456128&doi=10.1093%2Fbeheco%2Farac071&partnerID=40&md5=36b67bc5bf38753f2910678c706851e8,NA,NA,NA,"Acceptance and avoidance can be socially transmitted, especially in the case of mate choice. When a Drosophila melanogaster female observes a conspecific female (called demonstrator female) choosing to mate with one of two males, the former female (called observer female) can memorize and copy the latter female's choice. Traditionally in mate-copying experiments, demonstrations provide two types of information to observer females, namely, the acceptance (positive) of one male and the rejection of the other male (negative). To disentangle the respective roles of positive and negative information in Drosophila mate copying, we performed experiments in which demonstrations provided only one type of information at a time. We found that positive information alone is sufficient to trigger mate copying. Observer females preferred males of phenotype A after watching a female mating with a male of phenotype A in the absence of any other male. Contrastingly, negative information alone (provided by a demonstrator female actively rejecting a male of phenotype B) did not affect future observer females' mate choice. These results suggest that the informative part of demonstrations in Drosophila mate-copying experiments lies mainly, if not exclusively, in the positive information provided by the copulation with a given male. We discuss the reasons for such a result and suggest that Drosophila females learn to prefer the successful males, implying that the underlying learning mechanisms may be shared with those of appetitive memory in non-social associative learning. © 2022 The Author(s). Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 8,avoidance reaction; female behavior; fly; mate choice; phenotype; social behavior,NA,NA,Iwo,Losia
