doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1098/rstb.2019.0540,rayyan-471507771,The role of copy-number variation in the reinforcement of sexual isolation between the two European subspecies of the house mouse,2020,8,NA,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8436,375,1806,NA,"North, Henry L. and Caminade, Pierre and Severac, Dany and Belkhir, Khalid and Smadja, Carole M.",NA,NA,NA,NA,"Reinforcement has the potential to generate strong reproductive isolation through the evolution of barrier traits as a response to selection against maladaptive hybridization, but the genetic changes associated with this process remain largely unexplored. Building upon the increasing evidence for a role of structural variants in adaptation and speciation, we addressed the role of copy-number variation in the reinforcement of sexual isolation evidenced between the two European subspecies of the house mouse. We characterized copy-number divergence between populations of Mus musculus musculus that display assortative mate choice, and those that do not, using whole-genome resequencing data. Updating methods to detect deletions and tandem duplications (collectively: copy-number variants, CNVs) in Pool-Seq data, we developed an analytical pipeline dedicated to identifying genomic regions showing the expected pattern of copy-number displacement under a reinforcement scenario. This strategy allowed us to detect 1824 deletions and seven tandem duplications that showed extreme differences in frequency between behavioural classes across replicate comparisons. A subset of 480 deletions and four tandem duplications were specifically associated with the derived trait of assortative mate choice. These `Choosiness-associated' CNVs occur in hundreds of genes. Consistent with our hypothesis, such genes included olfactory receptors potentially involved in the olfactory-based assortative mate choice in this system as well as one gene, Sp110, that is known to show patterns of differential expression between behavioural classes in an organ used in mate choice-the vomeronasal organ. These results demonstrate that fine-scale structural changes are common and highly variable within species, despite being under-studied, and may be important targets of reinforcing selection in this system and others. This article is part of the theme issue `Towards the completion of speciation: the evolution of reproductive isolation beyond the first barriers'. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Jimuel
10.3758/bf03196013,rayyan-471522000,"Social transmission of courtship behavior and mating preferences in brown-headed cowbirds, Molothrus ater",2004,NA,NA,Learning and Behavior,NA,32,1,122 - 130,"Freeberg, Todd M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-2342462264&doi=10.3758%2Fbf03196013&partnerID=40&md5=b90dcdf5995f510b7c4f5ce73d4f9c41,NA,NA,NA,"Studies of the social learning of courtship behaviors and mating preferences of brown-headed cow-birds (Molothrus ater) are reviewed. Earlier work has suggested that cowbirds from behaviorally distinct populations mate preferentially with others from the same population. Studies are described which indicate that patterns of courtship behavior that differ by population can be socially transmitted across generations are described. Social background affects male songs, female preferences for males as mates, and courtship interactions between females and males. Thus, social traditions influence mating decisions and may, ultimately, impact reproductive success in this species. Recent work on possible social mechanisms involved in the ontogeny of courtship behavior is described. The implications of these findings are discussed, and future research directions are suggested. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 27; All Open Access; Bronze Open Access,bird; courtship; decision making; mate choice; mating; Molothrus ater; nonhuman; ontogeny; review...,NA,NA,Jimuel
10.1093/beheco/arh068,rayyan-471521993,Male fruit flies learn to avoid interspecific courtship,2004,NA,NA,Behavioral Ecology,NA,15,4,695 - 698,"Dukas, Reuven",https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042784097&doi=10.1093%2Fbeheco%2Farh068&partnerID=40&md5=ffac38bd58b21eaf48cacdfb28a4b0e4,NA,NA,NA,"Experimental data suggest, and theoretical models typically assume, that males of many fruit flies (Drosophila spp) are at least partially indiscriminate while searching for mates, and that it is mostly the females who exert selective mate choice, which can lead to incipient speciation. Evidence on learning by male D. melanogaster in the context of courtship, however, raises the possibility that the initially indiscriminate males become more selective with experience. I tested this possibility by comparing the courtship behavior of male D. melanogaster experienced at courting females of the closely related species, D. simulans, and inexperienced males. I found that compared with the inexperienced males, the males experienced with courting D. simulans females showed significantly lower courtship toward female D. simulans. Both male treatments, however, showed virtually identical courtship durations with female D. melanogaster. These results indicate that male fruit flies adaptively refine their courtship behavior with experience and suggest that the males contribute more to assortative mating and incipient speciation than is commonly assumed. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 91; All Open Access; Bronze Open Access,courtship; fly; learning; mate choice; speciation (biology); Diptera; Drosophila melanogaster; Dr...,NA,NA,Jimuel
10.1007/s10508-021-02044-2,rayyan-471521470,Trait/Financial Information of Potential Male Mate Eliminates Mate-Choice Copying by Women: Trade-Off Between Social Information and Personal Information in Mate Selection,2021,NA,NA,Archives of Sexual Behavior,NA,50,8,3757 - 3776,"Liu, Xinge and Zhang, Cuihu and Wang, Xinlei and Feng, Xinran and Pan, Junhao and Zhou, Guomei",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118434776&doi=10.1007%2Fs10508-021-02044-2&partnerID=40&md5=8137f6f1ff3acb8aa61e66ce8c780356,NA,NA,NA,"Mate-choice copying occurs when people rely on the mate choices of others (social information) to inform their own mate decisions. The present study investigated women’s strategic trade-off between such social learning and using the personal information of a potential mate. We conducted two experiments to investigate how mate-choice copying was affected by the personal information (e.g., trait/financial information, negative/positive valence of this information, and attractiveness) of a potential male mate in short-/long-term mate selection. The results demonstrated that when women had no trait/financial information other than photos of potential mates, they showed mate-choice copying, but when women obtained personality trait or financial situation information (no matter negative or positive) of a potential mate, their mate-choice copying disappeared; this effect was only observed for low-attractiveness and long-term potential partners. These results demonstrated human social learning strategies in mate selection through a trade-off between social information and personal information. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 2,adult; article; female; human; human experiment; identifiable information; male; mate choice; per...,NA,NA,Jimuel
10.1159/000350067,rayyan-471507623,Association of Bone Mineral Density with Albuminuria and Estimated Glomerular Filtration Rate : The Dong-gu Study,2013,NA,NA,KIDNEY \& BLOOD PRESSURE RESEARCH,1420-4096,37,2,132-141,"Choi, Seong-Woo and Kim, Hye-Yeon and Ahn, Hye-Ran and Lee, Young-Hoon and Kweon, Sun-Seog and Choi, Jin-Su and Rhee, Jung-Ae and Nam, Hae-Sung and Jeong, Seul-Ki and Park, Kyeong-Soo and Ryu, So-Yeon and Song, Hye-Rim and Shin, Min-Ho",NA,NA,NA,NA,"Background: Kidney dysfunction and albuminuria may be associated with BMD. However, little evidence has been reported on relationships between BMD and eGFR and albuminuria. Methods: A total of 8,992 subjects aged 50 years or older participated in a survey conducted. Participants had their lumbar spine and femoral neck BMD measured by a Lunar Prodigy bone densitometer (GE, Madison, WI). Kidney function was assessed using MDRD eGFR and diagnosis of albuminuria was based on albumin-creatinine ratio. Results: ACR was negatively associated with lumbar spine and femur neck BMD in females (lumbar spine: 1.001, 0.988, 0.974 and 0.979 g/cm(2), p < 0.001; femur neck: 0.796, 0.790, 0.783 and 0.782 g/cm(2), p = 0.002), but not in males, after adjusting for covariates. Additionally, eGFR was shown to be negatively associated with lumbar spine BMD after adjusting for covariates (male: 1.181, 1.166, 1.152 and 1.149 g/cm(2), p = 0.001; female: 0.997, 0.980, 0.979 and 0.982 g/cm2, p = 0.005), but demonstrated no association with femur BMD. Conclusions: ACR in females was negatively associated with lumbar spine and femur neck BMD, but not in males. eGFR was negatively associated with lumbar spine BMD in both males and females. Copyright (C) 2013 S. Karger AG, Basel | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Jimuel
10.1901/jeab.2008.89-15,rayyan-471509499,The emergence of conditioned reinforcement from observation,2008,1,NA,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,0022-5002,89,1,15-29,"Greeri, R. Douglas and Singer-Dudek, Jessica",NA,NA,NA,NA,"We report an experiment in which observations of peers by six 3-5-year-old participants under specific conditions functioned to convert a small plastic disc or, for one participant, a small piece of string, from a nonreinforcer to a reinforcer. Prior to the observational procedure, we compared each participant's responding on (a) previously acquired performance tasks in which the child received either a preferred food item or the disc (string) for correct responses, and (b) the acquisition of new repertoires in which the disc (string) was the consequence for correct responses. Verbal corrections followed incorrect responses in the latter tasks. The results showed that discs and strings did not reinforce correct responses in the performance tasks, but the food items did; nor did the discs and strings reinforce correct responses in learning new repertoires. We then introduced the peer observation condition in which participants engaged in a different performance task in the presence of a peer who also performed the task. A partition blocked the participants from seeing the peers' performance. However, participants could observe peers receiving discs or strings. Participants did not receive discs or strings regardless of their performance. Peer observation continued until the participants either requested discs or strings repeatedly, or attempted to take discs or strings from the peers. Following the peer observation condition, the same performance and acquisition tasks in which participants had engaged prior to observation were repeated. The results showed that the discs and strings now reinforced correct responding for both performance and acquisition for all participants. We discuss the results with reference to research involving nonhuman subjects that demonstrated the observational conditioning of reinforcers. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Jimuel
10.1006/anbe.2002.2009,rayyan-471509479,Sexual imprinting on a novel trait in the dimorphic zebra finch: sexes differ,2003,1,NA,ANIMAL BEHAVIOUR,0003-3472,65,1,195-203,"Witte, K and Sawka, N",NA,NA,NA,NA,"We investigated the effect of a novel trait, a red feather on the forehead, on sexual imprinting in the dimorphic zebra finch, Taeniopygia guttata. Parents reared young in one of four imprinting groups: (1) both parents adorned with the red feather; (2) the father only adorned; (3) the mother only adorned; (4) both parents unadorned. After the young matured, we tested their preference for adorned and unadorned conspecifics of the opposite sex in simultaneous double-choice tests. Females but not males sexually imprinted on the red feather when their parents or father were adorned. In further tests, females that had sexually imprinted on the red feather did not generalize from the learned preference for a red feather to a preference for an orange or blue feather. Neither males nor females reared by unadorned parents showed a latent preference for potential mates adorned with a red, orange, or blue feather. Our results show that in the dimorphic zebra finch, only females sexually imprint on a novel trait. Sexual imprinting can support the evolution of novel male traits and would enhance the dimorphism in this species. (C) 2003 The Association for the Study of Animal Behaviour. Published by Elsevier Science Ltd. All rights reserved. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Jimuel
10.1007/s00265-008-0564-x,rayyan-471521918,"Females learn from mothers and males learn from others. The effect of mother and siblings on the development of female mate preferences and male aggression biases in Lake Victoria cichlids, genus Mbipia",2008,NA,NA,Behavioral Ecology and Sociobiology,NA,62,8,1359 - 1368,"Verzijden, Machteld N. and Korthof, R. E.Madeleine and Ten Cate, Carel J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-43749120050&doi=10.1007%2Fs00265-008-0564-x&partnerID=40&md5=578cc35972919952a14a32f226bcc2cb,NA,NA,NA,"While species-assortative behaviour is often observed in sympatrically occurring species, there are few examples where we understand the extent to which development of assortative behaviour is genetically or environmentally determined, for instance, through learning. However, the majority of mate choice theory assumes genetic recognition mechanisms. Knowledge about the development of species recognition is important for our understanding of how closely related species can coexist and how this coexistence may have arisen. The ontogeny of female mate choice, for instance, may critically influence the degree of assortative mating under many circumstances. Also, male assortative aggression behaviour may affect fitness and the possibility for coexistence of two closely related species. Here, we test whether male aggression biases and female mate preferences of two Lake Victoria rock cichlid species, Mbipia mbipi and Mbipia lutea, are affected by experience. With an interspecific cross-fostering experiment, we test for the effect of experience with the phenotype of the mother and that of the siblings on species-assortative mate preferences and aggression biases. We demonstrate that female mate preferences are strongly influenced by learning about their mothers' phenotype but not by experience with their siblings, despite ample opportunity for interactions. Male aggression biases, in contrast, are affected by experience with siblings but not by learning about their mothers' phenotype. We suggest that the development of assortative behaviour of females, but not of males, creates favourable conditions for sympatric speciation in Lake Victoria cichlids. © 2008 The Author(s). | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 63; All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,aggression; assortative mating; cichlid; learning; mate choice; phenotype; recognition; speciatio...,NA,NA,Jimuel
10.1101/lm.053810.123,rayyan-471507517,Diverse memory paradigms in Drosophila reveal diverse neural mechanisms,2024,5,NA,LEARNING \& MEMORY,1072-0502,31,5,NA,"Dwijesha, Amoolya Sai and Eswaran, Akhila and Berry, Jacob A. and Phan, Anna",NA,NA,NA,NA,"In this review, we aggregated the different types of learning and memory paradigms developed in adult Drosophila and attempted to assess the similarities and differences in the neural mechanisms supporting diverse types of memory. The simplest association memory assays are conditioning paradigms (olfactory, visual, and gustatory). A great deal of work has been done on these memories, revealing hundreds of genes and neural circuits supporting this memory. Variations of conditioning assays (reversal learning, trace conditioning, latent inhibition, and extinction) also reveal interesting memory mechanisms, whereas mechanisms supporting spatial memory (thermal maze, orientation memory, and heat box) and the conditioned suppression of innate behaviors (phototaxis, negative geotaxis, anemotaxis, and locomotion) remain largely unexplored. In recent years, there has been an increased interest in multisensory and multicomponent memories (context-dependent and cross-modal memory) and higher-order memory (sensory preconditioning and second-order conditioning). Some of this work has revealed how the intricate mushroom body (MB) neural circuitry can support more complex memories. Finally, the most complex memories are arguably those involving social memory: courtship conditioning and social learning (mate-copying and egg-laying behaviors). Currently, very little is known about the mechanisms supporting social memories. Overall, the MBs are important for association memories of multiple sensory modalities and multisensory integration, whereas the central complex is important for place, orientation, and navigation memories. Interestingly, several different types of memory appear to use similar or variants of the olfactory conditioning neural circuitry, which are repurposed in different ways. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Jimuel
10.1016/j.cogsys.2014.08.002,rayyan-471521667,"Towards computational models of animal communications, an introduction for computer scientists",2015,NA,NA,Cognitive Systems Research,NA,33,NA,70 - 99,"Ma, Zhanshan Sam",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920126379&doi=10.1016%2Fj.cogsys.2014.08.002&partnerID=40&md5=b7671626c384119c919d79eb19851887,NA,NA,NA,"Animals communicate with each other via varieties of signal modalities such as visual, acoustic, semiochemicals, gestural, or communication behavior. Although animal communication has been studied as a signaler-receiver dyadic system until recently, it is actually a complex network due to the ubiquitous existence of third-party receivers in their signaling space, such as eavesdroppers, bystanders, and audiences. A question of fundamental importance in both science and humanity is whether or not animal signals are honest or deceitful (i.e., communication reliability) since it may shed light on the study of trust and altruism in human beings. The objective of this paper is twofold. First, the state-of-the-art research in animal communication (dyadic paradigm) and animal communication networks (network paradigm) and their potential inspiration for secure, resilient and pervasive computing are reviewed. Secondly, by arguing that competition, cooperation and communication are the three fundamental elements that natural selection acts upon in the evolution of organisms, and by comparing the study of cooperation (such as formulated as the Prisoner's Dilemma (PD) game), with the study of animal communication (such as formulated with Sir Philip Sydney (SPS) game), it is suggested that the latter field may spawn important cross-disciplinary research with the potential influence similar to or beyond that generated by the PD game research. The paper also summarizes the recent extension to evolutionary game theory (EGT) with survival analysis and dynamic hybrid fault models by the author. Finally, seven open questions, with regard to animal communication inspired computing and communication, primarily from the interdisciplinary perspective are posed. As a side note, this is the second article of a two-part series in which I review the state-of-the-art research in behavior biology inspired computing and communication. Given the extensive scope of behavior biology, I only focus on two fields most relevant to computing and communication animal cognition (part one, Ma, 2014) and communication (this article). The previous part one reviewed animal-cognition inspired computing; part one also presented an overview of the behavior biology inspired computing. This part two is focused on animal communication; the relationship between cognition and communication is mainly discussed in this part also. © 2014 Elsevier B.V. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 7,Animals; Biochemistry; Biocommunications; Complex networks; Computation theory; Game theory; Reli...,NA,NA,Jimuel
