doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1002/bdm.620,rayyan-471507510,Sex Differences When Searching for a Mate: A Process-Tracing Approach,2009,4,NA,JOURNAL OF BEHAVIORAL DECISION MAKING,0894-3257,22,2,171-190,"Saad, Gad and Eba, Aliza and Sejean, Richard",NA,NA,NA,NA,"Sex differences in the extent of mate search were investigated using two sequential choice processes. In Study 1, attribute search, prior to choosing it mate or rejecting two competing mates, for either a short- or long-term relationship, was explored. Men (women) seeking short-term relationships were the least (most) likely to reject both suitors. Men acquired it greater number of attributes prior to rejecting mates. The length of the relationship solely affected men's search behaviors. Study 2 utilized a nested sequential model namely participants decided how many suitors to sample prior to choosing a short-term mate, and how many attributes to acquire oil each sampled suitor. Women sampled it greater number of suitors prior to choosing a mate. Biological sex was found to be a greater moderator of mate search than were three personality traits linked to search. Across both studies less information was acquired prior to rejecting versus choosing a mate. Copyright (C) 2009 John Wiley \& Sons, Ltd. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Kyle
10.1017/S0140525X14000806,rayyan-471521674,Measuring teaching through hormones and time series analysis: Towards a comparative framework,2015,NA,NA,Behavioral and Brain Sciences,NA,38,NA,NA,"Ravignani, Andrea and Sonnweber, Ruth S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930848834&doi=10.1017%2FS0140525X14000806&partnerID=40&md5=5c380fe4375782c9ea9dafaed2a421bf,NA,NA,NA,"Arguments about the nature of teaching have depended principally on naturalistic observation and some experimental work. Additional measurement tools, and physiological variations and manipulations can provide insights on the intrinsic structure and state of the participants better than verbal descriptions alone: namely, time-series analysis, and examination of the role of hormones and neuromodulators on the behaviors of teacher and pupil. © Cambridge University Press 2015. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 2,argipressin; estrogen; hormone; oxytocin; progesterone; testosterone; aversion; decision making; ...,NA,NA,Kyle
10.1038/s41598-024-83465-6,rayyan-471521401,Fear of mating out (FOMO): voyeurism does not increase mating propensity in fruit flies,2024,NA,NA,Scientific Reports,NA,14,1,NA,"Vega-Trejo, Regina and Sanghvi, Krish and Todorova, Biliana and Sepil, Irem and Bath, Eleanor",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213697880&doi=10.1038%2Fs41598-024-83465-6&partnerID=40&md5=12186aee68ad15e658de927a13848f1c,NA,NA,NA,"Mate availability and social information can influence mating behaviour in both males and females. Social information obtained from conspecifics can influence mate choice, particularly shown by studies on mate choice copying. However, the role of directly observing conspecific mating on mating behaviour has been less explored. As such, whether conspecifics are copulating or not could inform ‘observers’ about the availability of mates, or even stimulate observers to mate themselves. Using Drosophila melanogaster, we tested whether exposure to the visual cue of a mating pair would increase the mating propensity of an observer pair (i.e., voyeur). We followed a factorial design where a male-female pair (voyeur flies) were placed together with or without visual access to another pair of flies (who were either mating or not mating). We found no evidence that mating latency or duration of mating were affected by whether voyeurs had visual access to a mating or non-mating pair. These results could be due to biological factors (e.g., use of other non-visual cues by flies to acquire information related to sex), or methodological limitations of our study (e.g., flies unable to watch other pairs). Generally, our results suggest that fruit flies do not use visual cues from conspecifics mating to adjust their own mating latency or mating duration. © The Author(s) 2024. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 1; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,animal; association; Drosophila melanogaster; fear; female; male; mate choice; physiology; sexual...;Animal; Sexual Behavior;Animal,NA,NA,Kyle
10.1159/000065937,rayyan-471507792,The effects of spatially separated call components on phonotaxis in tungara frogs: Evidence for auditory grouping,2002,NA,NA,BRAIN BEHAVIOR AND EVOLUTION,0006-8977,60,3,181-188,"Farris, HE and Rand, AS and Ryan, MJ",NA,NA,NA,NA,"Numerous animals across disparate taxa must identify and locate complex acoustic signals imbedded in multiple overlapping signals and ambient noise. A requirement of this task is the ability to group sounds into auditory streams in which sounds are perceived as emanating from the same source. Although numerous studies over the past 50 years have examined aspects of auditory grouping in humans, surprisingly few assays have demonstrated auditory stream formation or the assignment of multicomponent signals to a single source in non-human animals. In our study, we present evidence for auditory grouping in female tungara frogs. In contrast to humans, in which auditory grouping may be facilitated by the cues produced when sounds arrive from the same location, we show that spatial cues play a limited role in grouping, as females group discrete components of the species' complex call over wide angular separations. Furthermore, we show that once grouped the separate call components are weighted differently in recognizing and locating the call, so called `what' and `where' decisions, respectively. Copyright (C) 2002 S. Karger AG, Basel. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Kyle
10.1007/s00265-010-0989-x,rayyan-471521830,Testing the developmental stress hypothesis in canaries: Consequences of nutritional stress on adult song phenotype and mate attractiveness,2010,NA,NA,Behavioral Ecology and Sociobiology,NA,64,11,1767 - 1777,"Müller, Wendt and Vergauwen, Jonas and Eens, Marcel",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957985392&doi=10.1007%2Fs00265-010-0989-x&partnerID=40&md5=83ad4afc5f1f8ab3a564e98cbd329414,NA,NA,NA,"The complex songs of songbirds are thought to have evolved through sexual selection. Sexually selected signals must be associated with costs in order to ensure their honesty as indicator of male quality. Costs may relate to the development of the neural substrate underlying song learning, which develops already very early in life. Song may, therefore, serve as an indicator of the early developmental history. This nutritional stress hypothesis has initially been confirmed for a variety of species, but recent studies using zebra finches as a model species reported somewhat inconsistent effects, and the functional consequences of changes in adult song phenotype remain unclear. We tested the nutritional stress hypothesis in canaries by manipulating either the brood size or the food quality postfledging. The brood size manipulation had a significant effect on early development, and low food quality postfledging led to a transient reduction in body mass. However, we did not find evidence that any of the song traits measured reflected the early developmental conditions, which is in conflict with the nutritional stress hypothesis. Canaries may be less vulnerable to nutritional stress or are able to compensate stressful conditions during early development. However, if males compensated, this compensation may have come at a survival cost. Female mate choice decisions were independent of the developmental history of a male. Instead, females preferred males singing longer song bouts, a trait that may contain a heritable component. © 2010 Springer-Verlag. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 18,body mass; brood size; compensation; developmental biology; ecological modeling; environmental st...,NA,NA,Kyle
10.1086/505757,rayyan-471521962,Complicity or conflict over sexual cannibalism? Male risk taking in the praying mantis Tenodera aridifolia sinensis,2006,NA,NA,American Naturalist,NA,168,2,263 - 269,"Lelito, Jonathan P. and Brown, William D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747359947&doi=10.1086%2F505757&partnerID=40&md5=b21421a2d2e613d963bf8281f0d89ab1,NA,NA,NA,"Male complicity versus conflict over sexual cannibalism in mantids remains extremely controversial, yet few studies have attempted to establish a causal relationship between risk of cannibalism and male reproductive behavior. We studied male risk-taking behavior in the praying mantid Tenodera aridifolia sinensis by altering the risk imposed by females and measuring changes in male behavior. We show that males were less likely to approach hungrier, more rapacious females, and when they did approach, they moved more slowly, courted with greater intensity, and mounted from a greater distance. Similarly, when forced to approach females head-on, within better view and better reach of females, males also approached more slowly and courted with greater intensity. Thus, males behaved in a manner clearly indicative of risk avoidance, and we support the hypothesis of sexual conflict over sexual cannibalism. © 2006 by The University of Chicago. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 61,cannibalism; insect; mate choice; risk; sexual behavior; sexual conflict; animal; article; avoida...;Animal; Mantidae; Mantis religiosa; Tenodera aridifolia,NA,NA,Kyle
10.1016/j.psyneuen.2024.106988,rayyan-471521409,Cohabitation with receptive females under D2-type agonism in adulthood restores partner preference and brain dimorphism in the SDN-POA following neonatal gonadectomy in male rats,2024,NA,NA,Psychoneuroendocrinology,NA,163,NA,NA,"Barradas-Moctezuma, Miriam and Herrera-Covarrubias, Deissy and García-Hernández, Luis Isauro and Carrillo, Porfirio and Pérez-Estudillo, César Antonio and Manzo, J. and Pfaus, James G. and Coria-Avila, Genaro A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185887269&doi=10.1016%2Fj.psyneuen.2024.106988&partnerID=40&md5=645dfe942a44898022136035298edf7a,NA,NA,NA,"Perinatal testosterone, or its metabolite estradiol, organize the brain toward a male phenotype. Male rodents with insufficient testosterone during this period fail to display sexual behavior and partner preference for receptive females in adulthood. However, cohabitation with non-reproductive conspecifics under the influence of a D2 agonist facilitates the expression of conditioned partner preference via Pavlovian learning in gonadally intact male rats. In the present experiment, three groups of neonatal PD1 males (N = 12/group) were either gonadectomized (GDX), sham-GDX, or left intact and evaluated for social preferences and sexual behaviors as adults. We then examined whether the effects of GDX could be reversed by conditioning the males via cohabitation with receptive females under the effects of the D2 agonist quinpirole (QNP) or saline, along with the size of some brain regions, such as the sexually dimorphic nucleus of the preoptic area (SDN-POA), suprachiasmatic nucleus (SCN), posterior dorsal medial amygdala (MeApd) and ventromedial hypothalamus (VMH). Results indicated that neonatal GDX resulted in the elimination of male-typical sexual behavior, an increase in same-sex social preference, and a reduction of the area of the SDN-POA. However, GDX-QNP males that underwent exposure to receptive females in adulthood increased their social preference for females and recovered the size in the SDN-POA. Although neonatal GDX impairs sexual behavior and disrupts partner preference and brain dimorphism in adult male rats, Pavlovian conditioning under enhanced D2 agonism ameliorates the effects on social preference and restores brain dimorphism in the SDN-POA without testosterone. © 2024 Elsevier Ltd | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 0,dopamine; dopamine 2 receptor stimulating agent; testosterone; quinpirole; adult; adulthood; anim...,NA,NA,Kyle
10.1111/j.1558-5646.2012.01647.x,rayyan-471521754,Runaway sexual selection without genetic correlations: Social environments and flexible mate choice initiate and enhance the fisher process,2012,NA,NA,Evolution,NA,66,9,2674 - 2684,"Bailey, Nathan W. and Moore, Allen J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865735224&doi=10.1111%2Fj.1558-5646.2012.01647.x&partnerID=40&md5=e121888b623a212af8901287e89bfcac,NA,NA,NA,"Female mating preferences are often flexible, reflecting the social environment in which they are expressed. Associated indirect genetic effects (IGEs) can affect the rate and direction of evolutionary change, but sexual selection models do not capture these dynamics. We incorporate IGEs into quantitative genetic models to explore how variation in social environments and mate choice flexibility influence Fisherian sexual selection. The importance of IGEs is that runaway sexual selection can occur in the absence of a genetic correlation between male traits and female preferences. Social influences can facilitate the initiation of the runaway process and increase the rate of trait elaboration. Incorporating costs to choice do not alter the main findings. Our model provides testable predictions: (1) genetic covariances between male traits and female preferences may not exist, (2) social flexibility in female choice will be common in populations experiencing strong sexual selection, (3) variation in social environments should be associated with rapid sexual trait divergence, and (4) secondary sexual traits will be more elaborate than previously predicted. Allowing feedback from the social environment resolves discrepancies between theoretical predictions and empirical data, such as why indirect selection on female preferences, theoretically weak, might be sufficient for preferences to become elaborated. © 2012 The Author(s). Evolution© 2012 The Society for the Study of Evolution. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 70; All Open Access; Green Accepted Open Access; Green Open Access,correlation; covariance analysis; evolutionary biology; facilitation; life history trait; mate ch...;Animal; Models;Genetic; Phenotype; Selection;Genetic; Social Behavior,NA,NA,Kyle
10.1093/beheco/aru144,rayyan-471507886,The use and relative importance of intraspecific and interspecific social information in a bird community,2015,1,NA,BEHAVIORAL ECOLOGY,1045-2249,26,1,55-64,"Jaakkonen, Tuomo and Kivela, Sami M. and Meier, Christoph M. and Forsman, Jukka T.",NA,NA,NA,NA,"Social information, information acquired from other individuals, is used in a wide range of behavioral decisions in many taxa. In nature, individuals usually have access to social information from several species sharing the same habitat, yet social information use from multiple tutor (social information source) species is insufficiently understood. Earlier studies on collared flycatchers (Ficedula albicollis) have piecemeal reported use of both conspecific and heterospecific social information in nest site choices, making it an ideal species to study simultaneous use of conspecific and heterospecific information. Here, we used a previously successful experimental design with abstract geometric symbols as surrogates for tutors' nest site choices to test the relative importance of intraspecific versus interspecific social information for decision making in collared flycatchers and intraspecific social information use in tits (great and blue tits; Parus major, Cyanistes caeruleus). Due to manipulation and divergent timing of nest site choices, flycatchers were faced with conflicting nest site choices of conspecific and heterospecific (tit) tutors, whereas tits only had access to the choices of tit tutors. In flycatchers, early settling pairs copied even earlier settled heterospecific choices when few conspecific tutors were around, whereas late-settling pairs copied conspecifics when conspecific tutors were numerous in relation to heterospecific tutors. In great tits, pairs with an old male tended to copy the choices of their conspecifics. Our study indicates that birds use flexibly social information from both conspecifics and heterospecifics in different situations, suggesting that perceived niche overlap with potential tutor species affects social information use. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Kyle
10.1111/evo.14489,rayyan-471507860,"Modeling how population size drives the evolution of birdsong, a functional cultural trait",2022,6,NA,EVOLUTION,0014-3820,76,6,1139-1152,"Hudson, Emily J. and Creanza, Nicole",NA,NA,NA,NA,"Oscine songbirds have been an important study system for social learning, particularly because their learned songs provide an analog for human languages and music. Here, we propose a different analogy: from an evolutionary perspective, could birds' songs change over time more like arrowheads than arias? Small improvements to a bird's song can lead to large fitness differences for its singer, which could make songs more analogous to human tools than languages. We modify a model of human tool evolution to accommodate cultural evolution of birdsong: each song learner chooses the most skilled available tutor to emulate, and each is more likely to produce an inferior copy than a superior one. Similar to human tool evolution, our model suggests that larger populations of birds could foster improvements in song over time, even when learners restrict their pool of tutors to a subset of individuals in their social network. We also demonstrate that song elements could be simplified instead of lost after population bottlenecks if lower quality traits are easier to imitate than higher quality ones. We show that these processes could plausibly generate empirically observed patterns of song evolution for some song traits, and we make predictions about the types of song elements most likely to be lost when populations shrink. More broadly, we aim to connect the modeling approaches used in human and nonhuman systems, moving toward a cohesive theoretical framework that accounts for both cognitive and demographic processes. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Kyle
