doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1016/j.neuroimage.2021.117929,rayyan-471521478,Neural profiles of observing acceptance and rejection decisions in human mate choice copying,2021,NA,NA,NeuroImage,NA,233,NA,NA,"Zhuang, Jinying and Xie, Jiajia and Li, Peng and Fan, Mingxia and Bode, Stefan",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102354321&doi=10.1016%2Fj.neuroimage.2021.117929&partnerID=40&md5=5c232a8488111a8910d09a3649f890a5,NA,NA,NA,"Mate choice copying refers to an agent copying the choice for a potential sexual/romantic partner made by a relevant model and has been observed across many species. This study investigated the neural profiles of two copying strategies in humans – acceptance and rejection copying – using functional magnetic resonance imaging (fMRI). Female participants observed female models accepting, rejecting, or being undecided about (control), males as potential romantic partners before and after rating their own willingness to choose the same males. We found that observing acceptance shifted participants’ own choices towards acceptance, while observing rejection shifted participants’ choices towards rejection. A network of motivation-, conflict- and reinforcement learning related brain regions was activated for observing the models’ decisions. The rostral anterior cingulate gyrus (rACCg) and the caudate in particular were activated more strongly when observing acceptance. Activation in the inferior parietal lobe directly scaled with the magnitude of changes in choices after observing acceptance, while activation in the ACCg also scaled with changes after observing rejection. These findings point to partly dissociable neural profiles for copying strategies that might be linked to different contributions of incentive-driven and vicarious motivation, potentially reflecting the presence or absence of internalised reward experiences. © 2021 | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 3; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,adult; anterior cingulate; article; brain region; controlled study; dissociation; female; functio...;Psychology; Reward; Sexual Partners; Young Adult,NA,NA,Losia
10.1016/j.yhbeh.2017.08.006,rayyan-471521608,Olfactory conditioned same-sex partner preference in female rats: Role of ovarian hormones,2017,NA,NA,Hormones and Behavior,NA,96,NA,13 - 20,"Tecamachaltzi-Silvarán, Miriam B. and Barradas-Moctezuma, Miriam and Herrera-Covarrubias, Deissy and Carrillo, Porfirio and Corona-Morales, A. A. and Pérez-Estudillo, César Antonio and García-Hernández, Luis Isauro and Manzo, J. and Coria-Avila, Genaro A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029092336&doi=10.1016%2Fj.yhbeh.2017.08.006&partnerID=40&md5=0700576981ee48aae43f9b4264fa7a7c,NA,NA,NA,"The dopamine D2-type receptor agonist quinpirole (QNP) facilitates the development of conditioned same-sex partner preference in males during cohabitation, but not in ovariectomized (OVX) females, primed with estradiol benzoate (EB) and progesterone (P). Herein we tested the effects of QNP on OVX, EB-only primed females. Females received a systemic injection (every four days) of either saline (Saline-conditioned) or QNP (QNP-conditioned) and then cohabited for 24 h with lemon-scented stimulus females (CS +), during three trials. In test 1 (female-female) preference was QNP-free, and females chose between the CS + female and a novel female. In test 2 (male-female) they chose between the CS + female and a sexually experienced male. In test 1 Saline-conditioned females displayed more hops & darts towards the novel female, but QNP-conditioned females displayed more sexual solicitations towards the CS + female. In test 2 Saline-conditioned females displayed a clear preference for the male, whereas QNP-conditioned females displayed what we considered a bisexual preference. We discuss the effect of dopamine and ovarian hormones on the development of olfactory conditioned same-sex preference in females. © 2017 Elsevier Inc. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 3,apomorphine; dopamine; dopamine 2 receptor stimulating agent; estradiol benzoate; eticlopride; fl...;Female; Mating Preference;Animal; Olfactory Perception; Ovary; Progesterone; Rats; Rats;Wistar; Receptors;Dopamine D2; Sexual Behavior;Animal; Smell,NA,NA,Losia
10.1016/j.jtbi.2011.11.011,rayyan-471521770,The relationship between syllable repertoire similarity and pairing success in a passerine bird species with complex song,2012,NA,NA,Journal of Theoretical Biology,NA,295,NA,68 - 76,"Garamszegi, László Zsolt and Zsebők, Sándor and Török, Jânos",https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455219043&doi=10.1016%2Fj.jtbi.2011.11.011&partnerID=40&md5=5954bb48812ba2b7865043ab60c74932,NA,NA,NA,"Repertoire size, i.e. the number of unique song elements that an individual possesses, is thought to be an important target of female preference. However, the use of repertoire size reflects how researchers work with complex songs; while it does not necessary describe biological functions, as listeners of song may also rely on song composition. Specific syllables may have coherent consequences for mate attraction because they are costly to produce, mediate syllable sharing or indicate the dialect of origin. We tested for the relationship between song composition and pairing success in the collared flycatcher (Ficedula albicollis). We applied a tree-clustering method to hierarchically classify males based on the degree of repertoire overlap, and then used a phylogenetic approach to assess the degree by which pairing speed matches the hierarchically structured song data. We found that males using similar syllables also find a breeding partner at a similar speed. Partitioning the variance components of pairing speed, we detected that the consequences of particular syllables for mating are repeatable across males. When assessing the role of repertoire similarity in mediating direct syllable sharing, we derived a positive relationship between the physical distance between pairs of males and their repertoire overlap implying that neighboring males avoid copying each other's song. Finally, we were unable to demonstrate that syllables related to higher mating success are more common in the population, which would support mechanisms based on female preference for local songs. Our results imply that individual-specific song organization may be relevant for sexual selection. © 2011 Elsevier Ltd. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 24; All Open Access; Green Accepted Open Access; Green Open Access,cluster analysis; mate attraction; passerine; phylogenetics; sexual selection; song; statistical ...;Animal; Songbirds; Sound Spectrography; Vocalization;Animal; Aves; Ficedula albicollis; Passeriformes,NA,NA,Losia
10.1086/723109,rayyan-471521428,Learning from Our Study Organisms about Sexual Selection: Lessons from the Ocellated Wrasse,2023,NA,NA,American Naturalist,NA,201,3,418 - 428,"Alonzo, Suzanne Henson",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148969016&doi=10.1086%2F723109&partnerID=40&md5=091ed4837ad4d6d9e52e288419e82e81,NA,NA,NA,"Sexual selection is a powerful force shaping not only the details but also the breadth of what we see in nature. Yet so much un-explained variation remains. Organisms often solve the “problem” of how to pass on their genes in ways that do not fit our current ex-pectations. I argue here that integrating empirical surprises will push our understanding of sexual selection forward. Such “nonmodel” organisms (i.e., species that do not do what we think they should do) challenge us to think deeply, integrate puzzling results, question our assumptions, and consider the new (and arguably better) questions these unexpected patterns pose. In this article, I share how puzzling observations from my long-term research on the ocellated wrasse (Symphodus ocellatus) have shaped my understanding of sexual selection and suggested new questions about the interplay among sexual se-lection, plasticity, and social interactions. My general premise, how-ever, is not that others should study these questions. Instead, I argue for a change in the culture of our field—to consider unexpected results a welcome opportunity to generate new questions and learn new things about sexual selection. Those of us in positions of power (e.g., as editors, reviewers, and authors) need to lead the way. © The Authors. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 3,finfish; mate choice; phenotypic plasticity; sexual selection; sperm; animal; fish; physiology; A...,NA,NA,Losia
10.1111/j.1439-0310.2010.01809.x,rayyan-471521823,'Virtual Parrots' confirm mating preferences of female budgerigars,2010,NA,NA,Ethology,NA,116,10,961 - 971,"Moravec, Marin L. and Striedter, Georg F. and Burley, Nancy Tyler",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956472621&doi=10.1111%2Fj.1439-0310.2010.01809.x&partnerID=40&md5=19bb3f65902dbf8cfad9dd0a68be9b15,NA,NA,NA,"Parrots comprise one of the several taxa in which life-long learning of new vocal signals used in intraspecific communication is known to occur routinely. The functions and evolutionary bases of this ability are largely unknown. In the budgerigar (Melopsittacus undulatus), males typically imitate their partner's contact call type during pair formation. However, a female's initial choice among unfamiliar males is not based on their production of her call type, because birds without prior social contact rarely produce the same call type. Here, we demonstrate that female budgerigars prefer unfamiliar males with calls that are similar to their own, as measured by spectrogram cross-correlation, but which are not imitations. This was shown by training females via operant conditioning to control access to movies of courting males and by systematically varying the audio tracks of these movies. Females learned this task easily and interacted with virtual males as if they were real. This methodology will be useful for exploring functions and mechanisms of social communication, because it eliminates the confounding impact of short-term changes in a stimulus individual's behavior on a test individual's response. Our results suggest that the neuroplastic vocal abilities of budgerigars, and perhaps other parrots, have been shaped by sexual selection. © 2010 Blackwell Verlag GmbH. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 25,bird; female; intraspecific interaction; learning; mate choice; pair bond; sexual selection; voca...,NA,NA,Losia
10.1636/S05-76.1,rayyan-471521937,Subadult female experience does not influence species recognition in the wolf spider Schizocosa uetzi Stratton 1997,2007,NA,NA,Journal of Arachnology,NA,35,1,1 - 10,"Hebets, Eileen A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250881586&doi=10.1636%2FS05-76.1&partnerID=40&md5=af2b2ca7878a131b165e01e8e9f60077,NA,NA,NA,"In many vertebrate systems, early experience has been linked to the learning of species-specific traits that are subsequently assessed during mate choice, thus ensuring conspecific matings. In invertebrate systems, however, early experience was not thought to play a role in mate choice until a recent study using Schizocosa uetzi Stratton 1997 wolf spiders demonstrated that females mate more readily with males of a familiar versus unfamiliar phenotype. The function of early mate choice learning in this system is not yet known, but a role in learning species-specific traits seems unlikely, In northwestern Mississippi, S. uetzi is found sympatrically with S. stridulans Stratton 1991, which matures slightly earlier in the season. If S. uetzi early mate choice learning functions in learning species-specific traits used in mate choice, as is often the case in vertebrate systems, then subadult female exposure to heterospecifics (S. stridulans) could result in heterospecific matings. Here, I exposed subadult 5. uetzi females to courtship advances from mature males of either 5. uetzi (conspecifics) or S. stridulans (heterospecifics) in order to test a species-specific mate choice learning function. Previously exposed females were paired with a mature male of the same, or the opposite, species as their exposure male. As expected, the results do not support a species-specific mate choice learning function. Previously exposed females mated significantly more with conspecific males regardless of their exposure treatment, as did unexposed females. The highest premating sexual cannibalism rates occurred in heterospecific mate choice trials regardless of the exposure treatment, and exposed females were more likely to cannibalize males than unexposed females. While previous results demonstrate that subadult experience influences conspecific mate choice, a species recognition template seems to exist that is independent of the influence of early experience. The potential influence of multimodal signal interactions on conspecific mate choice learning is discussed. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 28; All Open Access; Green Accepted Open Access; Green Open Access,Araneae; Invertebrata; Lycosidae; Schizocosa uetzi; Vertebrata,NA,NA,Losia
10.1166/jbt.2022.2949,rayyan-471507530,Study on Protein Nanomarker Combined with Vascular Endothelial Growth Factor to Improve Vascularization of Rabbit Urethral Defect Tissue Engineering,2022,4,NA,JOURNAL OF BIOMATERIALS AND TISSUE ENGINEERING,2157-9083,12,4,673-680,"Yang, Min and Liu, Guixi and Ying, Qiao",NA,NA,NA,NA,"To construct the tissue engineering urethral material that is closest to the normal urethral structure in the true sense in vitro. Abdominal ADSC from a 2-month-old New Zealand white rabbit was extracted and directly compounded with non-woven polyglycolic acid (PGA) (control group) to induce the differentiation of myoblasts and epithelial-like cells in vitro and shaped into urethral structure lumen Observation group); After Gd chelating protein nano-labeling and VEGF-loaded sustained release, the rabbit model of a long urethral defect was replanted and cultured for 4 weeks, 8 weeks and 12 weeks, respectively. There was no difference in urinary tract patency rate, urinary tract infection, and renal dysfunction rate between the two groups (P 0.05). The urine flow rate in the observation group was significantly higher than that in the control group, and the residual volume decreased (P < 0.05). The blood vessel density and CD31 percentage in the observation group increased (P < 0.05). Compared with the conventional ADSC directly in contact with the composite material to construct the urethra, in vitro induction of ADSC to myoblasts and epithelial-like cells IP: 182.75.148.10 On: Thu, 20 Jan 2022 08:52:02 respectively, and then use the cell membrane technology to build a tissue engineering urethral mate -Copyright: American Scientific Publishers rial that is closest to the normal urethral structure in the true sense, and loaded with VEGF Loop Delivered by Ingenta release technology can significantly improve urodynamic functions, optimize tissue engineering ure-thral structure and vascularization, and is expected to become a new technology for constructing new tissue engineering urethral materials. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Losia
10.1163/157075606777304258,rayyan-471521965,Learning in the context of sexual behaviour in insects,2006,NA,NA,Animal Biology,NA,56,2,125 - 141,"Dukas, Reuven",https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747887708&doi=10.1163%2F157075606777304258&partnerID=40&md5=50e8df6ce9caa3bfcf4486ec90459a0f,NA,NA,NA,"There has been little ecological and evolutionary research on learning in the context of sexual behaviour in insects. The traditional views still dominating the literature are that insects are short-lived and have little opportunity to learn about courtship and mating. In this paper I challenge these views by illustrating, theoretically, that at least some insects have ample opportunities to learn in the context of sexual behaviour and that such learning may be beneficial. Some of the best empirical evidence for learning about sexual behaviour in insects is reviewed and future directions in this fruitful area of research are suggested. The role of learning in insect sexual behaviour has probably been underestimated. Such learning may have had an important effect on sexual selection and incipient speciation. © Koninklijke Brill NV 2006. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 67,courtship; insect; learning; mating behavior; sexual behavior; speciation (biology); Hexapoda; In...,NA,NA,Losia
10.1016/j.anbehav.2011.11.012,rayyan-471507798,Male mate choice by chemical cues leads to higher reproductive success in a bark beetle,2012,2,NA,ANIMAL BEHAVIOUR,0003-3472,83,2,421-427,"Chen, Hai-Feng and Salcedo, Christian and Sun, Jiang-Hua",NA,NA,NA,NA,"Darwin's sexual selection theory predicts that males should compete to gain access to females, while females should choose the best possible male. However, males can also be choosy, especially in monogamous mating systems with female-biased sex ratios and biparental care. A few studies show that in systems in which males are highly selective, chemical cues can lead to mating of individuals with high reproductive success. Using Dendroctonus valens, a monogamous bark beetle with typical biparental care, and Y-tube olfactometers, we provided males with a choice between two females and found strong evidence of odour-based male mate preference. We then tested whether this preference led to successful matings and if it had consequences for courtship displays and offspring fitness. Male and preferred female pairs had less aggressive courtship interactions, longer copulation times, constructed galleries faster, and had cleaner galleries. Preferred females had faster oviposition rates and larval development. Our study shows that, in D. valens, males choose females based on chemical cues and that the resulting maleefemale pairs have superior reproductive success. Crown Copyright (C) 2011. Published on behalf of The Association for the Study of Animal Behaviour by Elsevier Ltd. All rights reserved. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Losia
10.1155/2014/497657,rayyan-471521700,The interplay between reproductive social stimuli and adult olfactory bulb neurogenesis,2014,NA,NA,Neural Plasticity,NA,2014,NA,NA,"Peretto, Paolo and Schellino, Roberta and De Marchis, Silvia and Fasolo, Aldo",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929056180&doi=10.1155%2F2014%2F497657&partnerID=40&md5=c9678b3303b37985f2d1b23eaf02a2ab,NA,NA,NA,"Adult neurogenesis is a striking form of structural plasticity that adapts the brain to the changing world. Accordingly, new neuron production is involved in cognitive functions, such as memory, learning, and pattern separation. Recent data in rodents indicate a close link between adult neurogenesis and reproductive social behavior. This provides a key to unravel the functional meaning of adult neurogenesis in biological relevant contexts and, in parallel, opens new perspectives to explore the way the brain is processing social stimuli. In this paper we will summarize some of the major achievements on cues and mechanisms modulating adult neurogenesis during social behaviors related to reproduction and possible role/s played by olfactory newborn neurons in this context. We will point out that newborn interneurons in the accessory olfactory bulb (AOB) represent a privileged cellular target for social stimuli that elicit reproductive behaviors and that such cues modulate adult neurogenesis at two different levels increasing both proliferation of neuronal progenitors in the germinative regions and integration of newborn neurons into functional circuits. This dual mechanism provides fresh neurons that can be involved in critical activities for the individual fitness, that is, the processing of social stimuli driving the parental behavior and partner recognition. © 2014 Paolo Peretto et al. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 14; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,pheromone; adult; adult neurogenesis; biological activity; brain function; brain region; cell pro...,NA,NA,Losia
