doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,primary_screener,secondary_screener
10.1016/j.paid.2020.110481,rayyan-471521483,The influence of model quality on self-other mate choice copying,2021,NA,NA,Personality and Individual Differences,NA,171,NA,NA,"Wang, Dawei and Zhou, Shengqi and Kong, Xiangwei and Han, Dong and Liu, Yixin and Sun, Lingchao and Mao, Wenxu and Maguire, Phil and Hu, Yixin",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095763983&doi=10.1016%2Fj.paid.2020.110481&partnerID=40&md5=be36898bd09f79232d69630af72938ef,NA,NA,NA,"We explored, through two experiments, the influence of model quality and gender on mate choice copying (MCC) behavior for oneself and for others. In the first experiment, we used a 3 (decision-making role: self, stranger, close friend) × 2 (gender: male, female) between-subjects design. The phenomenon of MCC was only found in females. There was no significant difference between making decisions for oneself and for close friends, but there was a significant difference between making decisions for oneself and for strangers. In the second experiment, we used a 2 (model quality: higher, lower) × 3 (decision-making role: self, stranger, close friend) × 2 (gender: male, female) mixed experimental design. Results showed an MCC effect under the condition of high-quality models for both males and females, but no MCC effect for low quality models, either for males or females. Again, there was no significant difference between making decisions for oneself and for close friends, but there was a significant difference between making decisions for oneself and for strangers. These results reveal that context is important for the manifestation of MCC behavior: both women and men are influenced by the choices of high quality models, but ignore the behavior of low quality models. © 2020 Elsevier Ltd | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 3; All Open Access; Bronze Open Access,adult; article; case report; clinical article; decision making; experimental design; female; frie...,NA,NA,Marija,Losia
10.1111/mec.15471,rayyan-471507772,"High MHC gene copy number maintains diversity despite homozygosity in a Critically Endangered single-island endemic bird, but no evidence of MHC-based mate choice",2020,10,NA,MOLECULAR ECOLOGY,0962-1083,29,19,3578-3592,"Stervander, Martin and Dierickx, Elisa G. and Thorley, Jack and Brooke, M. de L. and Westerdahl, Helena",NA,NA,NA,NA,"Small population sizes can, over time, put species at risk due to the loss of genetic variation and the deleterious effects of inbreeding. Losing diversity in the major histocompatibility complex (MHC) could be particularly harmful, given its key role in the immune system. Here, we assess MHC class I (MHC-I) diversity and its effects on mate choice and survival in the Critically Endangered Raso larkAlauda razae, a species restricted to the 7 km(2)islet of Raso, Cape Verde, since similar to 1460, whose population size has dropped as low as 20 pairs. Exhaustively genotyping 122 individuals, we find no effect of MHC-I genotype/diversity on mate choice or survival. However, we demonstrate that MHC-I diversity has been maintained through extreme bottlenecks by retention of a high number of gene copies (at least 14), aided by cosegregation of multiple haplotypes comprising 2-8 linked MHC-I loci. Within-locus homozygosity is high, contributing to low population-wide diversity. Conversely, each individual had comparably many alleles, 6-16 (average 11), and the large and divergent haplotypes occur at high frequency in the population, resulting in high within-individual MHC-I diversity. This functional immune gene diversity will be of critical importance for this highly threatened species' adaptive potential. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Marija,Losia
10.3389/fncir.2020.570174,rayyan-471521502,Early Auditory Experience Modifies Neuronal Firing Properties in the Zebra Finch Auditory Cortex,2020,NA,NA,Frontiers in Neural Circuits,NA,14,NA,NA,"Kudo, Takashi and Morohashi, Yuichi and Yazaki-Sugiyama, Yoko",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093961288&doi=10.3389%2Ffncir.2020.570174&partnerID=40&md5=cd16c5dbbf59d8cf7b717ecd37246d0b,NA,NA,NA,"Songbirds learn to sing much as humans learn to speak. In zebra finches, one of the premier songbird models, males learn to sing for later courtship through a multistep learning process during the developmental period. They first listen to and memorize the song of a tutor (normally their father) during the sensory learning period. Then, in the subsequent sensory-motor learning phase (with large overlap), they match their vocalizations to the memorized tutor song via auditory feedback and develop their own unique songs, which they maintain throughout their lives. Previous studies have suggested that memories of tutor songs are shaped in the caudomedial nidopallium (NCM) of the brain, which is analogous to the mammalian higher auditory cortex. Isolation during development, which extends the sensory learning period in males, alters song preference in adult females, and NCM inactivation decreases song preference. However, the development of neurophysiological properties of neurons in this area and the effect of isolation on these neurons have not yet been explained. Here, we performed whole-cell patch-clamp recording on NCM neurons from juvenile zebra finches during the sensory learning period, 20, 40, or 60 days post-hatching (DPH) and examined their neurophysiological properties. In contrast to previous reports in adult NCM neurons, the majority of NCM neurons of juvenile zebra finches showed spontaneous firing with or without burst firing patterns, and the percentage of neurons that fired increased in the middle of the sensory learning period (40 DPH) and then decreased at the end (60 DPH) in both males and females. We further found that auditory isolation from tutor songs alters developmental changes in the proportions of firing neurons both in males and females, and also changes those of burst neurons differently between males that sing and females that do not. Taken together, these findings suggest that NCM neurons develop their neurophysiological properties depending on auditory experiences during the sensory song learning period, which underlies memory formation for song learning in males and song discrimination in females. © Copyright © 2020 Kudo, Morohashi and Yazaki-Sugiyama. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 11; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,adolescent; adult; animal cell; animal experiment; article; auditory cortex; auditory feedback; f...;Psychological; Female; Finches; Learning; Male; Mating Preference;Animal; Neurons; Patch-Clamp Techniques; Paternal Deprivation; Vocalization;Animal,NA,NA,Marija,Losia
10.1016/j.anbehav.2021.08.001,rayyan-471507876,Acoustic signalling performance: variation in vigour at multiple scales,2022,2,NA,ANIMAL BEHAVIOUR,0003-3472,184,NA,157-171,"Bertram, Susan M. and Dakin, Roslyn and Harrison, Sarah J. and Tremblay, Donovan T. and Reifer, Mykell L. and Kolluru, Gita R.",NA,NA,NA,NA,"Sexual displays can be energetically taxing, power-limited tests of endurance that favour the vigorous. Therefore, these displays may reliably indicate the ability to pay the energetic costs of sustained motor performance. Field cricket calling song involves the repeated mechanical movement of wings to produce pulses of sound grouped into species-specific chirp patterns, often sustained for long periods across nights. We quantified variation and repeatability of cricket calling song phenotypes and determined how age and body size impacted this variation. All our experiments involved tightly controlled signalling environments, but there was a great deal of interindividual variation in behaviour. Although there were species differences, most traits associated with signalling vigour exhibited mean level declines with age and conditional repeatability (individual{*}age interactions). These results suggest that males differing in quality may differ in their ability to buffer themselves against age-related changes in signalling vigour. Furthermore, the repeatability of calling traits itself changed with age, declining slightly in some species but increasing in others. We also challenged motor performance by altering dietary carbohydrate and protein; we predicted that increased carbohydrate would enhance signalling vigour and increased protein would decrease it. Although diet influenced the probability of calling and time spent calling in a predictable manner, these effects were not profound. Our findings confirm the scope for sexual selection to act on motor performance and point to ways in which constraints and trade-offs may yield variation within and among species in how vigour is signalled. Crown Copyright (c) 2021 Published by Elsevier Ltd on behalf of The Association for the Study of Animal Behaviour. All rights reserved. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Marija,Losia
10.1111/1365-2656.13844,rayyan-471521436,"Habitat detection, habitat choice copying or mating benefits: What drives conspecific attraction in a nomadic songbird?",2023,NA,NA,Journal of Animal Ecology,NA,92,1,195 - 206,"Luepold, Shannon Buckley and Kokko, Hanna and Grendelmeier, Alex and Pasinelli, Gilberto",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142382235&doi=10.1111%2F1365-2656.13844&partnerID=40&md5=f2fea3072af6577c75c91350c1ebc0a1,NA,NA,NA,"Conspecific attraction during habitat selection is common among animals, but the ultimate (i.e. fitness-related) reasons for this behaviour often remain enigmatic. We aimed to evaluate the following three hypotheses for conspecific attraction during the breeding season in male Wood Warblers (Phylloscopus sibilatrix): the habitat detection hypothesis, the habitat choice copying hypothesis and the female preference hypothesis. These hypotheses make different predictions with respect to the relative importance of social and nonsocial information during habitat assessment, and whether benefits accrue as a consequence of aggregation. We tested the above hypotheses using a combination of a 2-year playback experiment, spatial statistics and mate choice models. The habitat detection hypothesis was the most likely explanation for conspecific attraction and aggregation in male Wood Warblers, based on the following results: (1) males were attracted to conspecific song playbacks, but fine-scale habitat heterogeneity was the better predictor of spatial patterns in the density of settling males; (2) male pairing success did not increase, but instead slightly decreased, as connectivity with other males (i.e. the number and proximity of neighbouring males) increased. Our study highlights how consideration of the process by which animals detect and assess habitat, together with the potential fitness consequences of resulting aggregations, are important for understanding conspecific attraction and spatially clustered distributions. © 2022 The Authors. Journal of Animal Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 2; All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,conspecific; habitat selection; lek; mating behavior; nomadic people; settlement planning; songbi...,NA,NA,Marija,Losia
10.1016/j.beproc.2022.104731,rayyan-471509251,Generalisation of early learned tutor song preferences in female zebra finches (Taeniopygia guttata),2022,9,NA,BEHAVIOURAL PROCESSES,0376-6357,201,NA,NA,"Wei, Jing and Liu, Quanxiao and Riebel, Katharina",NA,NA,NA,NA,"Song learning is a prime example for cultural transmission of a mating signal. Local or individual song variants are socially learned early in life and adults sing and prefer these songs. An unresolved issue in this context is the question of how learned preferences for specific variants generalise to songs sufficiently similar to the original model. Here we asked whether female zebra finches would generalise early learned song preferences along a similarity gradient based on syllable sharing between test and tutor songs. For each female, this gradient consisted of their tutor's (father's) song (F), two variants of unfamiliar songs edited to share 2/3 (F2/3) and 1/3 (F1/3) of syllables with father's song and an unfamiliar song (UF) not sharing any syllables with the father's song. Females' preferences were measured in a 4-way operant choice arena where birds could perch on different operant perches to trigger playbacks of the four different songs. Number and duration of perch visits were positively associated with the number of syllables that the assigned stimuli shared with fathers' songs. These results suggest that female zebra finches generalise early learned song preferences to songs sharing syllables (and/or voice characteristics) with songs learned early in life. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Marija,Losia
10.1016/j.intell.2018.10.009,rayyan-471509438,Male New Zealand robin (Petroica longipes) song repertoire size does not correlate with cognitive performance in the wild,2019,5,NA,INTELLIGENCE,0160-2896,74,NA,25-33,"MacKinlay, Regan D. and Shaw, Rachael C.",NA,NA,NA,NA,"Songbirds (Oscines) possess specialized brain regions responsible for the learning and production of their elaborate vocalizations. It has previously been suggested that song may provide a useful indicator of individual cognitive ability, due to its underlying neurobiology, individual variability, and links to developmental health. To date the relationship between song repertoire and cognitive performance has been most extensively examined in wild song sparrows (Melospiza melodia). Two initial studies found that song repertoire size was negatively correlated with spatial memory performance, but positively correlated with inhibitory control performance in a detour reaching task. However, a recent attempt to replicate this research found opposing patterns of association between each of these cognitive measures and song repertoire. It has been suggested that we may gain further insight into the relationship between song learning and other cognitive abilities by investigating species with different ecology to song sparrows, namely caching species. Here we re-examine the relationship between song repertoire size, spatial memory and detour reaching performance in a caching songbird, the toutouwai, or North Island robin (Petroica longipes). We tested both male and female toutouwai in a detour reaching task and a spatial memory task, while also recording the individual song repertoire size for 21 of the males tested. All experiments were carried out in the wild on individuals' territories. We found no associations between song repertoire and performance in either cognitive task, or between the two cognitive task performances. Our results provide further evidence that song repertoire is unlikely to be a useful signal of individual spatial memory and inhibitory control ability in songbirds. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Marija,Losia
10.1016/bs.asb.2020.03.001,rayyan-471509010,"Evolution of female coloration: What have we learned from birds in general and blue tits in particular - ADVANCES IN THE STUDY OF BEHAVIOR, VOL 52",2020,NA,NA,NA,0065-3454,52,NA,123-202,"Doutrelant, Claire and Fargevieille, Amelie and Gregoire, Arnaud",NA,NA,NA,NA,NA | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv,NA,NA,NA,NA,Marija,Losia
10.1016/j.anbehav.2022.04.006,rayyan-471521451,Adult exploration predicts parental responsiveness to juvenile songs in zebra finch parent–juvenile interactions,2022,NA,NA,Animal Behaviour,NA,188,NA,157 - 168,"Faust, Katerina M. and Goldstein, Michael H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129948178&doi=10.1016%2Fj.anbehav.2022.04.006&partnerID=40&md5=5ca4d5b12df29a67fef54534a9713cd3,NA,NA,NA,"Recent research has established the importance of animal personality traits in behavioural ecology, encompassing domains such as mate choice, cognition and social interactions. However, less is known about how personality traits predict parental behaviour. In the current study, we investigate these relationships in the zebra finch, Taeniopygia gutatta, a species that provides biparental care and in which social feedback from parents shapes juvenile song learning. Adults were first assessed on exploratory tendency in a novel environment, then allowed to pair and rear cross-fostered young. Birds were housed in single-family cages within the colony, allowing for visual and auditory interaction between families. We examined foster parent–juvenile interactions over the course of song learning (35–65 days posthatch), recording parental responsiveness (responses contingent on juvenile songs) as these responses are known to influence song learning outcomes. Exploration scores predicted parental responsiveness in contrasting ways: low-exploring males provided more contingent responses to the immature song of juveniles, while high-exploring females increased their responsiveness to a greater degree over the course of juvenile song development. Over the period of offspring song development, females were more responsive to changes in juvenile vocal production, increasing the number of responses provided as juveniles increased their rate of singing. In contrast, males were less variable in their response rate across development; their contingent singing was not sensitive to changes in the rate of juvenile singing. The importance of exploration as a predictor of parental responsiveness to offspring behaviour demonstrates the possible significance of previous findings that adults pair based on the trait of exploration. © 2022 | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 1,behavioral ecology; behavioral response; exploration; juvenile; parental care; passerine; song,NA,NA,Marija,Losia
10.1111/gbb.12508,rayyan-471521570,Social neuroscience of disgust,2019,NA,NA,"Genes, Brain and Behavior",NA,18,1,NA,"Kavaliers, Martin and Ossenkopp, Klaus Peter and Choleris, Elena",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052456536&doi=10.1111%2Fgbb.12508&partnerID=40&md5=3409e19b9768dde6b690445c8029fe91,NA,NA,NA,"Disgust can be thought of as an affective system that has evolved to detect signs of pathogens, parasite and toxins as well as to stimulate behaviors that reduce the risk of their acquisition. Disgust incorporates social cognitive mechanisms to regulate exposure to and, or anticipate and avoid exposure to pathogens and toxins. Social cognition entails the acquisition of social information about others (ie, social recognition) and from others (ie, social learning). This involves recognizing and assessing other individuals and the pathogen/parasite/contamination/toxin threat they pose and deciding about when and how to interact with and, or avoid them. Social cognition provides a frame-work for examining the expression of disgust and the associated neurobiological mechanisms. Here, we briefly consider the relations between social cognition and pathogen/parasite/toxin avoidance behaviors. We briefly discuss aspects of: (1) the odor mediated social recognition of actual and potentially infected individuals and the impact of parasite/pathogen threat on disgust mate and social partner choice; (2) the roles of “out-groups” (strangers, unfamiliar individuals) and “in-groups” (familiar individuals) in the expression of disgust and pathogen avoidance behaviors; (3) individual and social learning of disgust and empathy for disgust; (4) toxin elicited disgust and anticipatory disgust; (5) the neurobiological mechanisms, and in particular the roles of the nonapeptide, oxytocin and estrogenic mechanism associated with social cognition and the expression of disgust. These findings on the social neuroscience of disgust have a direct bearing on our understanding of the roles of disgust in shaping human and nonhuman social behavior. © 2018 John Wiley & Sons Ltd and International Behavioural and Neural Genetics Society | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 51; All Open Access; Bronze Open Access,adaptive behavior; avoidance behavior; conceptual framework; discrimination learning; disgust; ex...;Molecular; Humans; Social Behavior,NA,NA,Marija,Losia
