doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1126/science.1225638,rayyan-471521746,Pheromonal induction of spatial learning in mice,2012,NA,NA,Science,NA,338,6113,1462 - 1465,"Roberts, Sarah A. and Davidson, Amanda J. and McLean, Lynn and Beynon, Robert Jeffrey and Hurst, Jane L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871073526&doi=10.1126%2Fscience.1225638&partnerID=40&md5=cfc2428e1fa208746150de9d7ce45c43,NA,NA,NA,"Many mammals use scent marking for sexual and competitive advertisement, but little is known about the mechanism by which scents are used to locate mates and competitors. We show that darcin, an involatile protein sex pheromone in male mouse urine, can rapidly condition preference for its remembered location among females and competitor males so that animals prefer to spend time in the site even when scent is absent. Learned spatial preference is conditioned through contact with darcin in a single trial and remembered for approximately 14 days. This pheromone-induced learning allows animals to relocate sites of particular social relevance and provides proof that pheromones such as darcin can be highly potent stimuli for social learning. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 137,darcin; sex pheromone; unclassified drug; body condition; competition (ecology); learning; mate l...,NA,NA,Santiago
10.1111/eth.12611,rayyan-471521618,The role of the model in mate-choice copying in female zebra finches,2017,NA,NA,Ethology,NA,123,6,412 - 418,"Kniel, Nina and Müller, Katharina and Witte, Klaudia",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019599080&doi=10.1111%2Feth.12611&partnerID=40&md5=c2894ecd7d44101e1d4a6db81a334f37,NA,NA,NA,"Previous studies have shown that zebra finch females copy the mate choice of other females by choosing a mate of the same phenotype as the one chosen by another female (model). Little is known about the influence of the model female on the mate choice of the observing female. Therefore, we investigated the role of the model female in mate-choice copying by manipulating her phenotype. Test females could choose between an unadorned male and an artificially adorned male, that is, wearing a red feather on the forehead. During a 2h observation period, test females could observe a single male in one cage and a male–female pair in another cage. In treatment one, the single male was unadorned and both the male and the female of the pair (model female) were adorned. In treatment two, the single male was adorned, the male of the pair unadorned and the model female adorned. Afterwards, test females could again choose between two new males, one adorned and one unadorned. In treatment one, test females first showed no preference for one of the two males, but avoided adorned males after the observation period. In treatment two, test females lost an initial preference for unadorned males after the observation period. In both treatments, test females did not copy the mate choice of the adorned model female. Adorned model females seemed to have a negative influence on the attractiveness of their mates' phenotype. Test females might have recognised model females as females of a different phenotype within their species which are adapted to different environmental conditions, or even have recognised model females as a female of another species. Our study demonstrates the important role of the model female in the complex public information network in zebra finches. © 2017 Blackwell Verlag GmbH | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 9,artificial nest; environmental conditions; female; mate choice; ornamentation; pair bond; passeri...,NA,NA,Santiago
10.1007/s00359-002-0361-3,rayyan-471522015,"Brain development, song learning and mate choice in birds: A review and experimental test of the """"nutritional stress hypothesis""""",2002,NA,NA,"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology",NA,188,11,1003 - 1014,"Nowicki, Stephen and Searcy, William A. and Peters, Susan",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036998954&doi=10.1007%2Fs00359-002-0361-3&partnerID=40&md5=d0d35a8dc7bcd0db2a6631d221afef4a,NA,NA,NA,"The nutritional stress hypothesis explains how learned features of song, such as complexity and local dialect structure, can serve as indicators of male quality of interest to females in mate choice. The link between song and quality comes about because the brain structures underlying song learning largely develop during the first few months post-hatching. During this same period, songbirds are likely to be subject to nutritional and other stresses. Only individuals faring well in the face of stress are able to invest the resources in brain development necessary to optimize song learning. Learned features of song thus become reliable indicators of male quality, with reliability maintained by the developmental costs of song. We review the background and assumptions of the nutritional stress hypothesis, and present new experimental data demonstrating an effect of nestling nutrition on nestling growth, brain development, and song learning, providing support for a key prediction of the hypothesis. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 399,age; animal; bird; body weight; brain; comparative study; conference paper; evolution; feather; f...;development and aging; learning; male; marriage; nonparametric test; nutrition; pathophysiology; ...;Nonparametric; Stress; Telencephalon; Vocalization;Animal; Voice,NA,NA,Santiago
10.1093/icb/icab040,rayyan-471509592,Beyond Cognitive Templates: Re-Examining Template Metaphors Used for Animal Recognition and Navigation,2021,10,NA,INTEGRATIVE AND COMPARATIVE BIOLOGY,1540-7063,61,3,825-841,"Sung, Jenny Y. and Harris, Olivia K. and Hensley, Nicholai M. and Chemero, Anthony P. and Morehouse, I, Nathan",NA,NA,NA,NA,"The term ``cognitive template{''} originated from work in human-based cognitive science to describe a literal, stored, neural representation used in recognition tasks. As the study of cognition has expanded to nonhuman animals, the term has diffused to describe a wider range of animal cognitive tools and strategies that guide action through the recognition of and discrimination between external states. One potential reason for this nonstandardized meaning and variable employment is that researchers interested in the broad range of animal recognition tasks enjoy the simplicity of the cognitive template concept and have allowed it to become shorthand for many dissimilar or unknown neural processes without deep scrutiny of how this metaphor might comport with underlying neurophysiology. We review the functional evidence for cognitive templates in fields such as perception, navigation, communication, and learning, highlighting any neural correlates identified by these studies. We find that the concept of cognitive templates has facilitated valuable exploration at the interface between animal behavior and cognition, but the quest for a literal template has failed to attain mechanistic support at the level of neurophysiology. This may be the result of a misled search for a single physical locus for the ``template{''} itself. We argue that recognition and discrimination processes are best treated as emergent and, as such, may not be physically localized within single structures of the brain. Rather, current evidence suggests that such tasks are accomplished through synergies between multiple distributed processes in animal nervous systems. We thus advocate for researchers to move toward a more ecological, process-oriented conception, especially when discussing the neural underpinnings of recognition-based cognitive tasks. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv","Symposium on Spatiotemporal Dynamics of Animal Communication at the Virtual Annual Meeting of the Society-for-Integrative-and-Comparative-Biology, ELECTR NETWORK, JAN 03-07, 2021",NA,NA,NA,Santiago
10.1111/j.1095-8649.2009.02366.x,rayyan-471521856,Female guppies Poecilia reticulata prefer males that can learn fast,2009,NA,NA,Journal of Fish Biology,NA,75,6,1323 - 1330,"Shohet, Adam J. and Watt, Penelope J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449372400&doi=10.1111%2Fj.1095-8649.2009.02366.x&partnerID=40&md5=f563ac5b942a61e5d91bc6a6902d13cd,NA,NA,NA,"The role of learning ability as a potentially desirable male trait in sexual selection was investigated in the guppy Poecilia reticulata. Mate preference tests and the rate at which a male learnt two mazes were used to determine whether female preference was related to male learning ability. In addition, male body size and saturation of the orange patches were measured. Female preference was found to be related to rate of learning, such that males that learnt the mazes faster were found to be more attractive to females, but was not found to be related to body size or saturation. © 2009 The Fisheries Society of the British Isles. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 44,animal; article; body size; Cyprinodontiformes; female; learning; male; mate choice; physiology; ...;Animal; Pigmentation; Poecilia; Poecilia reticulata,NA,NA,Santiago
10.1242/jeb.220707,rayyan-471521516,Divergent neurogenomic responses shape social learning of both personality and mate preference,2020,NA,NA,Journal of Experimental Biology,NA,223,6,NA,"Delclos, Pablo J. and Forero, Santiago A. and Rosenthal, Gil G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082145848&doi=10.1242%2Fjeb.220707&partnerID=40&md5=708283f1a95941b4c16f524747ea563d,NA,NA,NA,"Behavior plays a fundamental role in shaping the origin and fate of species. Mating decisions can act to promote or restrict gene flow, as can personality traits that influence dispersal and niche use. Mate choice and personality are often both learned and therefore influenced by an individual's social environment throughout development. Likewise, the molecular pathways that shape these behaviors may also be co-expressed. In this study on swordtail fish (Xiphophorus birchmanni), we show that female mating preferences for species-typical pheromone cues are entirely dependent on social experience with adult males. Experience with adults also shapes development along the shy-bold personality axis, with shy behaviors arising from exposure to risk-averse heterospecifics as a potential stress-coping strategy. In maturing females, conspecific exposure results in a strong upregulation of olfaction and vision genes compared with heterospecific exposure, as well as immune response genes previously linked to anxiety, learning and memory. Conversely, heterospecific exposure involves an increased expression of genes important for neurogenesis, synaptic plasticity and social decision-making. We identify subsets of genes within the social decision-making network and with known stress-coping roles that may be directly coupled to the olfactory processes females rely on for social communication. Based on these results, we conclude that the social environment affects the neurogenomic trajectory through which socially sensitive behaviors are learned, resulting in adult phenotypes adapted for specific social groupings. © 2020. Published by The Company of Biologists Ltd. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 11; All Open Access; Bronze Open Access,animal; Cyprinodontiformes; female; genetics; male; mate choice; personality; reproduction; socia...;Animal; Personality; Reproduction; Social Learning,NA,NA,Santiago
10.1371/journal.pone.0156589,rayyan-471509575,Guppies Show Behavioural but Not Cognitive Sex Differences in a Novel Object Recognition Test,2016,6,NA,PLOS ONE,1932-6203,11,6,NA,"Lucon-Xiccato, Tyrone and Dadda, Marco",NA,NA,NA,NA,"The novel object recognition (NOR) test is a widely-used paradigm to study learning and memory in rodents. NOR performance is typically measured as the preference to interact with a novel object over a familiar object based on spontaneous exploratory behaviour. In rats and mice, females usually have greater NOR ability than males. The NOR test is now available for a large number of species, including fish, but sex differences have not been properly tested outside of rodents. We compared male and female guppies (Poecilia reticulata) in a NOR test to study whether sex differences exist also for fish. We focused on sex differences in both performance and behaviour of guppies during the test. In our experiment, adult guppies expressed a preference for the novel object as most rodents and other species do. When we looked at sex differences, we found the two sexes showed a similar preference for the novel object over the familiar object, suggesting that male and female guppies have similar NOR performances. Analysis of behaviour revealed that males were more inclined to swim in the proximity of the two objects than females. Further, males explored the novel object at the beginning of the experiment while females did so afterwards. These two behavioural differences are possibly due to sex differences in exploration. Even though NOR performance is not different between male and female guppies, the behavioural sex differences we found could affect the results of the experiments and should be carefully considered when assessing fish memory with the NOR test. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Santiago
10.1007/s40806-025-00451-5,rayyan-471521379,Do Human Life History Traits Predict Mate Choice Copying in Women?,2025,NA,NA,Evolutionary Psychological Science,NA,11,4,411 - 420,"Nikakhtar, Alireza and Zabihzadeha, Abbas and Monajem, Arash and Saadati, Mostafa",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019173976&doi=10.1007%2Fs40806-025-00451-5&partnerID=40&md5=4750d4f291096cec0f55908268beb746,NA,NA,NA,"Mate choice copying is a form of social learning in which an individual’s mate selection is influenced by the choices of same-sex peers, thereby altering the perceived attractiveness of a potential mate. This phenomenon is particularly prevalent among women in long-term mating contexts, where informational constraints may limit their ability to assess a mate’s value independently. Research suggests that women with a stronger preference for long-term relationships exhibit a greater tendency to engage in mate choice copying. This study explores whether women with slower life history traits, represented by a higher level of parenting, a lower level of mating, and slower developmental milestones, exhibit higher mate choice copying tendencies. Two hundred fourteen Iranian women, aged 18–45, completed an online survey comprising demographic questions, life history strategies, mating and parenting efforts, and early life stress indicators. Participants evaluated the attractiveness of potential mates from images accompanied by positive, negative, or neutral descriptions in both long-term and short-term contexts. Positive and negative descriptions increased and decreased attractiveness ratings compared with the neutral ones, respectively. Larger changes were observed in long-term versus short-term contexts. Parenting and mating efforts were significant predictors of mate choice copying in negative but not positive scenarios. Life history strategies mediated the relationship between early life conditions (parental investment and punishment) and mate choice copying in short-term negative contexts. Age at menarche was not associated with mate choice copying in any situation. This study partly supports the idea that human life history traits influence mate choice copying, with slow life history strategy women being more likely to rely on social information in partner choices. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 0,NA,NA,NA,Santiago
10.1016/j.ebiom.2025.105978,rayyan-471507641,The circulating dihydrotestosterone/testosterone ratio is increased by gut microbial 5α-reductase activity in females,2025,11,NA,EBIOMEDICINE,2352-3964,121,NA,NA,"Ohlsson, Claes and Li, Lei and Horkeby, Karin and Lawenius, Lina and Collden, Hannah and Sjogren, Klara and Baldanzi, Gabriel and Engstrom, Gunnar and Arnlov, Johan and Orho-Melander, Marju and Fall, Tove and Grahnemo, Louise",NA,NA,NA,NA,"Background Dihydrotestosterone (DHT), the most potent ligand to the androgen receptor, is synthesised from testosterone (T) by 5 alpha-reductase type 1 and 2. While type 1 is expressed in several non-reproductive tissues in both sexes, men also express high levels of the high-affinity type 2 isoform in reproductive tissues; yet women have a higher circulating DHT to T (DHT/T) ratio than men. We hypothesised that the high DHT/T ratio in women is caused by high gut microbiota (GM) 5 alpha-reductase activity or altered beta-glucuronidase-induced androgen reabsorption from the gut. Methods We used a large cross-sectional subsample of the Swedish CArdioPulmonary bioImage Study (2897 women and 4338 men, 50-65 years of age) with GM composition and functionality determined by metagenome sequencing and circulating androgens determined by liquid chromatography-tandem mass spectrometry. Findings We confirmed that women had higher (+194\%) circulating DHT/T ratio than men. The relative abundance of microbial genes for 5 alpha-reductase type 1 (P = 3 x 10-4), but not beta-glucuronidase, was positively associated with the DHT/T ratio in women. In women, the GM relative abundances of Odoribacter splanchnicus and Parabacteroides distasonis were positively associated with the relative abundance of microbial genes for 5 alpha-reductase type 1 (P < 2 x 10-149) and the circulating DHT/T ratio (O. splanchnicus P = 3 x 10-6; P. distasonis P = 5 x 10-5). In mechanistic studies, we observed very high DHT/T ratio in intestinal content of female conventionally-raised but not germ-free mice. In female mice, the DHT/T ratio was 86.9\% higher in serum from the portal vein than in inferior vena cava (P = 0.007). Interpretation These findings demonstrate that the circulating DHT/T ratio is increased by GM 5 alpha-reductase activity in females. We propose that the GM acts as an endocrine organ influencing the androgenic status in females. Copyright (c) 2025 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/). | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Santiago
10.1016/j.cub.2005.08.005,rayyan-471521973,Sexual selection: Copycat mating in birds,2005,NA,NA,Current Biology,NA,15,16,R626 - R628,"Brown, Gillian R. and Fawcett, Tim W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-23944465726&doi=10.1016%2Fj.cub.2005.08.005&partnerID=40&md5=6541799f7decb43e73d330eaec8e317f,NA,NA,NA,"Female zebra finches may be influenced by the choices of other females when selecting mates, challenging the view that mate-choice copying should not occur in species with biparental care. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 31; All Open Access; Bronze Open Access; Green Final Open Access; Green Open Access,animal; female; finch; genetic selection; imitation; nesting; physiology; sex difference; sexual ...;Animal; Aves; Taeniopygia guttata,NA,NA,Santiago
