doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1002/dneu.22231,rayyan-471521665,"He hears, she hears: Are there sex differences in auditory processing?",2015,NA,NA,Developmental Neurobiology,NA,75,3,302 - 314,"Yoder, Kathleen M. and Phan, M. L. and Lu, Kai and Vicario, David S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922818621&doi=10.1002%2Fdneu.22231&partnerID=40&md5=c41bd37cef163cece9936ca6501648b8,NA,NA,NA,"Songbirds learn individually unique songs through vocal imitation and use them in courtship and territorial displays. Previous work has identified a forebrain auditory area, the caudomedial nidopallium (NCM), that appears specialized for discriminating and remembering conspecific vocalizations. In zebra finches (ZFs), only males produce learned vocalizations, but both sexes process these and other signals. This study assessed sex differences in auditory processing by recording extracellular multiunit activity at multiple sites within NCM. Juvenile female ZFs (n = 46) were reared in individual isolation and artificially tutored with song. In adulthood, songs were played back to assess auditory responses, stimulus-specific adaptation, neural bias for conspecific song, and memory for the tutor's song, as well as recently heard songs. In a subset of females (n = 36), estradiol (E2) levels were manipulated to test the contribution of E2, known to be synthesized in the brain, to auditory responses. Untreated females (n = 10) showed significant differences in response magnitude and stimulus-specific adaptation compared to males reared in the same paradigm (n = 9). In hormone-manipulated females, E2 augmentation facilitated the memory for recently heard songs in adulthood, but neither E2 augmentation (n = 15) nor E2 synthesis blockade (n = 9) affected tutor song memory or the neural bias for conspecific song. The results demonstrate subtle sex differences in processing communication signals, and show that E2 levels in female songbirds can affect the memory for songs of potential suitors, thus contributing to the process of mate selection. The results also have potential relevance to clinical interventions that manipulate E2 in human patients. © 2014 Wiley Periodicals, Inc. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 28; All Open Access; Green Accepted Open Access; Green Open Access,estradiol; animal experiment; animal model; Article; auditory memory; auditory response; auditory...;Animal,NA,NA,Sergio
10.1111/j.1439-0310.2006.01278.x,rayyan-471521955,"Vocal and facial attractiveness judgments of children, adolescents and adults: The ontogeny of mate choice",2006,NA,NA,Ethology,NA,112,12,1179 - 1185,"Saxton, Tamsin K. and Caryl, Peter G. and Roberts, S. Craig",https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751228128&doi=10.1111%2Fj.1439-0310.2006.01278.x&partnerID=40&md5=83f015a204ea4529adeb7268155d1d57,NA,NA,NA,"Physical traits are thought to be used as indicators of mate quality, allowing individuals to select mates most likely to help them bear the fittest offspring. As the capacity for human sexual behaviour emerges at puberty, we investigated whether adult-like judgments of the relative attractiveness of opposite-sex individuals also arise at puberty. Following previous research, we focussed on facial and vocal attractiveness, which are known to be used in human mate choice and to carry concordant information regarding mate quality. Here we show that males with more attractive faces have more attractive voices as judged by female adults and adolescents, but not by female children. This suggests that cues of facial and vocal attractiveness provide similar information, but that awareness of these cues does not develop fully until reproductive capability, when mate choice judgments become relevant. Adolescents' judgments also mirrored those of adults in that, like adults, they preferred lower-pitched male voices, and as a group made concordant judgments about facial attractiveness. However, they did not make similarly concordant judgments about vocal attractiveness, suggesting that a further period of maturation and learning is required to fully develop optimal judgments for mate choice. © 2006 The Authors. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 96,adolescence; adult; child; mate choice; ontogeny,NA,NA,Sergio
10.1016/j.biopsych.2012.08.025,rayyan-471521723,Chronic intranasal oxytocin causes long-term impairments in partner preference formation in male prairie voles,2013,NA,NA,Biological Psychiatry,NA,74,3,180 - 188,"Bales, Karen Lisa and Perkeybile, Allison M. and Conley, Olivia G. and Lee, Meredith H. and Guoynes, Caleigh D. and Downing, Griffin M. and Yun, Catherine R. and Solomon, Marjorie and Jacob, Suma and Mendoza, Sally P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880015074&doi=10.1016%2Fj.biopsych.2012.08.025&partnerID=40&md5=db3b6a7944ac4f6bde23892eba1a1621,NA,NA,NA,"Background: Oxytocin (OT) is a hormone shown to be involved in social bonding in animal models. Intranasal OT is currently in clinical trials for use in disorders such as autism and schizophrenia. We examined long-term effects of intranasal OT given developmentally in the prairie vole (Microtus ochrogaster), a socially monogamous rodent, often used as an animal model to screen drugs that have therapeutic potential for social disorders. Methods: We treated voles with one of three dosages of intranasal OT, or saline, from day 21 (weaning) through day 42 (sexual maturity). We examined both social behavior immediately following administration, as well as long-term changes in social and anxiety behavior after treatment ceased. Group sizes varied from 8 to 15 voles (n = 89 voles total). Results: Treatment with OT resulted in acute increases in social behavior in male voles with familiar partners, as seen in humans. However, long-term developmental treatment with low doses of intranasal OT resulted in a deficit in partner preference behavior (a reduction of contact with a familiar opposite-sex partner, used to index pair-bond formation) by male voles. Conclusions: Long-term developmental treatment with OT may show results different to those predicted by short-term studies, as well as significant sex differences and dosage effects. Further animal study is crucial to determining safe and effective strategies for use of chronic intranasal OT, especially during development. © 2013 Society of Biological Psychiatry. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 208; All Open Access; Green Accepted Open Access; Green Open Access,oxytocin; sodium chloride; animal experiment; anxiety; article; controlled study; emotionality; e...;Intranasal; Age Factors; Analysis of Variance; Animals; Animals;Newborn; Arvicolinae; Dose-Response Relationship;Drug; Exploratory Behavior; Female; Male; Maze Learning; Models;Animal; Oxytocin; Pair Bond; Sex Characteristics; Sexual Behavior;Animal; Social Behavior Disorders; Time Factors,NA,NA,Sergio
10.1007/s00265-007-0467-2,rayyan-471509376,Developmental stress impairs song complexity but not learning accuracy in non-domesticated zebra finches (Taeniopygia guttata),2008,1,NA,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,62,3,391-400,"Zann, R. and Cash, E.",NA,NA,NA,NA,"Food restrictions early in life can have adverse effects on the development of adult avian song structure. Nutritional deficiencies during brain development are thought to impair the growth of neural circuits responsible for learning and production of song in adulthood. Thus, the quality of song may reflect the quality of the singer due to the costs associated with neural development early in life. Recent investigations have focused on domesticated laboratory strains of zebra finches where early dietary deficiencies have significantly reduced the complexity of song and its sexual attractiveness. Domesticated zebra finches may be more sensitive to the early effects of moderate undernutrition on song complexity than their non-domesticated counterparts. In an aviary experiment with non-domesticated zebra finch stock, we found that song complexity when measured by a linear combination of six variables was reduced in food-restricted birds, with syllable rate and maximum syllable frequency as the principal variables affected. The restriction had no effect on learning accuracy when song phrases of experimental birds were compared to those of their fathers. This result demonstrates that early nutrition may differentially affect the development of neural processes that influence learning accuracy and song complexity. While the finding of negative effects of dietary restriction on song complexity is robust for zebra finches and is not an artefact of domestication, it does not explain why some nutritionally stressed populations of wild zebra finches have more complex songs than those from other regions of Australia characterised by greater food availability. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Sergio
10.1126/science.8278809,rayyan-471507806,BENEFIT TO MALE SAILFIN MOLLIES OF MATING WITH HETEROSPECIFIC FEMALES,1994,1,NA,SCIENCE,0036-8075,263,5145,373-374,"SCHLUPP, I and MARLER, C and RYAN, MJ",NA,NA,NA,NA,"Female gynogens reproduce clonally but rely on sperm from heterospecific males to initiate embryogenesis. lt has been assumed that males gain no benefit from such matings; thus, selection should favor males that avoid them. Here it is shown that males gain a benefit by mating with female gynogens in an asexual-sexual complex of fish. The sexual females increase their preference for males whom they observe consorting with female gynogens. Thus, gynogenetic species might persist because selection favors males to be sexually parasitized. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Sergio
10.3389/fnbeh.2019.00216,rayyan-471509278,``What a Girl Wants{''}: What Can We Learn From Animal Models of Female Sexual Motivation?,2019,9,NA,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,1662-5153,13,NA,NA,"Guarraci, Fay A. and Frohardt, Russell J.",NA,NA,NA,NA,"Sexual motivation is notably different than other motivations such as hunger and thirst, because it lacks homeostatic drive. Sexual motivation poses no threat to physical well-being; individual survival is not at stake. Nevertheless, sexual motivation is a powerful drive and is critical for species survival. Understanding the complexity of sexual motivation has the potential to advance our understanding of other motivations, even pathological motivations, such as those associated with substance abuse. The study of motivation that is unique to females has often been neglected. A number of paradigms have been developed to investigate female sexual motivation beyond measuring only the lordosis reflex. Lordosis is a reflexive posture displayed by female mammals in response to male sexual stimulation to facilitate intromission. The lordosis reflex is essential, but studying the drive to mate is compromised in the absence of robust lordosis. Therefore, appetitive measures of sexual behavior (e.g., preferences, solicitation behaviors) are more specific and more sensitive indicators of sexual motivation than lordosis alone. Paradigms designed to study female sexual motivation often provide a female subject with the choice to interact with a sexually vigorous male or either a non-sexual partner (i.e., female, castrated male) or to remain alone. The study of appetitive measures of sexual motivation has elucidated the role of hormones in female sexual motivation, as well as the underlying neural pathways. The present review describes methods for studying female rats to advance our understanding of sexual motivation and sexual dysfunction. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Sergio
10.1007/978-1-0716-4406-5_2,rayyan-471521400,Evolutionary Aspects of Sperm Physiology and Its Assessment,2025,NA,NA,Methods in Molecular Biology,NA,2897,NA,29 - 41,"Roldán, Eduardo Raúl S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003306694&doi=10.1007%2F978-1-0716-4406-5_2&partnerID=40&md5=8a386e9b7d7912506a46e7ad9c05afc9,NA,NA,NA,"Diversity in sperm morphology and performance could be explained by differences in molecular and cellular mechanisms that underlie the processes of sperm formation in the testis and maturation in the epididymis. Furthermore, there are additional differences in mechanisms that prepare the sperm for fertilization, once they are transferred to the female tract. Another level of understanding of sperm diversity requires the analysis of selective forces mainly related to post-copulatory sexual selection. Sperm competition and cryptic female choice have been identified as important agents driving the evolution of sperm morphology and function. Learning about mechanisms and selective forces is crucial for the design of tests to assess sperm quality, either in a clinical context or to probe their fertilizing capacity in assisted reproduction or reproductive biotechnologies. In addition, this will be important to understand the impact on fertility of new pharmaceuticals or environmental factors. © The Author(s), under exclusive license to Springer Science+Business Media, LLC, part of Springer Nature 2025. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 0,adult; chapter; commercial phenomena; drug development; drug toxicity; environmental factor; epid...,NA,NA,Sergio
10.1016/B978-0-12-809633-8.90027-X,rayyan-471521560,Applications of animal behavior to conservation,2019,NA,NA,Encyclopedia of Animal Behavior,NA,NA,NA,220 - 229,"Swaisgood, Ronald R. and Greggor, Alison Linda",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079256535&doi=10.1016%2FB978-0-12-809633-8.90027-X&partnerID=40&md5=1d73719c0a17954ca0469337d930e94a,NA,NA,NA,"Animal behavior can influence conservation outcomes, and can be used as a tool for diagnosing anthropogenic impacts and managing species’ recovery. Researchers from disparate backgrounds in animal behavior, most notably behavioral ecology and applied ethology, are using their research to contribute to conservation efforts, including reserve design, human disturbance, and reintroduction programs. The potential for animal behavior to contribute to conservation is growing in sub-disciplines ranging from social behavior to animal learning, but progress in utilizing behavioral research will rely on increasing access to evidence of its effectiveness in comparison to traditional methods. © 2019 Elsevier Ltd All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 3,NA,NA,NA,Sergio
10.1007/s10071-025-01935-4,rayyan-471521375,Variation in plumage reflectance but not song reflects spatial cognitive performance in black-capped chickadees (Poecile atricapillus),2025,NA,NA,Animal Cognition,NA,28,1,NA,"Robayo Noguera, Laura and Stevenson, Chloe A.L. and Wang, Tianconghui and Pasquale, Matteo K. and Branch, Carrie L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219125684&doi=10.1007%2Fs10071-025-01935-4&partnerID=40&md5=21f0b22e1214f1d6ed1903e5bb5384f9,NA,NA,NA,"In seasonally variable environments, enhanced cognitive abilities may allow animals to adjust their behavior to changing conditions. Nonmigratory food-caching birds, like chickadees, rely on specialized spatial cognition to successfully cache and retrieve food items and survive the winter. Previous studies have linked spatial cognitive performance in chickadees to enhanced fitness, including survival and reproduction; however, it remains unknown whether females assess male cognitive ability via direct observation or secondary sexual traits. In this study, we investigated whether variation in common secondary sexual traits of songbirds, song and plumage, serve as indicators of cognitive ability in black-capped chickadees (Poecile atricapillus) when accounting for dominance rank. To explore this, we brought wild male black-capped chickadees into captivity, tested their performance in three spatial cognitive abilities (spatial learning, cognitive flexibility, and long-term retention), determined the relative social dominance ranks among all individuals, measured plumage reflectance in six body regions, and recorded their fee-bee songs to assess the relationship between these variables. Our findings show that birds with brighter white plumage and greater contrast between black and white plumage patches showed better spatial learning and memory performance. In contrast, we found no significant associations between cognitive performance and song variation. Our results suggest that females may use some secondary sexual traits as signals for cognitive performance, although, we suggest direct observation may also be important for mate choice involving cognitive ability in chickadees. This work provides insights into female mating decisions, highlighting the complex nature of sexual selection and female preferences. © The Author(s) 2025. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 1; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,animal; cognition; feather; female; male; physiology; social dominance; songbird; spatial learnin...;Animal,NA,NA,Sergio
10.1111/eth.12168,rayyan-471509160,Effects of Early-Life Experience on Learning Ability in Fruit Flies,2013,12,NA,ETHOLOGY,0179-1613,119,12,1067-1076,"Durisko, Zachary and Dukas, Reuven",NA,NA,NA,NA,"Learning and memory require the development, modification and maintenance of brain tissue, which cost time and energy. It may be adaptive for developing animals to adjust such investments based on environmental cues indicating the future utility of learning. The optimal learning ability that maximizes fitness will vary with the degree of complexity or difficulty of the environment, and developing animals may show an adaptive plastic modification of the extent of their learning ability based on early-life cues of environmental complexity. We tested whether fruit fly larvae reared in a complex' environment, where they had to search, sample and choose between three foods differing in flavour and bitterness subsequently possessed greater learning abilities than larvae reared in a simple environment with only one food type. We tested learning ability both at the larval stage and in young adults. Our results suggest that, despite theoretical and intuitive appeal, these environmental factors did not affect learning ability. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Sergio
