doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,primary_screener,secondary_screener
10.1098/rsbl.2025.0070,rayyan-471521393,Mate copying in Drosophila simulans,2025,NA,NA,Biology Letters,NA,21,5,NA,"Nöbel, Sabine and Kaufmann, Tim Eric",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007038727&doi=10.1098%2Frsbl.2025.0070&partnerID=40&md5=f51904fc0f166118ac122df2d0339795,NA,NA,NA,"To find a suitable mate, many animals across taxa use social information. Mate copying is a form of social learning in which individuals use information regarding potential mates by observing and copying the mate choices of other individuals. While mate copying in Drosophila melanogaster has been extensively documented in the laboratory and its potential for cultural evolution has been demonstrated, little is known about mate copying in other Drosophila species. Here, we report the first evidence that Drosophila simulans females also copy the mate choice of their conspecifics. We used the well-established protocol developed for D. melanogaster: a naive, unmated female first observes a conspecific's mate choice between one artificially coloured green and one artificially coloured pink male and is afterwards allowed to choose between two males of the same phenotypes herself. Just as with D. melanogaster, D. simulans females were more likely to choose the same type of male as in the demonstration. This finding underscores the capacity of D. simulans females to engage in rapid social observational learning, a process that may play a significant role in the evolution of reproductive isolation. © 2025 The Author(s). | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 0,copulation; evolution; fly; learning; mate choice; reproductive isolation; animal; Drosophila sim...;Animal; Sexual Behavior;Animal,NA,NA,Shinichi,Losia
10.1111/brv.12954,rayyan-471521422,Social learning in non-grouping animals,2023,NA,NA,Biological Reviews,NA,98,4,1329 - 1344,"Webster, Mike M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152028817&doi=10.1111%2Fbrv.12954&partnerID=40&md5=5d951d823e2a10d844ae0b6759dd9aba,NA,NA,NA,"Social learning is widespread in the animal kingdom and is involved in behaviours from navigation and predator avoidance to mate choice and foraging. While social learning has been extensively studied in group-living species, this article presents a literature review demonstrating that social learning is also seen in a range of non-grouping animals, including arthropods, fishes and tetrapod groups, and in a variety of behavioural contexts. We should not be surprised by this pattern, since non-grouping animals are not necessarily non-social, and stand to benefit from attending to and responding to social information in the same ways that group-living species do. The article goes on to ask what non-grouping species can tell us about the evolution and development of social learning. First, while social learning may be based on the same cognitive processes as other kinds of learning, albeit with social stimuli, sensory organs and brain regions associated with detection and motivation to respond to social information may be under selection. Non-grouping species may provide useful comparison taxa in phylogenetic analyses investigating if and how the social environment drives selection on these input channels. Second, non-grouping species may be ideal candidates for exploring how ontogenetic experience of social cues shapes the development of social learning, allowing researchers to avoid some of the negative welfare implications associated with raising group-living animals under restricted social conditions. Finally, while non-grouping species may be capable of learning socially under experimental conditions, there is a need to consider how non-grouping restricts access to learning opportunities under natural conditions and whether this places a functional constraint on what non-grouping animals actually learn socially in the wild. © 2023 The Author. Biological Reviews published by John Wiley & Sons Ltd on behalf of Cambridge Philosophical Society. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 12; All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,NA,NA,NA,Shinichi,Losia
10.1037/ebs0000187,rayyan-471507464,Perceptions of a Mismatched Couple: The Role of Attractiveness on Mate Poaching and Copying,2022,1,NA,EVOLUTIONARY BEHAVIORAL SCIENCES,2330-2925,16,1,94-99,"Moran, James B. and Wade, T. Joel",NA,NA,NA,NA,"This research investigated how a couple's discrepancy in attractiveness influences men's decision to mate poach or mate copy. The participants (N = 97 heterosexual men) were presented with 3 photos of a quasi couple in which the woman was consistent, and the 3 men were unattractive, equally, or more attractive than her. This study used ranking questions to assess heterosexual men's perception of a couple. Participants were asked to drag and drop the 3 randomized photos in order of preference for 8 randomized questions regarding mate poaching and mate copying. Eight Friedman tests were conducted and revealed a significant difference between the rankings of the photos for each situation. These findings suggest that there are clear differences between the conditional mating strategies men use. Results revealed that when a woman is more attractive than her mate, men desire to mate poach. and if a woman is less attractive than her partner, men desire to mate copy. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Shinichi,Losia
10.1007/s00265-024-03503-1,rayyan-471509493,Eavesdropping and audience effect in fighting fruit flies reveal feedback between social information use and production,2025,1,NA,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,79,2,NA,"Hutchins, Marina and Saltz, Julia",NA,NA,NA,NA,"Social information use and production occur simultaneously during social learning events; however, these two processes are often studied independently. We propose that social information use and production represent a feedback loop: eavesdroppers influence the behaviors of those being observed, which then alters the eavesdroppers' social decisions. Here, we used Drosophila melanogaster to investigate the relationship between social information use and production in an aggressive context. We tested whether paired males altered their aggression when they were observed by (i) a male; (ii) a female, or; (iii) no one. Next, we allowed each individual eavesdropper to interact with the paired males that they just observed, and measured their social behaviors. In addition, we tested how na \& iuml;ve flies responded when interacting with paired males. We found that paired males reduced their aggression when observed by a male, representing a change in social information production. In response, male eavesdroppers were overall less aggressive towards the more aggressive of the paired males they had observed, but their response to social information was also modulated by their genotype. In contrast, female eavesdroppers did not elicit changes to the behavior of the paired males, nor did we find evidence that they used the social information collected to make mating decisions. Overall, we found support for the feedback loop in males, but not females: information was exchanged bi-directionally during eavesdropping events, resulting in the modification of behavior by all parties. Utilizing the social information feedback framework can contribute to a better understanding of how social behaviors and animal communication are expressed and evolve. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Shinichi,Losia
10.1016/j.anbehav.2020.02.008,rayyan-471521513,"Relative sexual attractiveness does not influence mate-choice copying in male Trinidadian guppies, Poecilia reticulata",2020,NA,NA,Animal Behaviour,NA,162,NA,123 - 133,"Pusiak, Ryan J.P. and Auld, Heather L. and Godin, Jean Guy J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081951479&doi=10.1016%2Fj.anbehav.2020.02.008&partnerID=40&md5=630a124bed3657f4b83dae1629e36c70,NA,NA,NA,"Copying the mate choice of another conspecific by a bystanding observer is a socially mediated alternative mating strategy to independent mate choice. Because increased sperm competition is a potential cost of mate-choice copying, males should be prudent and less likely to copy the observed mate choice of other males when the latter are more sexually attractive than themselves. We tested this hypothesis using the Trinidadian guppy, Poecilia reticulata. Focal observer males were simultaneously presented with a large and a small female as potential mates, either in the presence or absence of a nearby model male. We varied the relative differences in the body length and colour ornamentation, traits that predict male sexual attractiveness and competitiveness in the guppy, of observer and model males in each of three experimental treatments: (1) observer and model males were matched for body length and colour ornamentation; (2) the model male was larger and more colourful than the observer male; (3) the model male was smaller and less colourful than the observer male. We compared the mating preferences of focal observer males in each of the latter treatments with that of focal males in a control treatment, wherein no model male (and thus no copying opportunity) was present. As predicted, focal males copied the staged apparent mate choice of a model male in all three experimental treatments, but not in the control treatment. However, contrary to our a priori hypothesis, there were no significant differences in the likelihood or strength of the copying response in observer males among the experimental treatments. Although male guppies are known to modify their mating tactics in the presence of sexual competitors, we found no evidence for an influence of the relative phenotypes of observer and model males on mate-choice copying behaviour in focal observer males. © 2020 The Association for the Study of Animal Behaviour | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 2,conspecific; cyprinid; mate choice; phenotype; reproductive strategy; sexual selection; sperm com...,NA,NA,Shinichi,Losia
10.1007/s00251-021-01251-4,rayyan-471507823,Individual copy number variation and extensive diversity between major MHC-DAB1 allelic lineages in the European bitterling,2022,10,NA,IMMUNOGENETICS,0093-7711,74,5,497-505,"Talarico, Lorenzo and Bryjova, Anna and Cizkova, Dagmar and Douda, Karel and Reichard, Martin",NA,NA,NA,NA,"Polymorphism of the major histocompatibility complex (MHC), DAB1 gene was characterized for the first time in the European bitterling (Rhodeus amarus), a freshwater fish employed in studies of host-parasite coevolution and mate choice, taking advantage of newly designed primers coupled with high-throughput amplicon sequencing. Across 221 genotyped individuals, we detected 1-4 variants per fish, with 28\% individuals possessing 3-4 variants. We identified 36 DAB1 variants, and they showed high sequence diversity mostly located within predicted antigen-binding sites, and both global and codon-specific excess of non-synonymous mutations. Despite deep divergence between two major allelic lineages, functional diversity was surprisingly low (3 supertypes). Overall, these findings suggest the role of positive and balancing selection in promotion and long-time maintenance of DAB1 polymorphism. Further investigations will clarify the role of pathogen-mediated selection to drive the evolution of DAB1 variation. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Shinichi,Losia
10.1098/rsbl.2025.0526,rayyan-471521377,Dance complexity is not associated with cognitive performance but positively linked with body condition and attractiveness in male zebra finches,2025,NA,NA,Biology letters,NA,21,12,NA,"Barou-Dagues, Marie and Dubois, Frédérique",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027705536&doi=10.1098%2Frsbl.2025.0526&partnerID=40&md5=1ca607c5b665132ad5adf34b3abc7735,NA,NA,NA,"Female preference for males with enhanced cognitive abilities has been reported in many species, but it remains unclear which sexual signals reflect such skills. We hypothesized that male dance performance is correlated with cognitive performance, body condition and increased attractiveness in zebra finches (Taeniopygia castanotis). We collected dance behaviours from 164 male displays and assessed male condition, attractiveness and performance in four cognitive tasks: associative learning, motor learning, spatial learning and inhibitory control. Variance in male displays was mainly explained by two independent features: dance duration and dance complexity. Dance duration was not correlated with male cognitive performance, body condition or attractiveness, while dance complexity was significantly linked with body condition and attractiveness and marginally linked with motor learning performance. While our findings suggest that male dance attributes are unlikely to serve as indicators of general cognition in zebra finches, dance complexity might reflect general health and may be used by females as a mate-choice criterion. Despite the need for replication, our findings do not support the idea that intersexual selection based on male dance displays shapes the evolution of general cognition. © 2025 The Author(s). | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 0,animal; cognition; dancing; female; finch; male; mate choice; physiology; sexual behavior; Animal...;Animal; Sexual Behavior;Animal,NA,NA,Shinichi,Losia
10.1086/723109,rayyan-471521428,Learning from Our Study Organisms about Sexual Selection: Lessons from the Ocellated Wrasse,2023,NA,NA,American Naturalist,NA,201,3,418 - 428,"Alonzo, Suzanne Henson",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148969016&doi=10.1086%2F723109&partnerID=40&md5=091ed4837ad4d6d9e52e288419e82e81,NA,NA,NA,"Sexual selection is a powerful force shaping not only the details but also the breadth of what we see in nature. Yet so much un-explained variation remains. Organisms often solve the “problem” of how to pass on their genes in ways that do not fit our current ex-pectations. I argue here that integrating empirical surprises will push our understanding of sexual selection forward. Such “nonmodel” organisms (i.e., species that do not do what we think they should do) challenge us to think deeply, integrate puzzling results, question our assumptions, and consider the new (and arguably better) questions these unexpected patterns pose. In this article, I share how puzzling observations from my long-term research on the ocellated wrasse (Symphodus ocellatus) have shaped my understanding of sexual selection and suggested new questions about the interplay among sexual se-lection, plasticity, and social interactions. My general premise, how-ever, is not that others should study these questions. Instead, I argue for a change in the culture of our field—to consider unexpected results a welcome opportunity to generate new questions and learn new things about sexual selection. Those of us in positions of power (e.g., as editors, reviewers, and authors) need to lead the way. © The Authors. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 3,finfish; mate choice; phenotypic plasticity; sexual selection; sperm; animal; fish; physiology; A...,NA,NA,Shinichi,Losia
10.1016/j.jjcc.2023.01.004,rayyan-471507643,Impact of age and sex on the relationship between carotid intima-media thickness and frailty level in the Canadian Longitudinal Study of Aging,2023,8,NA,JOURNAL OF CARDIOLOGY,0914-5087,82,2,140-145,"O'Brien, Myles W. and Kimmerly, Derek S. and Theou, Olga",NA,NA,NA,NA,"Background: Carotid intima-media thickness (cIMT) provides an index of arterial injury. Frailty is an indicator of vulnerability to adverse health outcomes. It is unclear whether cIMT is associated with the multi-dimensional frailty index and/or if this relationship is age-or sex-specific. The aim was to determine the impact of age and sex on the relationship between cIMT and frailty level in middle-aged and older adults.Methods: Frailty and cIMT data were extracted from the Canadian Longitudinal Study of Aging baseline compre-hensive cohort of middle-aged (45-64 years) and older adults (>65 years) (n = 10,209). cIMT was assessed via high-resolution ultrasound. Frailty was determined using a 52-item index. Covariate-adjusted ordinary least squares regressions were conducted separately for middle-aged males (n = 3178), middle-aged females (n = 3125), older males (n = 2031), and older females (n = 1875).Results: Average cIMTs were larger in older versus middle-aged adults and in males versus females (all, p < 0.001). Average cIMT was positively associated with frailty level in adjusted linear regression models in middle-aged males {[}adj. R2 = 0.09; \& beta; = 0.015 (95 \% CI: 0.005-0.026), p = 0.004], middle-aged females {[}adj. R2 = 0.11; \& beta; = 0.040 (95 \% CI: 0.025-0.054), p < 0.001], older males {[}adj. R2 = 0.12; \& beta; = 0.019 (95 \% CI: 0.004-0.034), p = 0.01], and older females {[}adj. R2 = 0.11; \& beta; = 0.020 (95 \% CI: 0.002-0.039), p = 0.03].Conclusion: cIMT was an independent contributor to frailty level regardless of age group (middle-aged/older adults) or sex, with the strongest effect observed in middle-aged females. Our cross-sectional study documents the independent relationship between a marker of cardiovascular function and an increased vulnerability to ad-verse health outcomes in middle-aged and older males and females.\& COPY; 2023 Japanese College of Cardiology. Published by Elsevier Ltd. All rights reserved. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Shinichi,Losia
10.1038/s41598-019-56893-y,rayyan-471509483,First experimental evidence for olfactory species discrimination in two nocturnal primate species (Microcebus lehilahytsara and M. murinus),2019,12,NA,SCIENTIFIC REPORTS,2045-2322,9,NA,NA,"Kollikowski, Annika and Zimmermann, Elke and Radespiel, Ute",NA,NA,NA,NA,"Olfactory communication is highly important for nocturnal mammals, especially for solitary foragers, but knowledge is still limited for nocturnal primates. Mouse lemurs (Microcebus spp.) are nocturnal solitary foragers with a dispersed lifestyle and frequently use chemo-sensory signalling behaviour for governing social interactions. Different mouse lemur species can co-occur in a given forest but it is unknown whether olfaction is involved in species recognition. We first screened 24 captive mouse lemurs (9 M. murinus, 15 M. lehilahytsara) for their olfactory learning potential in an experimental arena and then tested the species discrimination ability with urine odour in an operant conditioning paradigm in four individuals. The majority of the screened animals (75\%) did not pass the screening criteria within a 2-week test period. However, all four final test animals, two M. murinus and two M. lehilahytsara, were successfully trained in a 5-step-conditioning process to reliably discriminate conspecific from heterospecific urine odour (requiring an overall median of 293 trials). Findings complement previous studies on the role of acoustic signalling and suggest that olfaction may be an important additional mechanism for species discrimination. | WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",NA,NA,NA,NA,Shinichi,Losia
10.1007/s10508-019-01516-w,rayyan-471521519,How the Presence of Others Affects Desirability Judgments in Heterosexual and Homosexual Participants,2020,NA,NA,Archives of Sexual Behavior,NA,49,2,623 - 633,"Scofield, John E. and Kostic, Bogdan N. and Buchanan, Erin M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070315198&doi=10.1007%2Fs10508-019-01516-w&partnerID=40&md5=a888c7c38f740b0f629fb18e67423e70,NA,NA,NA,"Mate-choice copying is a mating strategy wherein women rely on contextual information to assist in securing accurate assessments of potential mates. Mate-choice copying has been extensively studied in non-human species and has begun to be examined in humans as well. Hill and Buss (2008) found evidence of opposing effects for men and women in desirability judgments based on the presence of other opposite-sex people. The current study successfully replicated these findings with 73 and 44 heterosexual men and women, respectively. Heterosexual men exhibited the desirability diminution effect, and heterosexual women exhibited the desirability enhancement effect. The current study also extended these findings to include 73 gay men and 32 lesbian women. Findings for gay and lesbian participants were inverted compared to heterosexual participants. Gay men exhibited the desirability enhancement effect, and lesbian women exhibited the desirability diminution effect, revealing sex differences in mate-choice copying spanning different sexual orientations. © 2019, Springer Science+Business Media, LLC, part of Springer Nature. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 5,adult; article; controlled study; decision making; female; heterosexual female; heterosexual male...,NA,NA,Shinichi,Losia
10.1016/j.anbehav.2025.123292,rayyan-471521385,Assessing the cues required for mate choice copying in the plainfin midshipman fish,2025,NA,NA,Animal Behaviour,NA,227,NA,NA,"Harrison-Weiss, Ainsley and Burgess, Anna Grace and Thomson, Madeleine G. and Bose, Aneesh P.H. and Juanes, Francis and Balshine, Sigal S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013522728&doi=10.1016%2Fj.anbehav.2025.123292&partnerID=40&md5=31c2e3b8a09769b7b44ac395125aabe4,NA,NA,NA,"When choosing a mate, females can rely on their own judgements of male quality or use social information from other females' choices. The use of social information to inform mating decisions is called mate choice copying. Theory predicts that mate choice copying should be strongest in species where females have few mates over the course of their life span because each mating constitutes a greater proportion of the female's expected reproductive value; however, most research on mate choice copying has thus far focused on species with highly promiscuous females. In this study, we use the plainfin midshipman, Porichthys notatus, a toadfish in which females typically choose one mate per year, to investigate whether females mate-choice copy and, if they do, which cues influence their decision making. We show that in the wild, plainfin midshipman females co-occur in nests more often than expected under random female choice. Additionally, we found that females in the laboratory did not base their mating decisions on the mere presence of another female or previously laid eggs; however, females were more likely to choose a male they had observed spawning with another female. Taken together, our results indicate that female plainfin midshipman do mate-choice copy, but only when they observe a spawning event. Understanding how different mating systems affect the strength of mate choice copying and which cues are necessary to elicit mate choice copying will help elucidate more broadly how this behaviour evolved and is maintained. © 2025 The Author(s) | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 1; All Open Access; Hybrid Gold Open Access,fish; mate choice; spawning ground; spawning population,NA,NA,Shinichi,Losia
10.1002/ece3.10323,rayyan-471521423,Individual variation in preference behavior in sailfin fish refines the neurotranscriptomic pathway for mate preference,2023,NA,NA,Ecology and Evolution,NA,13,7,NA,"Young, Rebecca L. and Price, Sarah M. and Schumer, Molly E. and Wang, Silu and Cummings, Molly Elizabeth",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165907686&doi=10.1002%2Fece3.10323&partnerID=40&md5=2a012c5d70f648ca0fcfeb6da2028529,NA,NA,NA,"Social interactions can drive distinct gene expression profiles which may vary by social context. Here we use female sailfin molly fish (Poecilia latipinna) to identify genomic profiles associated with preference behavior in distinct social contexts: male interactions (mate choice) versus female interactions (shoaling partner preference). We measured the behavior of 15 females interacting in a non-contact environment with either two males or two females for 30 min followed by whole-brain transcriptomic profiling by RNA sequencing. We profiled females that exhibited high levels of social affiliation and great variation in preference behavior to identify an order of magnitude more differentially expressed genes associated with behavioral variation than by differences in social context. Using a linear model (limma), we took advantage of the individual variation in preference behavior to identify unique gene sets that exhibited distinct correlational patterns of expression with preference behavior in each social context. By combining limma and weighted gene co-expression network analyses (WGCNA) approaches we identified a refined set of 401 genes robustly associated with mate preference that is independent of shoaling partner preference or general social affiliation. While our refined gene set confirmed neural plasticity pathways involvement in moderating female preference behavior, we also identified a significant proportion of discovered that our preference-associated genes were enriched for ‘immune system’ gene ontology categories. We hypothesize that the association between mate preference and transcriptomic immune function is driven by the less well-known role of these genes in neural plasticity which is likely involved in higher-order learning and processing during mate choice decisions. © 2023 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 2; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,NA,NA,NA,Shinichi,Losia
