source_file,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521369,Androstadienone reduces women’s mate-choice copying: The moderating role of intrasexual competition,2026,NA,NA,Psychoneuroendocrinology,NA,184,NA,NA,"Liu, Ludan and Zheng, Lijun",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024011143&doi=10.1016%2Fj.psyneuen.2025.107717&partnerID=40&md5=47cec767c889f13f4c9305997784f82e,NA,NA,NA,"Androstadienone (AND), a putative human chemosignal, has been shown to influence women’s mate preferences, but whether it also shapes mate-choice strategies remains unclear. The present research tested the hypothesis that AND reduces women’s mate-choice copying, and that this inhibitory effect is moderated by intrasexual competition. Using a double-blind design, participants attended two sessions on consecutive days, inhaling either AND or a placebo (order randomized), and then completed a mate-choice copying task. In Study 1 ( N = 54), AND reduced mate-choice copying among women low in intrasexual competition, whereas women high in intrasexual competition showed little copying under both AND and placebo conditions. Study 2 ( N = 50) experimentally primed intrasexual competition and replicated these findings: when competition was primed, women displayed no mate-choice copying in either condition, whereas under non-competitive conditions AND suppressed copying. Across both studies, women exposed to AND reported a significantly lower perception of intimacy in romantic pairs compared to those in the placebo group. These findings provide the first evidence that AND regulates women’s mate-choice copying under conditions of low intrasexual competition. © 2025 Elsevier Ltd.",Cited by: 0,10.1016/j.psyneuen.2025.107717,androsta 4;16 dien 3 one; placebo; 4;16-androstadien-3-one; androstane derivative; pheromone; adult; Article; comparative study; compe...;Human; Sexual Behavior; Sexual Partners; Young Adult,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521370,"Mating system and female mate choice of Enneapterygius etheostoma (Tripterygiidae) in Tateyama, Chiba, Japan",2026,NA,NA,Ichthyological Research,NA,73,1,140 - 145,"Weeks, Mike I. and Yukishige, Sawako and Sunobe, Tomoki",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219680306&doi=10.1007%2Fs10228-025-01015-0&partnerID=40&md5=a1bdb9b4b32df9525572fa740fbe678e,NA,NA,NA,"In this study, we investigated mating system and mate choice of the triplefin blenny Enneapterygius etheostoma on a rocky reef at Banda, Tateyama Bay, Chiba, Japan, from 21 May to 19 July 2020. The larger males maintained a territory, while the smaller ones joined reproduction as a sneaker. The females visited the territorial males to spawn. The mating success of each territorial male was evaluated by the number of females they spawned with, and eight morphological traits were measured and analyzed to investigate the factors to determine their mating success. There was a significant difference in mating success among the territorial males. However, it was suggested that females choose males regardless of morphological traits and did not always choose the same males. The mating success of territorial males may be determined by chance or mate-choice copying by females. © The Author(s) 2025.",Cited by: 0; All Open Access; Hybrid Gold Open Access,10.1007/s10228-025-01015-0,NA,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521371,"Correction: Financial Status of Model, Target, and Observer Modulates Mate Choice Copying and the Mediating Effect of Personality (Behavioral Sciences, (2025), 15, 10, (1324), 10.3390/bs15101324)",2026,NA,NA,Behavioral Sciences,NA,16,1,NA,"Zhou, Guomei and Ma, Shaxiao and Wu, Di",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029085112&doi=10.3390%2Fbs16010142&partnerID=40&md5=94874150dd538dfe2e60251b9758441e,NA,NA,NA,"In the original publication (Zhou et al., 2025), the Institutional Review Board statement was not included. It should state “The study was conducted in accordance with the Declaration of Helsinki and approved by the Ethical Review Committee for Protection of human Subjects of the Department of Psychology of Sun Yat-sen University (protocol code 2020-0325-0122, approved on 30 March 2020).” In the original publication (Zhou et al., 2025), the Informed Consent was not included. It should state “Informed consent was obtained from all subjects involved in the study.” The authors state that the scientific conclusions are unaffected. This correction was approved by the Academic Editor. The original publication has also been updated. © 2026 by the authors.",Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,10.3390/bs16010142,erratum,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521372,Consistent individual differences in decoration colour choice behaviour by male Spotted Bowerbirds Chlamydera maculata,2026,NA,NA,Emu,NA,NA,NA,NA,"Kayan, Carmen and Llanelly, Seán and Dingle, Caroline and Isden, Jess and Madden, J. Robert",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027245139&doi=10.1080%2F01584197.2025.2598304&partnerID=40&md5=781e284b15d3cca1bdd393b24ace1a47,NA,NA,NA,"Sexual displays differ between individuals, forming the basis for mate choice. In some species, (typically) males create their own displays by combining elements. Examples include series of sounds combined into songs; sets of movements into dances; or objects gathered to form extended phenotypes. In these cases, learning and choice behaviour can shape the display, and therefore variation in male choices about incorporation can affect sexual success and be subject to selection. We examined individual variation in object colour choice among male Spotted Bowerbirds (Chlamydera maculata) for bower decorations. Using controlled experiments with coloured paperclips–objects rarely found as decorations and novel at the study site–we tested for preferences while controlling for opportunity, experience and availability. Males showed shared population-level preferences and rejections that shifted over the breeding season. However, they also displayed consistent individual differences in how they selected or rejected each of the seven colours, both within and across two seasons. Auxiliary males, likely younger individuals attending bowers before acquiring their own, showed broadly similar colour preferences to owner males. However, their choices did not closely align with the specific owners they attended. This suggests that individual preferences are not entirely shaped by shared experiences at a particular bower but may develop before males establish their own. Our findings indicate that colour choice patterns are not uniform across the population. These individual differences likely contribute to variation in bower decoration styles, which could influence mating success. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Cited by: 0; All Open Access; Hybrid Gold Open Access,10.1080/01584197.2025.2598304,NA,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521373,The social environment and female mate choice,2026,NA,NA,Journal of Ethology,NA,44,1,3 - 16,"Lymbery, Samuel J. and Drago-Rosa, Ana and Royle, Nick J. and Duarte, Ana and Hosken, David John and Archer, Catharine Ruth",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021816043&doi=10.1007%2Fs10164-025-00869-1&partnerID=40&md5=253e9eebc1da41279e7bdc7d66fdad7c,NA,NA,NA,"Female mate choice is a major mechanism of sexual selection, influencing the evolution of behaviour, morphology and life-history. Despite being so important, much about female mate choice remains unclear. Crucially, we have a limited understanding of how mating decisions are affected by the social environment within which these decisions inevitably occur. Here, we review how the social environment influences female mate choice and discuss the wider evolutionary consequences of these effects. We examine important social environment influences on female choosiness (i.e. how much females invest in assessing potential mates), the direction of female preferences (i.e. which phenotypes females prefer) and preference strength (i.e. how strident females are in their preferences). We also consider potential coevolution between mate choice and the social environment arising because both include genes. Finally, we highlight some outstanding questions that help us more fully understand social environment impacts on female mating decisions and emphasize the need for tests of current theoretical predictions. © The Author(s) 2025.",Cited by: 0; All Open Access; Hybrid Gold Open Access,10.1007/s10164-025-00869-1,NA,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521374,Number matters: effect of the number of models on mate-choice copying in female guppies,2026,NA,NA,Journal of Ethology,NA,44,1,105 - 112,"Kobayashi, Chinatsu and Karino, Kenji",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021404869&doi=10.1007%2Fs10164-025-00876-2&partnerID=40&md5=d38140c39b3b4705a9a5d77fddae84a6,NA,NA,NA,"Females of some animals often imitate mate choices of other females (models), which is called mate-choice copying. It can be predicted that many models provide the accurate information regarding better mates for mate-choice copying. In this study, we examined the effect of the number of model females on mate-choice copying in female guppies Poecilia reticulata. The first mate preference trial between the two males showed the original mate preference of the females. After the simultaneous presentation of different number of model females near the two males, the second trial was conducted to test mate-choice copying. The females reversed their mate preferences in the second trial and spent longer time with nonpreferred males in the first trial when they were close to one model than with preferred males that were close to no model, or two or three models. However, the females did not reverse their preferences after the presentation of three models near nonpreferred males and one model near preferred males. These results suggest that the optimal number of model females for mate-choice copying may be a single model, that is, simultaneous presentation of multiple models may suppress mate-choice copying, unlike previous studies using sequential presentation of multiple models. © The Author(s) under exclusive licence to Japan Ethological Society 2025.",Cited by: 0,10.1007/s10164-025-00876-2,NA,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521375,Variation in plumage reflectance but not song reflects spatial cognitive performance in black-capped chickadees (Poecile atricapillus),2025,NA,NA,Animal Cognition,NA,28,1,NA,"Robayo Noguera, Laura and Stevenson, Chloe A.L. and Wang, Tianconghui and Pasquale, Matteo K. and Branch, Carrie L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219125684&doi=10.1007%2Fs10071-025-01935-4&partnerID=40&md5=21f0b22e1214f1d6ed1903e5bb5384f9,NA,NA,NA,"In seasonally variable environments, enhanced cognitive abilities may allow animals to adjust their behavior to changing conditions. Nonmigratory food-caching birds, like chickadees, rely on specialized spatial cognition to successfully cache and retrieve food items and survive the winter. Previous studies have linked spatial cognitive performance in chickadees to enhanced fitness, including survival and reproduction; however, it remains unknown whether females assess male cognitive ability via direct observation or secondary sexual traits. In this study, we investigated whether variation in common secondary sexual traits of songbirds, song and plumage, serve as indicators of cognitive ability in black-capped chickadees (Poecile atricapillus) when accounting for dominance rank. To explore this, we brought wild male black-capped chickadees into captivity, tested their performance in three spatial cognitive abilities (spatial learning, cognitive flexibility, and long-term retention), determined the relative social dominance ranks among all individuals, measured plumage reflectance in six body regions, and recorded their fee-bee songs to assess the relationship between these variables. Our findings show that birds with brighter white plumage and greater contrast between black and white plumage patches showed better spatial learning and memory performance. In contrast, we found no significant associations between cognitive performance and song variation. Our results suggest that females may use some secondary sexual traits as signals for cognitive performance, although, we suggest direct observation may also be important for mate choice involving cognitive ability in chickadees. This work provides insights into female mating decisions, highlighting the complex nature of sexual selection and female preferences. © The Author(s) 2025.",Cited by: 1; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,10.1007/s10071-025-01935-4,animal; cognition; feather; female; male; physiology; social dominance; songbird; spatial learnin...;Animal,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521376,Long-term social memory of mate copying in Drosophila melanogaster is localized in mushroom bodies,2025,NA,NA,Scientific Reports,NA,15,1,NA,"Nöbel, Sabine and Danchin, Etienne G.J. and Isabel, Guillaume",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218815486&doi=10.1038%2Fs41598-025-88535-x&partnerID=40&md5=1ae93d2ccbea4b2c91b04e68a209cc56,NA,NA,NA,"Long-term social memory (LTSM) is a key feature to elicit the cultural inheritance of behaviour independently of genetics. However, the neurobiological basis of LTSM remains largely unknown. We previously used the Drosophila animal model, which is known to perform mate copying through observational learning of the mate choice of conspecifics to show that the expression of the rutabaga gene, a calcium/calmodulin-dependent adenylyl cyclase (AC-Rut+) that acts as a coincidence detector enabling associative learning, is necessary and sufficient in the γ-Kenyon cells (KCs) of the mushroom bodies (MBs). Here, we show that the expression of AC-Rut<sup>+</sup> in both the γ- and the α/β-KCs is required for LTSM involving de novo protein synthesis in a mate-copying context, whether using demonstrations involving real flies or involving pictures of copulating conspecifics. Thus, pathways of short- and long-term memory show considerable overlap in the MBs across social vs. asocial learning contexts. © The Author(s) 2025.",Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,10.1038/s41598-025-88535-x,adenylate cyclase; Drosophila protein; Rut protein;Drosophila; animal; Drosophila melanogaster; female; genetics; long term memory; male; metabolism...;Long-Term; Mushroom Bodies; Sexual Behavior;Animal; Social Behavior,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521377,Dance complexity is not associated with cognitive performance but positively linked with body condition and attractiveness in male zebra finches,2025,NA,NA,Biology letters,NA,21,12,NA,"Barou-Dagues, Marie and Dubois, Frédérique",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027705536&doi=10.1098%2Frsbl.2025.0526&partnerID=40&md5=1ca607c5b665132ad5adf34b3abc7735,NA,NA,NA,"Female preference for males with enhanced cognitive abilities has been reported in many species, but it remains unclear which sexual signals reflect such skills. We hypothesized that male dance performance is correlated with cognitive performance, body condition and increased attractiveness in zebra finches (Taeniopygia castanotis). We collected dance behaviours from 164 male displays and assessed male condition, attractiveness and performance in four cognitive tasks: associative learning, motor learning, spatial learning and inhibitory control. Variance in male displays was mainly explained by two independent features: dance duration and dance complexity. Dance duration was not correlated with male cognitive performance, body condition or attractiveness, while dance complexity was significantly linked with body condition and attractiveness and marginally linked with motor learning performance. While our findings suggest that male dance attributes are unlikely to serve as indicators of general cognition in zebra finches, dance complexity might reflect general health and may be used by females as a mate-choice criterion. Despite the need for replication, our findings do not support the idea that intersexual selection based on male dance displays shapes the evolution of general cognition. © 2025 The Author(s).",Cited by: 0,10.1098/rsbl.2025.0526,animal; cognition; dancing; female; finch; male; mate choice; physiology; sexual behavior; Animal...;Animal; Sexual Behavior;Animal,NA,NA
SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,rayyan-471521378,Learned Sex Discrimination and the Evolution of Same-Sex Sexual Behavior,2025,NA,NA,American Naturalist,NA,206,6,527 - 539,"Lerch, Brian A. and Servedio, M. R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021358428&doi=10.1086%2F737751&partnerID=40&md5=ac1a4190aea863e876b8c6d14b3b2b8a,NA,NA,NA,"The sociosexual environment shapes the expression of same-sex sexual behavior (SSB). Empirical studies on SSB in insects often find that sex discrimination, when plastic, is weaker under male-biased sex ratios, ostensibly contradicting theory and experimental evolution that show that stronger sex discrimination evolves under male-biased sex ratios. We develop theoretical models to assess the role of the sex ratio on learned sex discrimination. We find that males have the strongest sex discrimination when they have the greatest opportunity to experience conspecifics from which they learn. Learned sex discrimination is most likely to evolve when innate discrimination is costly, costs to learning are low, mating with the opposite sex is costlier than attempted matings with the same sex, and late matings produce more offspring. Learning from unsuccessful mating attempts with males typically outcompetes other learning strategies, although learning from successful matings with females or learning from all mating attempts can evolve when individuals have few opportunities to mate or costs to discrimination are low. We argue that the life history of insects may favor learning from successful matings or all mating attempts and thus drive the apparent disconnect between the effect of the sex ratio on learned versus innate sex discrimination; we also provide nonadaptive alternatives. © 2025 The University of Chicago. All rights reserved, including rights for text and data mining and training of artificial intelligence technologies or similar technologies.",Cited by: 0,10.1086/737751,conspecific; gender discrimination; insect; life history trait; male behavior; mate choice; repro...;Animal; Models;Biological; Sex Ratio; Sexual Behavior;Animal,NA,NA
