data,node,box,description,boxtext,tooltips,url,n
NA,node4,prevstud,Grey title box; Previous studies,Previous studies,Grey title box; Previous studies,prevstud.html,0
previous_studies,node5,box1,Studies included in previous version of review,Studies included in Jones and DuVal (2019),Studies included in Jones and DuVal (2019),previous_studies.html,40
previous_reports,NA,box1,Reports of studies included in previous version of review,Studies included in Davies et al. (2020),NA,previous_reports.html,58
NA,node6,newstud,Yellow title box; Identification of new studies via databases and registers,Identification of new studies via databases and registers,Yellow title box; Identification of new studies via databases and registers,newstud.html,0
database_results,node7,box2,Records identified from: Databases,Databases,Records identified from: Databases,database_results.html,2855
database_specific_results,NA,box2,Records identified from: specific databases,Specific Databases,NA,database_results.html,NA
register_results,NA,box2,Records identified from: Registers,Registers,NA,NA,NA
register_specific_results,NA,box2,Records identified from: specific registers,Specific Registers,NA,database_results.html,NA
NA,node16,othstud,Grey title box; Identification of new studies via other methods,Identification of new studies via other methods,Grey title box; Identification of new studies via other methods,othstud.html,0
website_results,node17,box11,Records identified from: Websites,Websites,NA,website_results.html,NA
organisation_results,,box11,Records identified from: Organisations,Organisations,NA,NA,NA
citations_results,NA,box11,Records identified from: Citation searching,Citation searching,NA,NA,NA
duplicates,node8,box3,Duplicate records,Duplicate records,Duplicate records,duplicates.html,901
excluded_automatic,NA,box3,Records marked as ineligible by automation tools,Records marked as ineligible by automation tools,NA,NA,NA
excluded_other,NA,box3,Records removed for other reasons,Records retrieved by Jones & DuVal and Davies et al. < 2019,NA,NA,898
records_screened,node9,box4,Records screened (databases and registers),Records screened,Records screened (databases and registers),records_screened.html,1056
records_excluded,node10,box5,Records excluded (databases and registers),Records excluded,Records excluded (databases and registers),records_excluded.html,1008
dbr_sought_reports,node11,box6,Reports sought for retrieval (databases and registers),Reports sought for retrieval,Reports sought for retrieval (databases and registers),dbr_sought_reports.html,48
dbr_notretrieved_reports,node12,box7,Reports not retrieved (databases and registers),Reports not retrieved,Reports not retrieved (databases and registers),dbr_notretrieved_reports.html,0
other_sought_reports,node18,box12,Reports sought for retrieval (other),Reports sought for retrieval,Reports sought for retrieval (other),other_sought_reports.html,NA
other_notretrieved_reports,node19,box13,Reports not retrieved (other),Reports not retrieved,Reports not retrieved (other),other_notretrieved_reports.html,NA
dbr_assessed,node13,box8,Reports assessed for eligibility (databases and registers),Reports assessed for eligibility,Reports assessed for eligibility (databases and registers),dbr_assessed.html,48
dbr_excluded,node14,box9,"Reports excluded (databases and registers): [separate reasons and numbers using ; e.g. Reason1, xxx; Reason2, xxx; Reason3, xxx]",Reports excluded,Reports excluded (databases and registers),dbrexcludedrecords.html,"Studies excluded, 19; Not the study design necessary, 10; Not the type of study necessary, 3; Study on humans, 2; Does not contain data to calculate effect sizes, 2; No full-text available, 1; Same data as earlier study, 1"
other_assessed,node20,box14,Reports assessed for eligibility (other),Reports assessed for eligibility,Reports assessed for eligibility (other),other_assessed.html,NA
other_excluded,node21,box15,"Reports excluded (other): [separate reasons and numbers using ; e.g. Reason1, xxx; Reason2, xxx; Reason3, xxx]",Reports excluded,Reports excluded (other),other_excluded.html,NA
new_studies,node15,box10,New studies included in review,New studies included in review,New studies included in review,new_studies.html,29
new_reports,NA,box10,Reports of new included studies,Reports of new included studies,NA,NA,NA
total_studies,node22,box16,Total studies included in review,Total studies included in review,Total studies included in review,total_studies.html,127
total_reports,NA,box16,Reports of total included studies,Reports of total included studies,NA,NA,NA
identification,node1,identification,Blue identification box,Identification,Blue identification box,identification.html,0
screening,node2,screening,Blue screening box,Screening,Blue screening box,screening.html,0
included,node3,included,Blue included box,Included,Blue included box,included.html,0
