study,Exp,study_Exp,year,captive_or_free-living,Family,Species,Class,Model_Choice,Model_Choice_Code,Virgin,model_exp,lnOR,VlnOR,SElnOR
APP2000THE,1,APP2000THE1,2000,captive,Poeciliidae,perugiae,Actinoperygii,reversal,reversal,N,more_exp,1.502055151,0.420463747,0.64843176
APP2000THE,2,APP2000THE2,2000,captive,Poeciliidae,perugiae,Actinoperygii,same,non_reversal,N,more_exp,-1.335001067,0.419298246,0.647532428
AUL2009DO,1,AUL2009DO1,2009,captive,Drosophilidae,serrata,Insecta,random,non_reversal,Y,matched,0.076961041,0.153960114,0.392377515
AUL2009DO,2,AUL2009DO2,2009,captive,Drosophilidae,serrata,Insecta,random,non_reversal,Y,matched,-0.418710335,0.132982456,0.364667597
BRI1996MAT,1,BRI1996MAT1,1996,captive,Poeciliidae,reticulata,Actinoperygii,reversal,reversal,Y,matched,1.504077397,0.475,0.689202438
BRI1996MAT,2,BRI1996MAT2,1996,captive,Poeciliidae,reticulata,Actinoperygii,reversal,reversal,Y,matched,1.504077397,0.475,0.689202438
BRO1996COP,1,BRO1996COP1,1996,captive,Poeciliidae,reticulata,Actinoperygii,reversal,reversal,Y,more_exp,0,0.277777778,0.527046277
BRO1999MAT,1,BRO1999MAT1,1999,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,N,matched,0.100083459,0.200250627,0.447493717
DAG2016DRO,1,DAG2016DRO1,2016,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,1.005265093,0.155035277,0.393745193
DAG2016DRO,2,DAG2016DRO2,2016,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.628608659,0.129242424,0.359503024
DAG2016DRO,3,DAG2016DRO3,2016,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,1.057839255,0.111304961,0.333623982
DAN2018CUL,1,DAN2018CUL1,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.839750655,0.137858852,0.371293485
DAN2018CUL,2,DAN2018CUL2,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,more_exp,0.693147181,0.134920635,0.367315443
DAN2018CUL,3,DAN2018CUL3,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.602175402,0.128826246,0.358923733
DAN2018CUL,4,DAN2018CUL4,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,1.44836679,0.154522441,0.393093425
DAN2018CUL,5,DAN2018CUL5,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.651989108,0.12714602,0.356575405
DAN2018CUL,6,DAN2018CUL6,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.780158558,0.246861472,0.496851559
DAN2018CUL,7,DAN2018CUL7,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.875468737,0.172875817,0.415783377
DAN2018CUL,8,DAN2018CUL8,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.6257059,0.127340135,0.356847496
DAN2018CUL,9,DAN2018CUL9,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.765467842,0.136747877,0.369794372
DAN2018CUL,10,DAN2018CUL10,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.669049629,0.136525421,0.369493465
DAN2018CUL,11,DAN2018CUL11,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.693147181,0.134920635,0.367315443
DAN2018CUL,12,DAN2018CUL12,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.717839793,0.139964014,0.374117648
DAN2018CUL,13,DAN2018CUL13,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.784118959,0.129059671,0.359248759
DAN2018CUL,14,DAN2018CUL14,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,-0.047628049,0.095265105,0.308650458
DAN2018CUL,15,DAN2018CUL15,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.988611393,0.153552424,0.391857658
DAN2018CUL,16,DAN2018CUL16,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.867500568,0.123957076,0.352075384
DAN2018CUL,17,DAN2018CUL17,2018,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.715620036,0.12737826,0.356900911
DRU2008MAT,1,DRU2008MAT1,2008,captive,Estrildidae,guttata,Aves,reversal,reversal,N,matched,1.011600912,0.607575758,0.77947146
DUG1992REV,1,DUG1992REV1,1992,captive,Poeciliidae,reticulata,Actinoperygii,reversal,reversal,Y,matched,2.233592222,0.550595238,0.74202105
DUG1992SEX,1,DUG1992SEX1,1992,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,matched,1.185623666,0.514520202,0.717300636
