species,resolved_as,uuid
Mus musculus,Mus musculus,0f6af3d8-49d2-4d75-8edf-08598387afde
Rattus norvegicus,Rattus norvegicus,43bb7956-1630-4ef4-928e-f129c5722f20
Dama dama,Dama dama,054cc266-c746-4037-b257-54b973aa5e53
Ficedula hypoleuca,Ficedula,5ab4e738-0e28-4fff-acf7-7634dad221ce
Taeniopygia guttata,Taeniopygia guttata,7bf8ca33-0fef-4985-a4d4-a147bff6e98c
Molothrus ater,Molothrus ater,5a53db13-54e9-44ee-a50b-7eb50348006e
Coturnix japonica,Coturnix japonica,85bdbe81-9c4f-49ab-a75b-f8b621a9d28e
Danio rerio,Danio rerio,587ac038-c69e-4f3e-a7a8-8bb0e538fa5b
Amblyglyphidodon leucogaster,Pomacentridae,0ac52ecf-5bd5-4bbf-9cf2-35531546d04a
Rhabdoblennius nitidus,Blenniidae,85158918-ac63-4f3b-b23d-5a6a4e6dd5ca
Poecilia latipinna,Poecilia latipinna,8932a908-05ad-4a67-ad98-18de7a473630
Poecilia mexicana,Poecilia mexicana,fb492735-d7b2-4af8-be11-da670403760a
Limia perugiae,Poeciliidae,13cdbf26-e6a4-4acd-a9f2-a2e4d9303677
Limia nigrofasciata,Poeciliidae,13cdbf26-e6a4-4acd-a9f2-a2e4d9303677
Poecilia reticulata,Poecilia reticulata,91a45685-b669-48ee-8c31-1be12a0f511a
Poecilia formosa,Poecilia formosa,4ec2ef1d-6a01-4e11-bac8-e7f5fd824992
Gambusia holbrooki,Gambusia holbrooki,6af4d5e4-b0d7-454f-88fa-27871e30f561
Brachyrhaphis rhabdophora,Poeciliidae,13cdbf26-e6a4-4acd-a9f2-a2e4d9303677
Oryzias latipes,Oryzias latipes,b7ae3bbf-c0a1-43bf-80ac-babf90554073
Gasterosteus aculeatus,Gasterosteus aculeatus,128043bd-2d06-47bc-a53b-b6f0bcf214e4
Etheostoma olmstedi,Etheostoma,71b7c167-ffd2-4748-889a-3ace8935424f
Etheostoma flabellare,Etheostoma,71b7c167-ffd2-4748-889a-3ace8935424f
Etheostoma zonale,Etheostoma,71b7c167-ffd2-4748-889a-3ace8935424f
Syngnathus typhle,Syngnathus typhle,1503bb74-9a1d-4324-805b-8cbf9e51729b
Pomatoschistus minutus,Pomatoschistus,6feced70-f5c2-498d-a513-187dda3393b3
Porichthys notatus,Batrachoididae,9cc0d4da-4903-4c68-b93c-00afe68d657b
Drosophila serrata,Drosophila,0cd6cc9f-683c-470e-a4a6-3b68beb826fa
Drosophila melanogaster,Drosophila melanogaster,31aba24a-a797-42bb-9601-5227d0dc8f75
Drosophila simulans,Drosophila,0cd6cc9f-683c-470e-a4a6-3b68beb826fa
Drosophila subobscura,Drosophila,0cd6cc9f-683c-470e-a4a6-3b68beb826fa
Enchenopa binotata,Hemiptera,032731c4-dfac-4b1b-875f-8918ecfbf859
Uca mjoebergi,Uca,d45c8762-fe53-4e29-8c13-60c1e62e722c
Schizocosa ocreata,Lycosidae,16ce8ca6-f4f7-42e5-891c-a5fc773005ac
