author_prefix,year,jones_code,jones_exp,jones_lnOR,jones_d_from_lnOR,jones_behaviour,davies_study,davies_es,davies_hedges_d,davies_behaviour,davies_n,abs_jones_d,abs_davies_d,abs_diff,n_jones_es,n_davies_es,sign_agree,magnitude_match
APP,2000,APP2000THE,1,1.5021,0.8281,reversal,3,3.1,-0.247,Affiliation,24,0.8281,0.247,0.5811,2,4,False,False
APP,2000,APP2000THE,2,-1.335,-0.736,same,3,3.2,-0.2429,Affiliation,24,0.736,0.2429,0.4931,2,4,True,False
AUL,2009,AUL2009DO,1,0.077,0.0424,random,5,5.1,0.0542,Mating,104,0.0424,0.0542,-0.0117,2,2,True,True
AUL,2009,AUL2009DO,2,-0.4187,-0.2308,random,5,5.2,0.2938,Mating,126,0.2308,0.2938,-0.063,2,2,False,True
BRI,1996,BRI1996MAT,1,1.5041,0.8292,reversal,10,10.1,1.3756,Affiliation,40,0.8292,1.3756,-0.5463,2,2,True,False
BRI,1996,BRI1996MAT,2,1.5041,0.8292,reversal,10,10.2,1.3756,Affiliation,40,0.8292,1.3756,-0.5463,2,2,True,False
BRO,1996,BRO1996COP,1,0.0,0.0,reversal,11,11.2,0.0,Affiliation,80,0.0,0.0,0.0,1,2,True,True
BRO,1999,BRO1999MAT,1,0.1001,0.0552,random,12,12.1,-0.0821,Affiliation,20,0.0552,0.0821,-0.0269,1,6,False,True
DAG,2016,DAG2016DRO,1,1.0053,0.5542,model_choice,15,15.3,0.5081,Mating,134,0.5542,0.5081,0.0461,3,4,True,True
DAG,2016,DAG2016DRO,2,0.6286,0.3466,model_choice,15,15.4,0.3518,Mating,96,0.3466,0.3518,-0.0053,3,4,True,True
DAG,2016,DAG2016DRO,3,1.0578,0.5832,model_choice,15,15.2,0.6786,Mating,84,0.5832,0.6786,-0.0954,3,4,True,True
DAN,2018,DAN2018CUL,15,0.9886,0.5451,random,16,16.1,0.6079,Mating,126,0.5451,0.6079,-0.0628,17,2,True,True
DAN,2018,DAN2018CUL,4,1.4484,0.7985,random,16,16.2,1.0272,Mating,124,0.7985,1.0272,-0.2287,17,2,True,False
DRU,2008,DRU2008MAT,1,1.0116,0.5577,reversal,18,18.2,-0.7646,Affiliation,30,0.5577,0.7646,-0.2069,1,2,False,False
DUG,1992,DUG1992REV,1,2.2336,1.2314,reversal,27,27.1,3.7321,Affiliation,40,1.2314,3.7321,-2.5007,3,2,True,False
DUG,1992,DUG1992SEX,1,1.1856,0.6537,random,27,27.2,0.5583,Affiliation,40,0.6537,0.5583,0.0954,3,2,True,True
DUG,1993,DUG1993FEM,1,1.7346,0.9563,random,20,20.1,-2.3768,Affiliation,40,0.9563,2.3768,-1.4205,2,2,False,False
